ASV_1,ASV_2,correlation,pvalue
3343d19c0bc1759a66023cbc86c92592,a061d8883eca2028db1d268500722130,0.9533,0.0
35dbde30af820a2c3bcd85216229ad6a,25c54c57b4a4283237b33fdae82003c0,0.9187,0.0
ff6f97ce50ea01298f8e58b53b97d489,da47a34fd036b068ca0c5eaf185e2082,0.8875,0.0
e1c573f885ed4c9191a32116f583d78a,25c54c57b4a4283237b33fdae82003c0,0.8868,0.0
5976a56adfe903f7348b5eb5689e3c55,43a52ec4605b37f3671b33e61ff6fedd,0.8848,0.01
499a635c6e7dcd5c8ef518302aa50011,25c54c57b4a4283237b33fdae82003c0,0.8734,0.0
25c54c57b4a4283237b33fdae82003c0,be9dcf562f0ab066c0b252d527a42d19,0.8687,0.0
ff6f97ce50ea01298f8e58b53b97d489,25c54c57b4a4283237b33fdae82003c0,0.8603,0.0
a061d8883eca2028db1d268500722130,d3cf08daefed96f494257ceff63a6cf8,0.8499,0.0
945e47119242497c2e0bc5b3c6b6ba8e,6e21064675bd1626771d39886cc9d88b,0.8487,0.0
430c875622713c0d7662add2d8e7db60,ff6f97ce50ea01298f8e58b53b97d489,0.8407,0.0
ff6f97ce50ea01298f8e58b53b97d489,e1c573f885ed4c9191a32116f583d78a,0.84,0.0
499a635c6e7dcd5c8ef518302aa50011,da47a34fd036b068ca0c5eaf185e2082,0.839,0.0
430c875622713c0d7662add2d8e7db60,9feda0d620fa50b57ce3f848e1b48975,0.8342,0.0
3e524f0bf09623c8530930bb8b27045c,945e47119242497c2e0bc5b3c6b6ba8e,0.8324,0.0
5976a56adfe903f7348b5eb5689e3c55,c55a8101fb6c187736f0af61f720cb92,0.8314,0.0
499a635c6e7dcd5c8ef518302aa50011,ff6f97ce50ea01298f8e58b53b97d489,0.8278,0.0
35dbde30af820a2c3bcd85216229ad6a,ff6f97ce50ea01298f8e58b53b97d489,0.8278,0.0
7281c911136ba2bdcafebb9c71729dea,945e47119242497c2e0bc5b3c6b6ba8e,0.8271,0.0
63f37ee4b481fccdffca10160ed5b944,e144d237c973d831d708cac2c17df968,0.8244,0.0
0fec351445f84bd482075ceda6123f46,4c7b0d554a1103b7872deded4bccb4ea,-0.8238,0.0
7281c911136ba2bdcafebb9c71729dea,ff6f97ce50ea01298f8e58b53b97d489,-0.8154,0.0
35dbde30af820a2c3bcd85216229ad6a,e1c573f885ed4c9191a32116f583d78a,0.8145,0.0
499a635c6e7dcd5c8ef518302aa50011,e1c573f885ed4c9191a32116f583d78a,0.8139,0.0
deb262fd92af4fdcd3b6240303048b2a,da47a34fd036b068ca0c5eaf185e2082,0.8105,0.0
ff6f97ce50ea01298f8e58b53b97d489,0ef7e12e6eb35a8fd9fac7badac0c381,-0.8081,0.0
ff6f97ce50ea01298f8e58b53b97d489,a039c1ac15b3f4bc5cf1db8a5f1cc0fd,0.8042,0.0
19083703874fec5c0e976f6ca4fa6bc9,a039c1ac15b3f4bc5cf1db8a5f1cc0fd,0.804,0.0
19463e5fe824700110e4a4ec8afe0512,25c54c57b4a4283237b33fdae82003c0,-0.803,0.0
35dbde30af820a2c3bcd85216229ad6a,499a635c6e7dcd5c8ef518302aa50011,0.803,0.0
7281c911136ba2bdcafebb9c71729dea,430c875622713c0d7662add2d8e7db60,-0.8029,0.0
25c54c57b4a4283237b33fdae82003c0,945e47119242497c2e0bc5b3c6b6ba8e,-0.8019,0.0
430c875622713c0d7662add2d8e7db60,be9dcf562f0ab066c0b252d527a42d19,0.8012,0.0
da47a34fd036b068ca0c5eaf185e2082,25c54c57b4a4283237b33fdae82003c0,0.8007,0.0
