ASV_1,ASV_2,correlation,pvalue,fdr_qvalue
3343d19c0bc1759a66023cbc86c92592,a061d8883eca2028db1d268500722130,0.9815,0.0,0.0
5976a56adfe903f7348b5eb5689e3c55,43a52ec4605b37f3671b33e61ff6fedd,0.9801,0.0,0.0
ff6f97ce50ea01298f8e58b53b97d489,da47a34fd036b068ca0c5eaf185e2082,0.9295,0.0,0.0
ff6f97ce50ea01298f8e58b53b97d489,765b69d9c4313cc8630769db523cc54c,0.923,0.0,0.0
35dbde30af820a2c3bcd85216229ad6a,25c54c57b4a4283237b33fdae82003c0,0.9162,0.0,0.0
499a635c6e7dcd5c8ef518302aa50011,da47a34fd036b068ca0c5eaf185e2082,0.9049,0.0,0.0
499a635c6e7dcd5c8ef518302aa50011,25c54c57b4a4283237b33fdae82003c0,0.8839,0.0,0.0
25c54c57b4a4283237b33fdae82003c0,be9dcf562f0ab066c0b252d527a42d19,0.8825,0.0,0.0
a061d8883eca2028db1d268500722130,1ad05a58bf23396d80f11695ad750b75,0.8754,0.0,0.0
3343d19c0bc1759a66023cbc86c92592,1ad05a58bf23396d80f11695ad750b75,0.8749,0.0,0.0
499a635c6e7dcd5c8ef518302aa50011,ff6f97ce50ea01298f8e58b53b97d489,0.867,0.0,0.0
7281c911136ba2bdcafebb9c71729dea,945e47119242497c2e0bc5b3c6b6ba8e,0.8663,0.0,0.0
7b43b24e8c817bba9f0008696985ae06,e144d237c973d831d708cac2c17df968,0.8619,0.0,0.0
7281c911136ba2bdcafebb9c71729dea,af9554a6cc07a34c1cb6004e3dbb865a,0.8611,0.0,0.0
a53b7a494838590a5600a018277e55ea,4c31c3e198534eab45b6d92b61f75b10,0.8605,0.0,0.0
0fec351445f84bd482075ceda6123f46,66575db7635d648549a9eb5a4eafb710,0.8598,0.0,0.0
f42aeaf1c13130f1fdfc8bafa43ded29,765b69d9c4313cc8630769db523cc54c,0.8598,0.0,0.0
a061d8883eca2028db1d268500722130,e79a45f432d0ccc86adbf9bbe7cef2a7,0.8556,0.0,0.0
206069e5a5041e6c7f39a4141aefdc19,4c7b0d554a1103b7872deded4bccb4ea,-0.8541,0.0,0.0
28b5f35cfb5f0516e5e5f896428abdcd,25c54c57b4a4283237b33fdae82003c0,0.8534,0.0,0.0
25c54c57b4a4283237b33fdae82003c0,de329304e57f0e32da3a08e64625a2e1,0.8533,0.0,0.0
945e47119242497c2e0bc5b3c6b6ba8e,5837405da6036e7481240160de143774,0.8513,0.0,0.0
25c54c57b4a4283237b33fdae82003c0,6aa300d5323cbf75dc53cec3e6acb87c,0.8495,0.0,0.0
7281c911136ba2bdcafebb9c71729dea,25c54c57b4a4283237b33fdae82003c0,-0.848,0.0,0.0
