asv,asv_len,rel_ab,midas_taxonomy,best_organism,best_genome_id,best_align_score,best_identity,best_edlib_distance,best_genus,best_family
0fec351445f84bd482075ceda6123f46,378,4965.936808,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium midas_s_9526,Methanobacterium sp. MBAC-LM,3412034.3,756.0,1.0,0,Methanobacterium,Methanobacteriaceae
63f37ee4b481fccdffca10160ed5b944,378,2688.500136,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae,Methanobrevibacter arboriphilus strain SA,39441.6,756.0,1.0,0,Methanobrevibacter,Methanobacteriaceae
7f78afb7e1d45cd528fe9cd909c93fb5,378,2903.933874,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium,Methanobacterium sp. YSL,2841655.3,756.0,1.0,0,Methanobacterium,Methanobacteriaceae
b64cf0e9dea8cef6b9500b364c179b98,372,3392.334389,Bacteria Proteobacteria Gammaproteobacteria Burkholderiales,Burkholderia pseudomallei EPMN178,28450.4538,744.0,1.0,0,Burkholderia,Burkholderiaceae
c55a8101fb6c187736f0af61f720cb92,370,1875.695921,Bacteria Bacteroidota Bacteroidia Sphingobacteriales Lentimicrobiaceae Lentimicrobium,Lentimicrobium saccharophilum strain TBC1,1678841.5,720.0,0.9892,4,Lentimicrobium,Lentimicrobiaceae
8466f2635d9fbf9c51a04877474f3d09,372,2554.981366,Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Alcaligenaceae Alcaligenes midas_s_9908,Alcaligenes sp. DN25,1367435.3,744.0,1.0,0,Alcaligenes,Alcaligenaceae
35dbde30af820a2c3bcd85216229ad6a,378,2664.441215,Archaea Halobacterota Methanosarcinia Methanosarciniales Methanosarcinaceae Methanosarcina,Methanosarcina barkeri JCM 10043,1298606.3,756.0,1.0,0,Methanosarcina,Methanosarcinaceae
83adaf3a09d08c93f2abea6a4c815592,370,636.439452,Bacteria Bacteroidota Bacteroidia Bacteroidales Dysgonomonadaceae Petrimonas Petrimonas_sulfuriphila,Petrimonas sp. IBARAKI,1978337.3,740.0,1.0,0,Petrimonas,Dysgonomonadaceae
04869be25e3dc4d526ce3824d407aedf,371,622.038673,Bacteria Synergistota Synergistia Synergistales Synergistaceae Aminivibrio Aminivibrio_pyruvatiphilus,Aminivibrio pyruvatiphilus strain DSM 25964,1005740.3,742.0,1.0,0,Aminivibrio,Aminobacteriaceae
25c54c57b4a4283237b33fdae82003c0,372,853.568676,Bacteria Synergistota Synergistia Synergistales Synergistaceae EBM-39,Synergistales bacterium strain SM3-B13,2268201.16,714.0,0.9839,6,,
a039c1ac15b3f4bc5cf1db8a5f1cc0fd,371,1811.947478,Bacteria Firmicutes Clostridia Peptostreptococcales-Tissierellales Peptostreptococcaceae Terrisporobacter,Terrisporobacter petrolearius ELB,1460447.11,742.0,1.0,0,Terrisporobacter,Peptostreptococcaceae
38b371de3be6ddef03bea94294e9830d,378,1751.695516,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium Methanobacterium_beijingense,Methanobacterium movens JCM 15415,493461.3,756.0,1.0,0,Methanobacterium,Methanobacteriaceae
37a9f9625f201b6e61c29ac09ec54683,374,386.774845,Bacteria Firmicutes Clostridia Gracilibacteraceae Lutispora midas_g_94288 midas_s_99172,Lutispora thermophila DSM 19022,1122184.3,708.0,0.9786,8,Lutispora,Lutisporaceae
d3cf08daefed96f494257ceff63a6cf8,373,380.97592,Bacteria Thermotogota Thermotogae Kosmotogales Kosmotogaceae Mesotoga Mesotoga_infera,Synergistaceae bacterium CTOTU7657,2053624.267,746.0,1.0,0,,Synergistaceae
a5b2537343a26f4daf0379a8b46eb2ef,371,342.246667,Bacteria Synergistota Synergistia Synergistales Synergistaceae Syner-01,bacterium 5-aug_S3_029,1869227.3111,742.0,1.0,0,,
b3d8bf326297fb9b18ea4fef1ce8d4a6,371,370.482842,Bacteria Desulfobacterota Desulfovibrionia Desulfovibrionales Desulfovibrionaceae Desulfovibrio,Cupidesulfovibrio sp. SRB-5,2872636.3,742.0,1.0,0,Nitratidesulfovibrio,Desulfovibrionaceae
c571cb007a7d9e2dfc56e8c0b4e24104,373,700.318339,Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae,Citrobacter braakii HP-C_57a,57706.365,746.0,1.0,0,Citrobacter,Enterobacteriaceae
e6485d233ed2b8b9a2f3f50f0747b9d2,370,115.435554,Bacteria Bacteroidota Bacteroidia Bacteroidales Dysgonomonadaceae Proteiniphilum midas_s_56159,Porphyromonadaceae bacterium NLAE-zl-C104,1855399.3,740.0,1.0,0,,Porphyromonadaceae
