Source,Target,rho
Proteiniphilum.5,Ruminiclostridium.10,1.0
Methanothrix.1,Pelolinea.3,1.0
Methanobacterium.55,midas_g_98374.1,0.9999999999999999
Methylobacter.1,Proteiniphilum.17,0.9999999999999999
Colidextribacter.6,Propionicicella.4,0.9999999999999999
Methanobacterium.37,midas_g_98374.1,0.9999999999999999
Christensenellaceae_R-7_group.87,Fastidiosipila.2,0.9999999999999999
Methanobacterium.37,Methanobacterium.55,0.9999999999999999
midas_g_9269.2,midas_g_9269.3,0.9999999999999999
Desulfosporosinus.3,midas_g_82137.1,0.9999999999999999
Caproiciproducens.1,Christensenellaceae_R-7_group.57,0.9949367088607595
Christensenellaceae_R-7_group.57,Propionicicella.4,0.9949367088607595
Christensenellaceae_R-7_group.57,Colidextribacter.6,0.9949367088607595
Cryptanaerobacter.1,Methanothrix.1,0.9941176470588236
Cryptanaerobacter.1,Pelolinea.3,0.9941176470588236
Trichloromonas.1,midas_g_77817.1,0.9941176470588236
Bellilinea.1,Pelolinea.3,0.9941176470588236
Bellilinea.1,Methanothrix.1,0.9941176470588236
Methanobacterium.34,midas_g_98374.1,0.9927007299270072
HN-HF0106.17,midas_g_110557.1,0.9927007299270072
Christensenellaceae.15,Methanobacterium.34,0.9927007299270072
Christensenellaceae.15,Oscillospiraceae.8,0.9927007299270072
Methanobacterium.34,Methanobacterium.55,0.9927007299270072
Methanobacterium.34,Methanobacterium.37,0.9927007299270072
Christensenellaceae.4,Symbiobacterium.2,0.9927007299270072
Methylobacter.1,Oscillospiraceae.8,0.9927007299270072
Oscillospiraceae.8,Proteiniphilum.17,0.9927007299270072
Erysipelothrix.3,midas_g_9269.2,0.9927007299270072
Desulfurispora.1,Proteiniphilum.12,0.9927007299270072
Erysipelothrix.3,midas_g_9269.3,0.9927007299270072
midas_g_36215.3,midas_g_36215.9,0.9927007299270072
Azorhizobium.1,Proteiniphilum.12,0.9927007299270072
Proteiniborus.5,Syntrophomonas.2,0.9909090909090909
midas_g_49937.1,midas_g_84729.1,0.9898734177215189
Caproiciproducens.1,Christensenellaceae.7,0.9898734177215189
Caproiciproducens.1,Colidextribacter.6,0.9898734177215189
Caproiciproducens.1,Propionicicella.4,0.9898734177215189
Bacteria (unclassified).39,midas_g_554.2,0.9898734177215189
Ca_Phosphitivorax.1,Petrimonas.4,0.9863636363636362
Christensenellaceae.7,Christensenellaceae_R-7_group.38,0.9848101265822785
Methanobacterium.96,midas_g_77185.2,0.9848101265822785
Devosia.9,midas_g_77185.2,0.9848101265822785
Christensenellaceae.7,Colidextribacter.6,0.9848101265822785
Christensenellaceae.7,Propionicicella.4,0.9848101265822785
Aquamicrobium.1,midas_g_110683.3,0.9841269841269841
Anaerostignum.2,midas_g_5574.2,0.9841269841269841
EBM-39.1,Thermovirga.2,0.9830209465959819
Oxobacteraceae.3,NK4A214_group.2,0.9823529411764704
Veillonellales-Selenomonadales.2,NK4A214_group.2,0.9823529411764704
Veillonellales-Selenomonadales.2,Oxobacteraceae.3,0.9823529411764704
Lachnospiraceae.3,Ruminiclostridium.10,0.9823529411764704
Bellilinea.1,Cryptanaerobacter.1,0.9823529411764704
Lachnospiraceae.3,Proteiniphilum.5,0.9823529411764704
Clostridium_sensu_stricto_1.7,Proteiniborus.5,0.9818181818181817
Clostridium_sensu_stricto_1.7,Syntrophomonas.2,0.9818181818181817
Christensenellaceae.7,Christensenellaceae_R-7_group.57,0.979746835443038
Bradyrhizobium.2,Ruminiclostridium.13,0.9789915966386554
LNR_A2-18.1,LNR_A2-18.2,0.9785714285714284
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium.1,HN-HF0106.17,0.9781021897810218
Methanobacterium.55,Methylobacter.1,0.9781021897810218
Pelotomaculum.1,Syntrophomonas.15,0.9781021897810218
Methanobacterium.55,Proteiniphilum.17,0.9781021897810218
Proteiniphilum.17,midas_g_98374.1,0.9781021897810218
Azorhizobium.1,Desulfurispora.1,0.9781021897810218
Anaerovorax.13,Proteiniborus.4,0.9781021897810218
Christensenellaceae.15,midas_g_98374.1,0.9781021897810218
Methanobacterium.34,Oscillospiraceae.8,0.9781021897810218
Christensenellaceae.15,Methylobacter.1,0.9781021897810218
Acetomicrobium.1,midas_g_2424.1,0.9781021897810218
Methylobacter.1,midas_g_98374.1,0.9781021897810218
Christensenellaceae.15,Methanobacterium.55,0.9781021897810218
Methanobacterium.37,Methylobacter.1,0.9781021897810218
Methanobacterium.37,Proteiniphilum.17,0.9781021897810218
Symbiobacterium.2,midas_g_51070.2,0.9781021897810218
Christensenellaceae.15,Proteiniphilum.17,0.9781021897810218
Christensenellaceae.15,Methanobacterium.37,0.9781021897810218
Methanobacterium.5,Petrimonas.4,0.9772727272727272
midas_g_36215.1,midas_g_36215.2,0.9749166565164095
Christensenellaceae_R-7_group.57,Desulfovibrio.3,0.9746835443037974
Brevundimonas.3,midas_g_36376.1,0.9740740740740742
Ca_Phosphitivorax.1,Methanobacterium.5,0.9727272727272727
Methanobacterium.55,Oscillospiraceae.8,0.9708029197080292
Oscillospiraceae.8,midas_g_98374.1,0.9708029197080292
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium.1,midas_g_110557.1,0.9708029197080292
Methanobacterium.34,Methylobacter.1,0.9708029197080292
Methanobacterium.34,Proteiniphilum.17,0.9708029197080292
Methanobacterium.37,Oscillospiraceae.8,0.9708029197080292
Christensenellaceae.4,midas_g_51070.2,0.9708029197080292
Ca_Phosphitivorax.1,midas_g_95534.1,0.968181818181818
Caproiciproducens.1,Christensenellaceae_R-7_group.38,0.9645569620253164
Desulfovibrio.3,Propionicicella.4,0.9645569620253164
Caproiciproducens.1,Desulfovibrio.3,0.9645569620253164
Colidextribacter.6,Desulfovibrio.3,0.9645569620253164
Christensenellaceae_R-7_group.38,Propionicicella.4,0.9645569620253164
Christensenellaceae_R-7_group.38,Colidextribacter.6,0.9645569620253164
Phenylobacterium.4,Syntrophomonadaceae.1,0.9642435812860762
Ruminiclostridium.9,Methanoculleus.1,0.9642435812860762
midas_g_114295.1,EBM-39.1,0.9641638992754195
midas_g_76603.1,Monoglobus.13,0.9636587165150498
midas_g_114295.1,Thermovirga.2,0.9614384576250392
Fermentimonas.2,Thermovirga.2,0.9606440071556349
Dehalobacterium.1,Syntrophomonas.22,0.959493670886076
Devosia.9,Methanobacterium.96,0.959493670886076
Oscillibacter.3,midas_g_669.2,0.9563636363636364
Colidextribacter.4,Sporomusaceae.2,0.9545454545454546
Colidextribacter.1,Lutispora.3,0.9537815126050418
Anaerostignum.2,Azoarcus.2,0.9525793444156803
Hydrogenophaga.5,Synergistaceae.2,0.9523809523809526
EBM-39.1,Fermentimonas.2,0.9508493519801133
Methanobacterium.1,Monoglobus.2,-0.9498268896207664
Christensenellaceae_R-7_group.38,Christensenellaceae_R-7_group.57,0.9493670886075949
Aquamicrobium.2,midas_g_97954.1,0.9490909090909093
Aminiphilus.1,midas_g_76603.1,0.9486912654588817
midas_g_49834.1,Proteiniphilum.14,0.9483309289494564
Monoglobus.13,Methanobacterium.5,0.9483309289494564
Clostridium_sensu_stricto_1.7,midas_g_95485.1,0.9474847084398104
Christensenellaceae_R-7_group.4,Brevundimonas.3,0.9469232953197864
Petrimonas.4,midas_g_95534.1,0.9454545454545453
Monoglobus.13,Petrimonas.4,0.943960740336786
Petrimonas.4,midas_g_49937.1,0.9426873175110012
midas_g_669.2,midas_g_97954.1,0.9418181818181821
Hydrogenophaga.5,Romboutsia.3,0.9412005684606735
Phenylobacterium.1,Proteiniborus.5,0.9409090909090908
Rhodococcus.4,midas_g_91392.1,0.9409090909090908
Proteiniphilum.14,Syntrophomonas.3,0.9409090909090908
midas_g_114295.1,Fermentimonas.2,0.9399137160364188
Thermovirga.1,midas_g_35108.1,0.9395905517241158
Christensenellaceae_R-7_group.4,midas_g_36376.1,0.9392559002159824
Hungateiclostridiaceae.28,midas_g_95485.1,0.9392405063291139
Romboutsia.3,Synergistaceae.2,0.9391589186375484
Syntrophobacter.1,Clostridia.9,0.9390476190476188
midas_g_2604.3,midas_g_35108.1,0.9378899265821922
Methanobacterium.5,midas_g_49937.1,0.9378899265821922
Alcaligenes.3,Phenylobacterium.4,0.9350756189912982
Petrimonas.2,midas_g_76603.1,0.9344767269690313
Christensenellaceae.7,Desulfovibrio.3,0.9341772151898733
EBM-39.1,midas_g_76603.1,-0.9336248330020928
Methanosarcina.1,midas_g_76603.1,-0.9336248330020928
Methanobacterium.5,midas_g_84729.1,0.933092535653383
Acinetobacter.2,Desulfuromonadaceae.1,0.933092535653383
Brevundimonas.3,Fermentimonas.2,0.9318954196047087
Romboutsia.3,Brevundimonas.5,0.9308501744987752
Pseudolabrys.2,Syntrophomonas.3,0.9308501744987752
Thermovirga.2,midas_g_76603.1,-0.9306915626519003
Petrimonas.2,Monoglobus.13,0.9302980949429842
Brevundimonas.5,Synergistaceae.2,0.9301061243736666
Azoarcus.2,midas_g_5574.2,0.929250870674888
Syntrophomonas.2,midas_g_95485.1,0.9282951447245739
Petrimonas.4,midas_g_84729.1,0.9282951447245739
Phenylobacterium.1,midas_g_77185.2,0.9282951447245739
Ca_Phosphitivorax.1,midas_g_49937.1,0.9282951447245739
Proteiniborus.5,Christensenellaceae.7,0.9282951447245738
Aminiphilus.1,Monoglobus.13,0.9281856556985663
Proteiniclasticum.1,midas_g_77817.1,0.9277712507244908
Methanothrix.1,midas_g_84729.1,0.9277712507244908
Pelolinea.3,midas_g_84729.1,0.9277712507244908
Leucobacter.1,Clostridiaceae.10,0.9276190476190473
Pelotomaculum.4,midas_g_91392.1,0.9272727272727272
Aquamicrobium.2,midas_g_669.2,0.9272727272727272
midas_g_82137.2,Rhizobiaceae.1,0.9269090196987977
Rhizobiaceae.1,Phenylobacterium.1,0.9264799858861048
Desulfosporosinus.1,Monoglobus.1,0.9253627917180896
Petrimonas.2,Aminiphilus.1,0.92490130513608
Petrimonas.2,Syner-01.9,0.9248095627061431
Christensenellaceae_R-7_group.38,Desulfovibrio.3,0.9240506329113923
Methanosarcina.1,Thermovirga.2,0.9240396898002229
midas_g_93469.1,midas_g_30443.1,-0.924035318503178
Christensenellaceae_R-7_group.44,midas_g_85764.2,0.9238095238095236
midas_g_5574.1,Aminivibrio.1,0.9237890686657012
Methanobacterium.96,Phenylobacterium.1,0.9234977537957647
Proteiniborus.5,Christensenellaceae_R-7_group.38,0.9234977537957647
Tissierella.5,midas_g_70329.2,0.9234977537957646
Pelotomaculum.4,Shinella.1,0.9234977537957646
Christensenellaceae_R-7_group.63,Desulfuromonadaceae.1,0.9234977537957646
Clostridium_sensu_stricto_1.7,Phenylobacterium.1,0.9227272727272727
Proteiniclasticum.1,Trichloromonas.1,0.9223137727790527
Christensenellaceae.7,midas_g_82137.3,0.9223137727790527
Cryptanaerobacter.1,midas_g_84729.1,0.9223137727790527
Christensenellaceae_R-7_group.57,Lachnoclostridium.2,0.9223137727790527
Christensenellaceae_R-7_group.38,midas_g_82137.3,0.9223137727790527
Bellilinea.1,midas_g_84729.1,0.9223137727790527
Christensenellaceae_R-7_group.3,Desulfovibrio.1,0.9222523789882303
EBM-39.1,Methanosarcina.1,0.9214285714285713
midas_g_5574.1,Fermentimonas.2,0.9209747701562159
Thermovirga.1,Christensenellaceae_R-7_group.51,0.9191482410096513
Proteiniborus.5,Caproiciproducens.1,0.9187003628669554
Phenylobacterium.1,Syntrophomonas.2,0.9181818181818181
Syner-01.1,Syner-01.2,0.9178571428571428
Monoglobus.13,Ca_Phosphitivorax.1,0.9177396086607642
Rhodococcus.4,Romboutsia.3,0.9177396086607642
Hydrogenophaga.5,Rhodococcus.4,0.9173649445877259
Thermovirga.2,Monoglobus.13,-0.916962891158699
Caproiciproducens.1,Lachnoclostridium.2,0.9168562948336144
Clostridiaceae.10,Fonticella.2,0.916190476190476
Methanobacterium.1,Taibaiella.1,-0.9153524620986878
Parapusillimonas.1,midas_g_82137.2,0.9146591207600472
Azoarcus.2,midas_g_98017.1,0.9136985548476934
Methanobacterium.5,midas_g_95534.1,0.9136363636363635
Devosia.1,Methanomassiliicoccus.2,0.9131178846590791
midas_g_76603.1,Methanobacterium.5,0.9131178846590791
Syner-01.9,Aminiphilus.1,0.912766595106798
Pseudolabrys.2,midas_g_49834.1,0.9117647058823529
midas_g_49937.1,midas_g_92370.1,0.9113988168881761
Shinella.1,Bosea.5,0.9113988168881761
Aminiphilus.1,Methanobacterium.5,0.9113141645412444
Monoglobus.13,midas_g_84729.1,0.910951114370639
Fermentimonas.2,midas_g_36376.1,0.9100541207077235
Arenimonas.2,Shinella.1,0.9091055810093371
Anaerovorax.12,midas_g_70329.2,0.9091055810093371
HN-HF0106.10,Syntrophomonas.2,0.9089992314354236
Romboutsia.3,midas_g_91392.1,0.9089992314354236
Clostridium_sensu_stricto_13.1,Methanosarcina.1,0.9068158606568072
Proteiniborus.5,midas_g_95485.1,0.9067068855449325
Syntrophomonas.2,Christensenellaceae_R-7_group.38,0.9067068855449325
Methanobacterium.89,Phenylobacterium.1,0.9067068855449325
Dehalobacterium.1,Sphingopyxis.3,0.9059413389427381
Sphingopyxis.3,Syntrophomonas.22,0.905941338942738
Afipia.3,Desulfovibrio.3,0.905941338942738
Oscillibacter.3,midas_g_97954.1,0.9054545454545456
Veillonellales-Selenomonadales.6,Phenylobacterium.1,0.9046290428227534
midas_g_49834.1,Syntrophomonas.3,0.9046290428227534
Pelotomaculum.4,Rhodococcus.4,0.9045454545454544
Azoarcus.2,midas_g_97954.1,0.9044306525073137
Devosia.9,Phenylobacterium.1,0.904308190080528
Anaerostignum.2,midas_g_97954.1,0.9040872399131279
Clostridium_sensu_stricto_13.1,Aminiphilus.1,-0.9032391939306841
Achromobacter.2,Stenotrophomonas.3,0.9027902874036159
HN-HF0106.10,midas_g_2178.3,0.9024092218212966
midas_g_5574.1,EBM-39.1,0.9019672796421018
Thermovirga.1,midas_g_2604.3,0.9017262929592909
Monoglobus.13,midas_g_49937.1,0.9017262929592909
Colidextribacter.1,Syntrophomonas.22,0.9017262929592909
midas_g_5574.1,midas_g_114295.1,0.9015559277497126
Methanosarcina.1,Petrimonas.2,-0.9009374626955591
Brevundimonas.3,Hydrogenophaga.7,0.9009189246969626
Fermentimonas.2,Aminiphilus.1,-0.9008122145493201
Hydrogenophaga.5,Oscillibacter.4,0.9007936507936508
Clostridium_sensu_stricto_13.1,Thermovirga.2,0.900451689790615
Christensenellaceae_R-7_group.63,Anaerostignum.2,0.9003767048731385
HN-HF0106.10,Proteiniborus.5,0.900258854210083
Alcaligenes.3,Syntrophomonadaceae.1,0.900180054018006
Clostridium_sensu_stricto_13.1,EBM-39.1,0.8996473558294806
midas_g_114295.1,Romboutsia.1,0.8996473558294806
Proteiniborus.5,Christensenellaceae_R-7_group.57,0.8995107991517188
Ca_Phosphitivorax.1,midas_g_84729.1,0.8995107991517187
Thermovirga.2,midas_g_36376.1,0.8991334712592306
Aquamicrobium.2,Oscillibacter.3,0.8981818181818183
Christensenellaceae_R-7_group.42,Proteiniphilum.17,0.8977095036486894
Christensenellaceae_R-7_group.42,Methylobacter.1,0.8977095036486894
Pelolinea.3,Azorhizobium.1,0.8977095036486894
Oxobacteraceae.3,midas_g_98374.1,0.8977095036486894
midas_g_77817.1,Anaerovorax.14,0.8977095036486894
Syntrophomonas.15,Ruminiclostridium.10,0.8977095036486894
Syntrophomonas.15,Proteiniphilum.5,0.8977095036486894
Oxobacteraceae.3,Methanobacterium.37,0.8977095036486894
Oxobacteraceae.3,Methanobacterium.55,0.8977095036486894
Pelotomaculum.1,Lachnospiraceae.3,0.8977095036486894
Syntrophobotulaceae.7,Azorhizobium.1,0.8977095036486894
Methanobacterium.20,Methanobacterium.37,0.8977095036486894
Hungateiclostridiaceae.12,midas_g_2424.1,0.8977095036486894
Acetomicrobium.1,midas_g_44684.1,0.8977095036486894
Bacteria (unclassified).33,Novosphingobium.1,0.8977095036486894
Methanobacterium.20,Methanobacterium.55,0.8977095036486894
Methanobacterium.20,midas_g_98374.1,0.8977095036486894
Cryptanaerobacter.1,Proteiniphilum.12,0.8977095036486894
Methanothrix.1,Azorhizobium.1,0.8977095036486894
midas_g_21833.1,midas_g_4301.4,0.8971428571428569
Syntrophomonas.2,Christensenellaceae.7,0.8971121036873142
Paracoccus.4,Pseudoxanthomonas.2,0.8971121036873142
Clostridium_sensu_stricto_13.1,Fermentimonas.2,0.8968642328591785
Fermentimonas.2,midas_g_76603.1,-0.896779724336649
Christensenellaceae_R-7_group.2,Monoglobus.13,0.8967750175896231
Methanosarcina.1,Monoglobus.13,-0.8967750175896231
EBM-39.1,Monoglobus.13,-0.8967750175896231
Mesotoga.1,midas_g_15299.1,0.8964285714285712
Acinetobacter.2,Anaerostignum.2,0.8961296449444917
Hydrogenophaga.5,midas_g_91392.1,0.8961296449444917
Arenimonas.2,Oscillibacter.4,0.8961296449444917
