node_a,node_b,rho,abs_rho,sign,qvalue,pvalue,cooccurrence,community_a,community_b,same_community,phylum_a,phylum_b,same_phylum
Proteiniphilum.5,Ruminiclostridium.10,1.0,1.0,positive,0.0,0.0,4,6,6,1,Bacteroidota,Firmicutes,0
Methanothrix.1,Pelolinea.3,1.0,1.0,positive,0.0,0.0,4,1,1,1,Halobacterota,Chloroflexi,0
Methanobacterium.55,midas_g_98374.1,0.9999999999999999,0.9999999999999999,positive,2.4429988447403086e-99,3.876914407497236e-103,3,10,10,1,Euryarchaeota,Chloroflexi,0
Methylobacter.1,Proteiniphilum.17,0.9999999999999999,0.9999999999999999,positive,2.4429988447403086e-99,3.876914407497236e-103,3,10,10,1,Proteobacteria,Bacteroidota,0
Colidextribacter.6,Propionicicella.4,0.9999999999999999,0.9999999999999999,positive,2.4429988447403086e-99,3.876914407497236e-103,5,4,4,1,Firmicutes,Actinobacteriota,0
Methanobacterium.37,midas_g_98374.1,0.9999999999999999,0.9999999999999999,positive,2.4429988447403086e-99,3.876914407497236e-103,3,10,10,1,Euryarchaeota,Chloroflexi,0
Christensenellaceae_R-7_group.87,Fastidiosipila.2,0.9999999999999999,0.9999999999999999,positive,2.4429988447403086e-99,3.876914407497236e-103,3,8,8,1,Firmicutes,Firmicutes,1
Methanobacterium.37,Methanobacterium.55,0.9999999999999999,0.9999999999999999,positive,2.4429988447403086e-99,3.876914407497236e-103,3,10,10,1,Euryarchaeota,Euryarchaeota,1
midas_g_9269.2,midas_g_9269.3,0.9999999999999999,0.9999999999999999,positive,2.4429988447403086e-99,3.876914407497236e-103,3,10,10,1,Bacteroidota,Bacteroidota,1
Desulfosporosinus.3,midas_g_82137.1,0.9999999999999999,0.9999999999999999,positive,2.4429988447403086e-99,3.876914407497236e-103,3,4,4,1,Firmicutes,Firmicutes,1
Caproiciproducens.1,Christensenellaceae_R-7_group.57,0.9949367088607595,0.9949367088607595,positive,1.1281870886692489e-10,2.327487884073418e-14,5,4,4,1,Firmicutes,Firmicutes,1
Christensenellaceae_R-7_group.57,Propionicicella.4,0.9949367088607595,0.9949367088607595,positive,1.1281870886692489e-10,2.327487884073418e-14,5,4,4,1,Firmicutes,Actinobacteriota,0
