node,degree,pos_degree,neg_degree,strength_abs_rho,community,phylum,top5_pos_neighbors,top5_neg_neighbors
Monoglobus.13,57,34,23,46.625244810431596,1,Firmicutes,midas_g_76603.1 (+0.96); Methanobacterium.5 (+0.95); Petrimonas.4 (+0.94); Petrimonas.2 (+0.93); Aminiphilus.1 (+0.93),Thermovirga.2 (-0.92); EBM-39.1 (-0.90); Methanosarcina.1 (-0.90); Fermentimonas.2 (-0.86); Clostridium_sensu_stricto_13.1 (-0.86)
EBM-39.1,54,33,21,44.10913821667188,5,Synergistota,Thermovirga.2 (+0.98); midas_g_114295.1 (+0.96); Fermentimonas.2 (+0.95); Methanosarcina.1 (+0.92); midas_g_5574.1 (+0.90),midas_g_76603.1 (-0.93); Monoglobus.13 (-0.90); Aminiphilus.1 (-0.88); Methanobacterium.4 (-0.87); Methanobacterium.5 (-0.87)
Petrimonas.4,54,31,23,44.62742532280113,1,Bacteroidota,Ca_Phosphitivorax.1 (+0.99); Methanobacterium.5 (+0.98); midas_g_95534.1 (+0.95); Monoglobus.13 (+0.94); midas_g_49937.1 (+0.94),Thermovirga.2 (-0.88); Taibaiella.1 (-0.87); EBM-39.1 (-0.87); midas_g_114295.1 (-0.86); Clostridium_sensu_stricto_13.1 (-0.86)
Methanobacterium.5,53,35,18,44.08150870024532,1,Euryarchaeota,Petrimonas.4 (+0.98); Ca_Phosphitivorax.1 (+0.97); Monoglobus.13 (+0.95); midas_g_49937.1 (+0.94); midas_g_84729.1 (+0.93),Thermovirga.2 (-0.88); EBM-39.1 (-0.87); Methanosarcina.1 (-0.86); Taibaiella.1 (-0.86); Acinetobacter.1 (-0.85)
Thermovirga.2,51,31,20,41.9633749921916,5,Synergistota,EBM-39.1 (+0.98); midas_g_114295.1 (+0.96); Fermentimonas.2 (+0.96); Methanosarcina.1 (+0.92); Clostridium_sensu_stricto_13.1 (+0.90),midas_g_76603.1 (-0.93); Monoglobus.13 (-0.92); Aminiphilus.1 (-0.89); Petrimonas.4 (-0.88); Methanobacterium.5 (-0.88)
Ca_Phosphitivorax.1,49,26,23,40.298710706415406,1,SAR324_cladeMarine_group_B,Petrimonas.4 (+0.99); Methanobacterium.5 (+0.97); midas_g_95534.1 (+0.97); midas_g_49937.1 (+0.93); Monoglobus.13 (+0.92),Taibaiella.1 (-0.87); Thermovirga.2 (-0.87); Clostridium_sensu_stricto_13.1 (-0.85); midas_g_114295.1 (-0.85); EBM-39.1 (-0.85)
midas_g_76603.1,48,30,18,39.39505301083775,1,Firmicutes,Monoglobus.13 (+0.96); Aminiphilus.1 (+0.95); Petrimonas.2 (+0.93); Methanobacterium.5 (+0.91); Petrimonas.4 (+0.89),EBM-39.1 (-0.93); Methanosarcina.1 (-0.93); Thermovirga.2 (-0.93); Fermentimonas.2 (-0.90); Clostridium_sensu_stricto_13.1 (-0.89)
midas_g_114295.1,48,33,15,39.173609341426086,5,Armatimonadota,EBM-39.1 (+0.96); Thermovirga.2 (+0.96); Fermentimonas.2 (+0.94); midas_g_5574.1 (+0.90); Romboutsia.1 (+0.90),midas_g_76603.1 (-0.89); Petrimonas.4 (-0.86); Monoglobus.13 (-0.86); Ca_Phosphitivorax.1 (-0.85); Aminiphilus.1 (-0.85)
midas_g_49937.1,47,30,17,38.78706633732805,1,Chloroflexi,midas_g_84729.1 (+0.99); Petrimonas.4 (+0.94); Methanobacterium.5 (+0.94); Ca_Phosphitivorax.1 (+0.93); midas_g_92370.1 (+0.91),Acinetobacter.1 (-0.84); Fermentimonas.2 (-0.84); Thermovirga.2 (-0.84); EBM-39.1 (-0.83); Camelimonas.2 (-0.83)
Aminiphilus.1,46,26,20,37.43249815940873,1,Synergistota,midas_g_76603.1 (+0.95); Monoglobus.13 (+0.93); Petrimonas.2 (+0.92); Syner-01.9 (+0.91); Methanobacterium.5 (+0.91),Clostridium_sensu_stricto_13.1 (-0.90); Fermentimonas.2 (-0.90); Thermovirga.2 (-0.89); EBM-39.1 (-0.88); Methanosarcina.1 (-0.87)
midas_g_84729.1,46,31,15,38.037803067629426,1,Chloroflexi,midas_g_49937.1 (+0.99); Methanobacterium.5 (+0.93); Petrimonas.4 (+0.93); Methanothrix.1 (+0.93); Pelolinea.3 (+0.93),Acinetobacter.1 (-0.83); Fermentimonas.2 (-0.83); Thermovirga.2 (-0.83); EBM-39.1 (-0.83); Camelimonas.2 (-0.81)
Fermentimonas.2,45,27,18,37.26200096537995,5,Bacteroidota,Thermovirga.2 (+0.96); EBM-39.1 (+0.95); midas_g_114295.1 (+0.94); Brevundimonas.3 (+0.93); midas_g_5574.1 (+0.92),Aminiphilus.1 (-0.90); midas_g_76603.1 (-0.90); Methanobacterium.4 (-0.86); Petrimonas.4 (-0.86); Monoglobus.13 (-0.86)
