Node,Phylum,Domain,Relative_abundance,Role,Module
Monoglobus.13,Firmicutes,Bacteria,0.0474,,1
EBM-39.1,Synergistota,Bacteria,4.1403,,5
Petrimonas.4,Bacteroidota,Bacteria,0.0701,,1
Methanobacterium.5,Euryarchaeota,Archaea,0.5551,,1
Thermovirga.2,Synergistota,Bacteria,0.9271,,5
Ca_Phosphitivorax.1,SAR324_cladeMarine_group_B,Bacteria,0.0505,,1
midas_g_76603.1,Firmicutes,Bacteria,0.1107,,1
midas_g_114295.1,Armatimonadota,Bacteria,0.1688,,5
midas_g_49937.1,Chloroflexi,Bacteria,0.2635,,1
Aminiphilus.1,Synergistota,Bacteria,0.2243,,1
midas_g_84729.1,Chloroflexi,Bacteria,0.1581,,1
Fermentimonas.2,Bacteroidota,Bacteria,0.3792,,5
Aquamicrobium.2,Proteobacteria,Bacteria,0.3597,,5
Petrimonas.2,Bacteroidota,Bacteria,0.5061,,1
Methanobacterium.4,Euryarchaeota,Archaea,1.0151,,1
Proteiniborus.5,Firmicutes,Bacteria,0.0109,,4
Methanosarcina.1,Halobacterota,Archaea,0.6033,,5
midas_g_82137.2,Firmicutes,Bacteria,0.0272,,4
Christensenellaceae_R-7_group.2,Firmicutes,Bacteria,0.1107,,1
Christensenellaceae.7,Firmicutes,Bacteria,0.015,,4
Acinetobacter.1,Proteobacteria,Bacteria,1.7906,,5
midas_g_97954.1,Firmicutes,Bacteria,0.1624,,5
Christensenellaceae_R-7_group.38,Firmicutes,Bacteria,0.022,,4
Caproiciproducens.1,Firmicutes,Bacteria,0.0148,,4
Clostridium_sensu_stricto_1.7,Firmicutes,Bacteria,0.0053,,4
midas_g_669.2,Firmicutes,Bacteria,0.0812,,5
Camelimonas.2,Proteobacteria,Bacteria,0.048,,5
Desulfuromonadaceae.1,Desulfobacterota,Bacteria,0.2823,,5
Ercella.1,Firmicutes,Bacteria,0.1012,,1
Propionicicella.4,Actinobacteriota,Bacteria,0.0766,,4
Methanothrix.1,Halobacterota,Archaea,0.155,,1
Pelolinea.3,Chloroflexi,Bacteria,0.0348,,1
midas_g_92370.1,Firmicutes,Bacteria,0.1139,,1
Cryptanaerobacter.1,Firmicutes,Bacteria,0.0785,,1
Colidextribacter.6,Firmicutes,Bacteria,0.0042,,4
Syntrophomonas.2,Firmicutes,Bacteria,0.0194,,4
midas_g_95534.1,Firmicutes,Bacteria,0.0183,,1
Anaerostignum.2,Firmicutes,Bacteria,0.0744,,5
Romboutsia.1,Firmicutes,Bacteria,0.869,,5
Bellilinea.1,Chloroflexi,Bacteria,0.0443,,1
Christensenellaceae_R-7_group.57,Firmicutes,Bacteria,0.0701,,4
Rhizobiaceae.1,Proteobacteria,Bacteria,0.7355,,4
Phenylobacterium.1,Proteobacteria,Bacteria,0.0069,,4
midas_g_5574.2,Actinobacteriota,Bacteria,0.0714,,5
Clostridium_sensu_stricto_13.1,Firmicutes,Bacteria,0.0996,,5
midas_g_36376.1,Planctomycetota,Bacteria,0.0514,,5
Syner-01.9,Synergistota,Bacteria,0.0902,,1
midas_g_5574.1,Actinobacteriota,Bacteria,0.0415,,5
Christensenellaceae_R-7_group.42,Firmicutes,Bacteria,0.023,,10
Brevundimonas.3,Proteobacteria,Bacteria,0.083,,5
midas_g_35108.1,Chloroflexi,Bacteria,0.0348,,1
Acinetobacter.2,Proteobacteria,Bacteria,0.1095,,5
Christensenellaceae_R-7_group.4,Firmicutes,Bacteria,0.1942,,5
Reyranella.2,Proteobacteria,Bacteria,0.0021,,4
midas_g_93469.1,Firmicutes,Bacteria,0.0217,,5
Proteiniphilum.15,Bacteroidota,Bacteria,0.0933,,4
Christensenellaceae_R-7_group.63,Firmicutes,Bacteria,0.0424,,5
Methanobacterium.1,Euryarchaeota,Archaea,49.6594,,1
Azoarcus.2,Proteobacteria,Bacteria,2.3878,,5
Alcaligenes.3,Proteobacteria,Bacteria,0.0465,,2
Oscillibacter.3,Firmicutes,Bacteria,0.092,,5
midas_g_112760.1,Firmicutes,Bacteria,0.0696,,1
midas_g_77185.2,Cyanobacteria,Bacteria,0.0029,,4
Desulfovibrio.3,Desulfobacterota,Bacteria,1.2585,,4
Comamonadaceae.3,Proteobacteria,Bacteria,0.5092,,5
Mesotoga.1,Thermotogota,Bacteria,3.8098,,5
Parapusillimonas.1,Proteobacteria,Bacteria,0.0285,,4
Proteiniphilum.14,Bacteroidota,Bacteria,0.0302,,10
midas_g_98017.1,Firmicutes,Bacteria,0.0459,,5
Taibaiella.1,Bacteroidota,Bacteria,0.1946,,9
Lachnoclostridium.1,Firmicutes,Bacteria,1.4198,,9
Lachnoclostridium.2,Firmicutes,Bacteria,0.0131,,4
