"seq","sample","rel_ab","Kingdom","Phylum","Class","Order","Family","Genus","Species","date","media","timepoint","notes"
"0fec351445f84bd482075ceda6123f46","Q",52.3305952822274,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","midas_s_9526",2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"7f78afb7e1d45cd528fe9cd909c93fb5","Q",13.9211363237274,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium",NA,2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"63f37ee4b481fccdffca10160ed5b944","Q",13.1328897820615,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae",NA,NA,2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"d3cf08daefed96f494257ceff63a6cf8","Q",4.5597330887948,"Bacteria","Thermotogota","Thermotogae","Kosmotogales","Kosmotogaceae","Mesotoga","Mesotoga_infera",2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"c55a8101fb6c187736f0af61f720cb92","Q",1.88281661561274,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobium",NA,2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"04869be25e3dc4d526ce3824d407aedf","Q",1.48869334477982,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Aminivibrio","Aminivibrio_pyruvatiphilus",2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"37a9f9625f201b6e61c29ac09ec54683","Q",1.29943613056797,"Bacteria","Firmicutes","Clostridia","Gracilibacteraceae","Lutispora","midas_g_94288","midas_s_99172",2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"b3d8bf326297fb9b18ea4fef1ce8d4a6","Q",1.26431623514721,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio",NA,2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"09ee5eb3e6c726c7c8242f6e97453fc2","Q",1.18041870719763,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","Methanobacterium_formicicum",2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"83adaf3a09d08c93f2abea6a4c815592","Q",0.909215070337346,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Petrimonas","Petrimonas_sulfuriphila",2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"b64cf0e9dea8cef6b9500b364c179b98","Q",0.616549275164381,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales",NA,NA,NA,2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"7281c911136ba2bdcafebb9c71729dea","Q",0.489727430589429,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","Methanobacterium_beijingense",2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"93fadef301b62aa732e42bf1142b3afa","Q",0.460460851072132,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","midas_g_9269",NA,2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"19463e5fe824700110e4a4ec8afe0512","Q",0.411683218543305,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","Methanobacterium_beijingense",2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"e6485d233ed2b8b9a2f3f50f0747b9d2","Q",0.401927692037539,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum","midas_s_56159",2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"a5b2537343a26f4daf0379a8b46eb2ef","Q",0.386318849628314,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Syner-01",NA,2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"f876e4d5cbaa6ac5f3c225bcaf146791","Q",0.316079058786803,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","midas_f_1469","midas_g_2178","midas_s_5149",2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"a402fc6f0fd057decbe746f48bf12862","Q",0.275105847462588,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Petrimonas","Petrimonas_sulfuriphila",2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"5976a56adfe903f7348b5eb5689e3c55","Q",0.255594794451057,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","midas_g_36215","midas_s_87061",2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"3343d19c0bc1759a66023cbc86c92592","Q",0.208768267223382,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","Cloacimonadaceae","LNR_A2-18",NA,2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"0ef7e12e6eb35a8fd9fac7badac0c381","Q",0.189257214211851,"Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9","midas_f_4245","midas_g_49937","midas_s_49937",2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"1d33e98c9d94c262ab0d8b56d0936eb4","Q",0.183403898308392,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga","midas_s_191",2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"a061d8883eca2028db1d268500722130","Q",0.183403898308392,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","Cloacimonadaceae","LNR_A2-18",NA,2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"945e47119242497c2e0bc5b3c6b6ba8e","Q",0.183403898308392,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Aminiphilus","midas_s_8148",2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"e79a45f432d0ccc86adbf9bbe7cef2a7","Q",0.159990634694554,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Hydrogenophilaceae","Thiobacillus",NA,2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"c7553191e309cfc2e28aea2507e7afdf","Q",0.156088424092248,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Anaerovorax",NA,2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"e29f9ab1342fe7d53d4f1e2d03bb5969","Q",0.154137318791095,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Syner-01",NA,2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"e144d237c973d831d708cac2c17df968","Q",0.150235108188789,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Acetobacterium",NA,2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"206069e5a5041e6c7f39a4141aefdc19","Q",0.132675160478411,"Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group","midas_s_47390",2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"916d15ab17794198ea4c5ad1e3fb6258","Q",0.115115212768033,"Bacteria","Firmicutes","Desulfotomaculia","Desulfotomaculales","Desulfurisporaceae","Desulfurispora","midas_s_73526",2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"01bc6f144e0f577c7a5364ebafdb3509","Q",0.109261896864574,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix","midas_s_114219",2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"817555c3b5d93664c38e8fbec64eba2e","Q",0.103408580961114,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Thermovirga","midas_s_99362",2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"43a52ec4605b37f3671b33e61ff6fedd","Q",0.101457475659961,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","midas_g_36215","midas_s_87061",2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"66575db7635d648549a9eb5a4eafb710","Q",0.093653054455349,"Bacteria","WS1","midas_c_796","midas_o_796","midas_f_2296","midas_g_3409","midas_s_3951",2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"9413dd54243692b250670640c660758d","Q",0.0819464226484303,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","midas_f_1469","midas_g_2178","midas_s_5149",2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"8a4c692c01077fa5a93913725097b3bc","Q",0.0780442120461241,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Xanthobacter",NA,2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"3e524f0bf09623c8530930bb8b27045c","Q",0.0780442120461241,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Syner-01",NA,2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"b7806c4f83108800a9c32dc83c148d95","Q",0.076093106744971,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Acetoanaerobium",NA,2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"3e7c933c821c9f18e53e1dda439951cf","Q",0.0663375802392055,"Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9","midas_f_4245","midas_g_84729","midas_s_84729",2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"4835c874610f20a02421b283dbe2f2b6","Q",0.0663375802392055,"Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group","midas_s_3624",2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"924d6dd5b8719a5281dc624d5331f14b","Q",0.0585331590345931,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Thermovirga",NA,2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"0709277372b3816e3986842fb10c8e96","Q",0.0507287378299807,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum","midas_s_90161",2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"29b313a5262947210e3e9de415abaead","Q",0.0409732113242152,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum",NA,2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
"9711e5e56376fe411f8d9ca9e739c6f1","Q",0.0409732113242152,"Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group",NA,2025-03-11,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2",300,"final sampling date"
