seq,10AB,A34,B34,C3,D34,E34,F34,G12,G3,H34,I34,J12,J34,K12,L12,M12,N12,P12,Q
2c8630b0baf30f2cc97a2f0b4bc96aca,0,0,0,0.006697808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593b39ccba286d62eba7872e07c45354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002529968,0
e9610e4b261eb260ad4e507e8c1d634e,0.015624379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8a86fb52c58e6597a806872e474d6ac1,0.01085762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
090b23760e2b4c99732ad0ce04fa8ac2,0.00211856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccd8c51003c6724304379157cbbb67a3,0.00291302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057bcefe7d185d0daf7b610144b1fa59,0.040517458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feb42a0dac8ff0d17d64cdea8f2fcf1e,0.01006316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fcd440ee90ed7a838d67a52025c2c7d6,0.0066205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6175323e639f0195d56844920014159a,0.00211856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
723bd8389de26603c3e8283a20c163c7,0.030983939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62cb0689453660fcfba1346b1152bc84,0.0026482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9f86297104372f6378c6bf3dc1a8e8ec,0.191464852,0.002974758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25fd077b762513468941fbac535c9506,0.032308039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e843b0e0535e8033ed7c08faf28016ca,0.084742396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90a5e55fa876aa0bf69ffe16087cd920,0.077857077,0,0.001306435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5d8d4162e9b3958c6bc4b820eac278dc,0.00211856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
955d34a1529b6fbcf425ced56e3b7fc1,0.030189479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d4b8f75d0e42420455e41ded33426aae,0.0013241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4a19bdfb366f7b08e08a1e91c6074b30,0.00079446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4d472a0025391001536abf639f86372b,0.019067039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5286cf541576f555afe0b5b79d1163d9,0.0039723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40e233849dcafd1ca1e5dd020826ec04,0.075208877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4a1539d5c420d910c842f2dfd2531a6d,0.017213299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
