ASV,Iterative ID,MiDAS Taxonomy
0fec351445f84bd482075ceda6123f46,Methanobacterium.1,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium
7f78afb7e1d45cd528fe9cd909c93fb5,Methanobacterium.2,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium
63f37ee4b481fccdffca10160ed5b944,Methanobacteriaceae.1,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae nan
d3cf08daefed96f494257ceff63a6cf8,Mesotoga.1,Bacteria Thermotogota Thermotogae Kosmotogales Kosmotogaceae Mesotoga
c55a8101fb6c187736f0af61f720cb92,Lentimicrobium.1,Bacteria Bacteroidota Bacteroidia Sphingobacteriales Lentimicrobiaceae Lentimicrobium
04869be25e3dc4d526ce3824d407aedf,Aminivibrio.1,Bacteria Synergistota Synergistia Synergistales Synergistaceae Aminivibrio
37a9f9625f201b6e61c29ac09ec54683,midas_g_94288.1,Bacteria Firmicutes Clostridia Gracilibacteraceae Lutispora midas_g_94288
b3d8bf326297fb9b18ea4fef1ce8d4a6,Desulfovibrio.1,Bacteria Desulfobacterota Desulfovibrionia Desulfovibrionales Desulfovibrionaceae Desulfovibrio
09ee5eb3e6c726c7c8242f6e97453fc2,Methanobacterium.3,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium
83adaf3a09d08c93f2abea6a4c815592,Petrimonas.1,Bacteria Bacteroidota Bacteroidia Bacteroidales Dysgonomonadaceae Petrimonas
b64cf0e9dea8cef6b9500b364c179b98,Burkholderiales.1,Bacteria Proteobacteria Gammaproteobacteria Burkholderiales nan nan
93fadef301b62aa732e42bf1142b3afa,midas_g_9269.1,Bacteria Bacteroidota Bacteroidia Bacteroidales Paludibacteraceae midas_g_9269
19463e5fe824700110e4a4ec8afe0512,Methanobacterium.5,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium
e6485d233ed2b8b9a2f3f50f0747b9d2,Proteiniphilum.1,Bacteria Bacteroidota Bacteroidia Bacteroidales Dysgonomonadaceae Proteiniphilum
5976a56adfe903f7348b5eb5689e3c55,midas_g_36215.1,Bacteria Bacteroidota Bacteroidia Bacteroidales Rikenellaceae midas_g_36215
38b371de3be6ddef03bea94294e9830d,Methanobacterium.6,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium
c571cb007a7d9e2dfc56e8c0b4e24104,Enterobacteriaceae.1,Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae nan
25c54c57b4a4283237b33fdae82003c0,EBM-39.1,Bacteria Synergistota Synergistia Synergistales Synergistaceae EBM-39
4bea53b2aad77f2569a0182f6b84255e,Dysgonomonas.1,Bacteria Bacteroidota Bacteroidia Bacteroidales Dysgonomonadaceae Dysgonomonas
a353b92733af5260a57dd1a0ba3001e1,Methanobacterium.78,Archaea Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae Methanobacterium
d48429274cd09a4257ad8b24c009e8fd,midas_g_25828.1,Bacteria Bacteroidota Bacteroidia Bacteroidales Prolixibacteraceae midas_g_25828
cd05a4b1cda569ae366c6980823f4c72,Azoarcus.4,Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Rhodocyclaceae Azoarcus
bb617d32673d5f60d6216a07ad7a42bc,Desulfovibrio.3,Bacteria Desulfobacterota Desulfovibrionia Desulfovibrionales Desulfovibrionaceae Desulfovibrio
e1382120e151d51cb3b3b6900845f1c8,Desulfomicrobium.1,Bacteria Desulfobacterota Desulfovibrionia Desulfovibrionales Desulfomicrobiaceae Desulfomicrobium
52708c2cfa926ba9b2f69878c97cee2c,Stappia.1,Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Stappiaceae Stappia
0b736ddea36ed16291fa058fe28061f8,midas_g_1799.7,Bacteria Firmicutes Clostridia Proteinivoracales midas_f_1799 midas_g_1799
04e715f54c06e9ccf25afba02b343b5c,midas_g_7.1,Bacteria Firmicutes Dethiobacteria Dethiobacterales Dethiobacteraceae midas_g_7
07e00e1bcc9d9a3c50591f721785e591,Dethiobacteraceae.4,Bacteria Firmicutes Dethiobacteria Dethiobacterales Dethiobacteraceae nan
cd1f95189b8375347f827f4a8b08dcf7,Soehngenia.2,Bacteria Firmicutes Clostridia Peptostreptococcales-Tissierellales Family_XI Soehngenia
