,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Vol (uL),20,Vol (uL).1,20.1
0,,,,,,,,,,,,,Conc (ug),20,Conc (ug),2
1,,,,,,,,,,,,,First Dilution,,Second Dilution,
2,Extracted DNA ID,,Sample Date,Extraction Date,PCR Date,Concentration,A260/A280,A260,A230,A280,A260/A230,bkgrnd,Extracted DNA (uL),DES water (uL),Extracted DNA (uL),DES water (uL)
3,5-10a,,2024-05-10 13:43:00,2024-05-14 00:00:00,,27.86,2.49,,,0,-,,14.357501794687725,5.642498205312275,2,18
4,5-10b,,2024-05-10 13:43:00,2024-05-14 00:00:00,,22.58,1.84,,,0.005,-,,17.71479185119575,2.2852081488042515,2,18
5,,,2024-05-14 00:00:00,,,68.25,2.09,,,0.049,-,,5.86080586080586,14.139194139194139,2,18
6,A1,21.0,2024-06-05 00:00:00,2024-10-25 00:00:00,,92.99,2,,,0.076,-,,4.301537799763415,15.698462200236584,2,18
7,A2,21.0,2024-06-05 00:00:00,2024-10-25 00:00:00,,7.97,3.88,,,-0.451,-0.145,,next,,5.018820577164367,14.981179422835634
8,B1,35.0,2024-06-18 10:40:00,2024-10-25 00:00:00,,33.02,2.09,,,-0.026,-,,12.113870381586915,7.886129618413085,2,18
9,B2,35.0,2024-06-18 10:40:00,2024-10-25 00:00:00,,95.03,2.21,,,-0.306,-,,4.209197095654004,15.790802904345995,2,18
10,C1,68.0,2024-07-22 00:00:00,2024-10-25 00:00:00,,312.47,2.02,,,0.283,-,,1.2801228917976124,18.719877108202386,2,18
11,C2,68.0,2024-07-22 00:00:00,2024-10-25 00:00:00,,10.14,2.54,,,-0.52,0.05,,next,,3.944773175542406,16.055226824457595
12,D1,82.0,2024-08-05 00:00:00,2024-10-25 00:00:00,,69.68,2.12,,,0.031,-,,5.74052812858783,14.25947187141217,2,18
13,D2,82.0,2024-08-05 00:00:00,2024-10-25 00:00:00,,79.14,2.11,,,0.046,-,,5.054334091483447,14.945665908516553,2,18
14,E1,91.0,2024-08-13 09:30:00,2024-10-25 00:00:00,,66.77,2.13,,,0.062,-,,5.990714392691329,14.009285607308671,2,18
15,E2,91.0,2024-08-13 09:30:00,2024-10-25 00:00:00,,54.02,2.02,,,-0.032,-,,7.404664938911514,12.595335061088486,2,18
16,F1,105.0,2024-08-27 11:20:00,2024-10-25 00:00:00,,44.64,2.07,,,-0.021,-,,8.960573476702509,11.039426523297491,2,18
17,F2,105.0,2024-08-27 11:20:00,2024-10-25 00:00:00,,18.84,3.02,,,-0.551,0.05,,next,,2.1231422505307855,17.876857749469213
18,G1,126.0,2024-09-17 11:11:00,2024-10-25 00:00:00,,69.96,2.02,,,-0.018,-,,5.717552887364208,14.282447112635792,2,18
19,G1,126.0,2024-09-17 11:11:00,2024-10-25 00:00:00,,10.82,2.91,,,-0.545,0.09,,next,,3.696857670979667,16.303142329020332
20,H1,140.0,2024-10-01 10:00:00,2024-10-25 00:00:00,,49.17,1.95,,,-0.019,-,,8.135041692088672,11.864958307911328,2,18
21,H2,140.0,2024-10-01 10:00:00,2024-10-25 00:00:00,,13.14,4.98,,,-0.54,0.07,,next,,3.0441400304414,16.9558599695586
22,I1,149.0,2024-10-10 14:50:00,2024-10-25 00:00:00,,12.37,2.68,,,-0.535,0.05,,next,,3.2336297493936947,16.766370250606304
23,I2,149.0,2024-10-10 14:50:00,2024-10-25 00:00:00,,50.99,2.23,0.116,,0.06,,0.014,7.844675426554226,12.155324573445775,2,18
24,J1,161.0,2024-10-22 14:48:00,2024-10-25 00:00:00,,40.21,2.09,0.103,,0.061,,0.022,9.947774185525988,10.052225814474012,2,18
25,J2,161.0,2024-10-22 14:48:00,2024-10-25 00:00:00,,39.93,2.24,0.089,,0.045,,0.009,10.017530678687704,9.982469321312296,2,18
26,,,,,,,,,,,,,next,,,
27,,,,,,,,,,,,,next,,,
28,Extracted DNA ID,,Sample Date,Extraction Date,,,,,,,,,next,,,
29,,,,,,,,,,,,,next,,,
30,A3,21.0,2024-06-05 00:00:00,2024-11-08 00:00:00,"2/20/2025 failed, 3/6/25 success",28.14,2.01,,,0.047,0.04,0.019,14.214641080312722,5.785358919687278,2,18
31,A4,21.0,2024-06-05 00:00:00,2024-11-08 00:00:00,"2/20/2025 failed, 3/6/25 success",15.65,-0.482,,,-0.517,0.04,-0.513,next,,2.5559105431309903,17.44408945686901
32,B3,35.0,2024-06-18 10:40:00,2024-11-08 00:00:00,"2/20/2025 failed, 3/6/25 success",63.64,1.99,,,0.087,0.05,0.023,6.285355122564424,13.714644877435575,2,18
33,B4,35.0,2024-06-18 10:40:00,2024-11-08 00:00:00,"2/20/2025 failed, 3/6/25 success",69.05,1.93,,,0.113,0.07,0.042,5.792903692976105,14.207096307023896,2,18
34,C3,68.0,2024-07-22 00:00:00,2024-11-08 00:00:00,"2/20/2025 failed, 3/6/25 success",32.62,2.74,,,-0.322,0.04,-0.346,12.262415695892091,7.737584304107909,2,18
35,D3,82.0,2024-08-05 00:00:00,2024-11-08 00:00:00,"2/20/2025 failed, 3/6/25 success",52.53,2.6,,,-0.467,0.09,-0.508,7.614696363982486,12.385303636017515,2,18
36,D4,82.0,2024-08-05 00:00:00,2024-11-08 00:00:00,"2/20/2025 failed, 3/6/25 success",317.4,1.99,,,0.343,und,0.024,1.2602394454946442,18.739760554505356,2,18
37,E3,91.0,2024-08-13 09:30:00,2024-11-08 00:00:00,"2/20/2025 failed, 3/6/25 success",39.34,1.94,,,0.046,0.06,0.006,10.167768174885612,9.832231825114388,2,18
38,E4,91.0,2024-08-13 09:30:00,2024-11-08 00:00:00,"2/20/2025 failed, 3/6/25 success",8.26,9.69,,,-0.442,0.05,-0.444,next,,4.842615012106537,15.157384987893462
39,F3,105.0,2024-08-27 11:20:00,2024-11-08 00:00:00,"2/20/2025 failed, 3/6/25 failed",11.25,,,,,,,next,,3.5555555555555554,16.444444444444443
40,F4,105.0,2024-08-27 11:20:00,2024-11-08 00:00:00,"2/20/2025 failed, 3/6/25 success",12.33,2.45,,,0.01,0.01,0,next,,3.2441200324412005,16.755879967558798
41,G3,126.0,2024-09-17 11:11:00,2024-11-08 00:00:00,"2/20/2025 failed, 3/6/25 failed",11.38,13.43,,,-0.503,0.1,-0.505,next,,3.51493848857645,16.48506151142355
42,G4,126.0,2024-09-17 11:11:00,2024-11-08 00:00:00,"2/20/2025 failed, 3/6/25 failed",9.52,0.028,,,0.018,0.01,0.009,next,,4.201680672268908,15.798319327731093
43,H3,140.0,2024-10-01 10:00:00,2024-11-08 00:00:00,"2/20/2025 failed, 3/6/25 success",10.87,2.16,,,0.019,0.01,0.009,next,,3.679852805887765,16.320147194112234
44,H4,140.0,2024-10-01 10:00:00,2024-11-08 00:00:00,"2/20/2025 failed, 3/6/25 success",14.35,2.77,,,0.019,udn,0.009,next,,2.7874564459930316,17.21254355400697
45,I3,149.0,2024-10-10 14:50:00,2024-11-08 00:00:00,"2/20/2025 failed, 3/6/25 failed",12.14,5.8,,,-0.492,0.08,-0.496,next,,3.2948929159802307,16.70510708401977
46,I4,149.0,2024-10-10 14:50:00,2024-11-08 00:00:00,"2/20/2025 failed, 3/6/25 failed",12.02,15.26,,,-0.489,0.08,-0.49,next,,3.327787021630616,16.672212978369384
47,J3,161.0,2024-10-22 14:48:00,2024-11-08 00:00:00,"2/20/2025 failed, 3/6/25 failed",8.86,2.03,,,0.02,0.01,0.011,next,,4.514672686230249,15.485327313769751
48,J4,161.0,2024-10-22 14:48:00,2024-11-08 00:00:00,"2/20/2025 failed, 3/6/25 failed",7.19,-3.44,,,-0.51,0.04,-0.506,next,,5.563282336578581,14.436717663421419
49,K1,182.0,2024-11-12 11:25:00,2025-03-04 00:00:00,,29.41,2.28,0.084,,0.051,,0.025,13.600816048962937,6.399183951037063,2,18
50,K2,182.0,2024-11-12 11:25:00,2025-03-04 00:00:00,,24.86,2.38,0.064,,0.035,,0.014,16.090104585679807,3.909895414320193,2,18
51,L1,189.0,2024-11-19 14:30:00,2025-03-04 00:00:00,,46.62,2.27,0.104,,0.052,,0.011,8.580008580008581,11.419991419991419,2,18
52,L2,189.0,2024-11-19 14:30:00,2025-03-04 00:00:00,,43.45,2.62,0.087,,0.033,,0,9.205983889528193,10.794016110471807,2,18
53,M1,210.0,2024-12-10 11:30:00,2025-03-04 00:00:00,,101.72,2.08,0.219,,0.114,,0.016,3.9323633503735747,16.067636649626426,2,18
54,M2,210.0,2024-12-10 11:30:00,2025-03-04 00:00:00,,75.66,1.95,0.203,,0.129,,0.051,5.286809410520751,14.71319058947925,2,18
55,N1,238.0,2025-01-07 13:00:00,2025-03-04 00:00:00,,138.3,2.01,0.281,,0.142,,0.004,2.8922631959508314,17.107736804049168,2,18
56,N2,238.0,2025-01-07 13:00:00,2025-03-04 00:00:00,,158.51,2.04,0.337,,0.175,,0.02,2.523500094631254,17.476499905368748,2,18
57,P1,283.0,2025-02-21 14:59:00,2025-03-04 00:00:00,,190.6,2.02,0.387,,0.195,,0.006,2.0986358866736623,17.901364113326338,2,18
58,P2,283.0,2025-02-21 14:59:00,2025-03-04 00:00:00,,157.87,2.02,0.32,,0.161,,0.004,2.533730284411224,17.466269715588776,2,18
59,Blank,,none,2025-03-04 00:00:00,,20.94,3.06,0.044,,0.016,,0.002,19.10219675262655,0.8978032473734494,2,18
60,,,,,,,,,,,,,next,,,
61,,,,,,,,,,,,,next,,,
62,,,,,,,,,,,,,next,,,
63,,,,,,,,,,,,,next,,,
64,,,,,,,,,,,,,next,,,
65,,,,,,,,,,,,,next,,,
66,,,,,,,,,,,,,next,,,
67,,,,,,,,,,,,,next,,,
