Days of Operation,Biomass Sample ID,Media description,Media changes,Media Influent Flow Rate (mL/min) based on scales linear projection,"pH adjustment delivery rate (mL/min) - primarily 1 M HCl, sometimes 1 M NaOH",Media Acetate (mol/L),Media Propionate (mol/L),Media Butyrate (mol/L),Media Total VFA (mg COD/L),Media Total COD (mg/L) Hach,Media Ammonia (mol/L),Media Dissolved Inorganic Carbon (mol C/L),Media Dissolved Organic Carbon (mol C/L),Approximate Total Influent C (mol/min) based on Media recipe,H2 delivery rate setpoint (mL/min),CO2 delivery rate setpoint (mL/min),H2 delivery rate (mol/min),H2 delivery rate (e-eq/min),H2 delivery (g COD/min),CO2 delivery rate (mol/min),H2:CO2 ratio,Measured Total Influent C (mol/min),Approximate Total Influent C (mol/min) based on Media recipe + gas,Effluent waste flow rate (mL/min) - measured based on HRT after Day 38.1,Waste Effluent Acetate (mol/L),Waste Effluent Propionate (mol/L),Waste Effluent Butyrate (mol/L),Waste Effluent Total VFA (mg COD/L),Waste Effluent Total COD (mg/L) Hach,Waste Effluent Ammonia (mol/L),Waste Effluent Dissolved Inorganic Carbon (mol C/L),Waste Effluent Dissolved Organic Carbon (mol C/L),Gas Flow Out (mL/min at STP),Gas Composition (% CH4),Gas Composition (% H2),Gas Composition (% CO2),CH4 Production (mol/min),H2 breakthrough (mol/min),CO2 breakthrough (mol/min),Specific CH4 production Rate (m3/m3d) .155,Specific CH4 production Rate (L/m2d),Waste Effluent Dissolved Inorganic Carbon (mol/min) based on sensor,Effluent C as measured (mol/min),Effluent C as biomass (mol/min),Total Effluent C (mol/min) based on MT sensors,H2 Conversion to CH4 Efficiency (%),H2 conversion to CH4 efficiency (30-day rolling average),Accounted H2 (%),Unaccounted H2 (%),C gas only Conversion Efficiency to CH4 (%),CO2 conversion to CH4 efficiency (30-day rolling average),C Conversion to CH4 Efficiency (%),Accounted C (%) based on MT sensors,Unaccounted C (%) based on MT sensors,Projected Cell Yield (g/min),R-TSS,W-TSS,R-VSS,W-VSS,SRT,HRT,pH,"CO2 (mg/L, aqueous dissolved CO2)",ORP (mV),Temp ©,[H],[CO2aq],pKa1,pKa2,[HCO3-],[CO3-2],TIC
0.0,10AB,DSMZ v1: Using DSMZ 120 without NaHCO3,1.0,0.0592216175,0.0,0.0354271680216802,0.0022489849915606,,2480.559206666667,17545.426063635256,,,,2.6705660146199203e-05,1.0915248032216731,0.25,4.872878585811041e-05,0.0002680083222196,0.0124745691796762,1.1160714285714286e-05,4.3660992128866924,1.1160714285714286e-05,3.786637443191349e-05,0.0592216175,0.0355636856368563,0.0355636856368563,,2446.060693333333,,,0.0354169990878835,0.4687478609344043,1.027461111051305,0.0,0.8758853333333333,0.1241146666666666,0.0,4.017580882768791e-05,5.692990772816772e-06,0.0,0.0,2.444631971134612e-07,2.776000652420049e-05,,5.937453969930233e-06,0.0,,0.824477936812806,0.175522063187194,0.0,,0.0,0.1568001705736632,0.8431998294263368,0.0009979655343741,,,,,,,6.902,41.05,-305.292,30.647,1.2531411749414145e-07,0.0009327637528687,6.367441674074073,10.323184679629628,0.003193963781083,1.2110032464186114e-06,0.0041279385371981
0.1,,DSMZ v1: Using DSMZ 120 without NaHCO3,1.0,0.0592216175,0.0,0.0354271680216802,0.0022489849915606,,2480.559206666667,17545.426063635256,,,,2.6705660146199203e-05,1.0915248032216731,0.25,4.872878585811041e-05,0.0002680083222196,0.0124745691796762,1.1160714285714286e-05,4.3660992128866924,1.1160714285714286e-05,3.786637443191349e-05,0.0592216175,0.03523080397470635,0.03523080397470635,,2424.330250734463,,,0.0348286031747391,0.46802789095621833,1.027461111051305,0.0,0.8758853333333333,0.1241146666666666,0.0,4.017580882768791e-05,5.692990772816772e-06,0.0,0.0,2.7053264357372615e-07,2.7717368737540877e-05,,5.963523416390498e-06,0.0,,0.824477936812806,0.175522063187194,0.0,,0.0,0.1574886295785552,0.8425113704214447,0.0009979655343741,,,,,,,6.929,41.05,-391.587,36.75,1.1776059735208049e-07,0.0009327637528687,6.338418518518518,10.273919907407407,0.003633734084242,1.642227177869736e-06,0.0045681400642886
0.2,,DSMZ v1: Using DSMZ 120 without NaHCO3,1.0,0.0592216175,0.0,0.0354271680216802,0.0022489849915606,,2480.559206666667,17545.426063635256,,,,2.6705660146199203e-05,1.0915248032216731,0.25,4.872878585811041e-05,0.0002680083222196,0.0124745691796762,1.1160714285714286e-05,4.3660992128866924,1.1160714285714286e-05,3.786637443191349e-05,0.0592216175,0.034897922312556395,0.034897922312556395,,2402.599808135593,,,0.034240207261594706,0.46730792097803237,0.1669891256423668,0.0,0.8824560000000001,0.1175439999999999,0.0,6.578596243654485e-06,8.762754368083196e-07,0.0,0.0,2.740324771702621e-07,2.7674730950881263e-05,,1.150307913978582e-06,0.0,,0.1350043127035874,0.8649956872964126,0.0,,0.0,0.0303780842828488,0.9696219157171512,0.0009979655343741,,,,,,,6.936,41.05,-435.088,36.75,1.1587773561551239e-07,0.0009327637528687,6.338418518518518,10.273919907407407,0.0036927775133506,1.69602884879632e-06,0.0046272372950681
0.3,,DSMZ v1: Using DSMZ 120 without NaHCO3,1.0,0.0592216175,0.0,0.0354271680216802,0.0022489849915606,,2480.559206666667,17545.426063635256,,,,2.6705660146199203e-05,1.0915248032216731,0.25,4.872878585811041e-05,0.0002680083222196,0.0124745691796762,1.1160714285714286e-05,4.3660992128866924,1.1160714285714286e-05,3.786637443191349e-05,0.0592216175,0.03456504065040644,0.03456504065040644,,2380.869365536723,,,0.03365181134845031,0.4665879509998464,0.1669891256423668,0.0,0.8824560000000001,0.1175439999999999,0.0,6.578596243654485e-06,8.762754368083196e-07,0.0,0.0,2.827379500006694e-07,2.763209316422165e-05,,1.159013386808989e-06,0.0,,0.1350043127035874,0.8649956872964126,0.0,,0.0,0.0306079841071919,0.969392015892808,0.0009979655343741,,,,,,,6.952,41.05,-482.215,36.947,1.1168632477805585e-07,0.0009327637528687,6.337481674074073,10.272329679629628,0.0038396353996765,1.836370499461192e-06,0.0047742355230447
0.4,,DSMZ v1: Using DSMZ 120 without NaHCO3,1.0,0.0592216175,0.0,0.0354271680216802,0.0022489849915606,,2480.559206666667,17545.426063635256,,,,2.6705660146199203e-05,1.0915248032216731,0.25,4.872878585811041e-05,0.0002680083222196,0.0124745691796762,1.1160714285714286e-05,4.3660992128866924,1.1160714285714286e-05,3.786637443191349e-05,0.0592216175,0.03423215898825648,0.03423215898825648,,2359.138922937853,,,0.03306341543530591,0.4658679810216604,0.1669891256423668,0.0,0.8824560000000001,0.1175439999999999,0.0,6.578596243654485e-06,8.762754368083196e-07,0.0,0.0,2.84152658214944e-07,2.7589455377562037e-05,,1.1604280950232636e-06,0.0,,0.1350043127035874,0.8649956872964126,0.0,,0.0,0.0306453446476582,0.9693546553523418,0.0009979655343741,,,,,,,6.96,41.05,-508.657,35.831,1.0964781961431838e-07,0.0009327637528687,6.342788874074073,10.28133827962963,0.0038635166395036,1.8435057960721224e-06,0.0047981238981685
0.5,,DSMZ v1: Using DSMZ 120 without NaHCO3,1.0,0.0592216175,0.0,0.0354271680216802,0.0022489849915606,,2480.559206666667,17545.426063635256,,,,2.6705660146199203e-05,1.0915248032216731,0.25,4.872878585811041e-05,0.0002680083222196,0.0124745691796762,1.1160714285714286e-05,4.3660992128866924,1.1160714285714286e-05,3.786637443191349e-05,0.0592216175,0.03389927732610653,0.03389927732610653,,2337.408480338983,,,0.032475019522161516,0.4651480110434744,0.1669891256423668,0.0,0.8824560000000001,0.1175439999999999,0.0,6.578596243654485e-06,8.762754368083196e-07,0.0,0.0,2.914506231960682e-07,2.7546817590902424e-05,,1.1677260600043878e-06,0.0,,0.1350043127035874,0.8649956872964126,0.0,,0.0,0.0308380740834865,0.9691619259165136,0.0009979655343741,,,,,,,6.968,41.05,-519.992,37.013,1.0764652136298317e-07,0.0009327637528687,6.337167807407407,10.271796912962962,0.0039866109351795,1.980646362616507e-06,0.0049213553344109
0.6000000000000001,,DSMZ v1: Using DSMZ 120 without NaHCO3,1.0,0.0592216175,0.0,0.03505004767640267,0.002253140485953765,,2457.2619680246917,17545.426063635256,,,,2.6705660146199203e-05,1.0915248032216731,0.25,4.872878585811041e-05,0.0002680083222196,0.0124745691796762,1.1160714285714286e-05,4.3660992128866924,1.1160714285714286e-05,3.786637443191349e-05,0.0592216175,0.033566395663956576,0.033566395663956576,,2315.678037740113,,,0.03188662360901712,0.46442804106528845,0.1669891256423668,0.0,0.8824560000000001,0.1175439999999999,0.0,6.578596243654485e-06,8.762754368083196e-07,0.0,0.0,2.902628193309105e-07,2.750417980424281e-05,,1.1665382561392302e-06,0.0,,0.1350043127035874,0.8649956872964126,0.0,,0.0,0.0308067057815833,0.9691932942184166,0.0009979655343741,,,,,,,6.968,41.05,-519.992,36.553,1.0764652136298317e-07,0.0009327637528687,6.339355362962962,10.275510135185185,0.0039665807338298,1.953917231547478e-06,0.0049012984039301
0.7000000000000001,,DSMZ v1: Using DSMZ 120 without NaHCO3,1.0,0.0592216175,0.0,0.03467292733112515,0.00225729598034693,,2433.964729382716,17545.426063635256,,,,2.6705660146199203e-05,1.0915248032216731,0.25,4.872878585811041e-05,0.0002680083222196,0.0124745691796762,1.1160714285714286e-05,4.3660992128866924,1.1160714285714286e-05,3.786637443191349e-05,0.0592216175,0.03323351400180662,0.03323351400180662,,2293.9475951412423,,,0.03129822769587272,0.4637080710871025,0.1669891256423668,0.0,0.8824560000000001,0.1175439999999999,0.0,6.578596243654485e-06,8.762754368083196e-07,0.0,0.0,2.87408447040393e-07,2.74615420175832e-05,,1.1636838838487129e-06,0.0,,0.1350043127035874,0.8649956872964126,0.0,,0.0,0.030731325649914,0.969268674350086,0.0009979655343741,,,,,,,6.968,41.05,-519.992,35.438,1.0764652136298317e-07,0.0009327637528687,6.344657807407407,10.284510662962962,0.003918445887571,1.890615398279019e-06,0.004853100255838
0.8,,DSMZ v1: Using DSMZ 120 without NaHCO3,1.0,0.0592216175,0.0,0.03429580698584762,0.0022614514747400943,,2410.667490740741,17545.426063635256,,,,2.6705660146199203e-05,1.0915248032216731,0.25,4.872878585811041e-05,0.0002680083222196,0.0124745691796762,1.1160714285714286e-05,4.3660992128866924,1.1160714285714286e-05,3.786637443191349e-05,0.0592216175,0.03290063233965667,0.03290063233965667,,2272.2171525423723,,,0.030709831782728327,0.4629881011089165,0.1669891256423668,0.0,0.8824560000000001,0.1175439999999999,0.0,6.578596243654485e-06,8.762754368083196e-07,0.0,0.0,2.920666633451205e-07,2.7418904230923587e-05,,1.1683421001534402e-06,0.0,,0.1350043127035874,0.8649956872964126,0.0,,0.0,0.0308543428749484,0.9691456571250516,0.0009979655343741,,,,,,,6.976,41.05,-519.992,35.569,1.0568175092136569e-07,0.0009327637528687,6.344034829629629,10.28345320185185,0.0039970246947384,1.9691718992226053e-06,0.0049317576195064
0.9,,DSMZ v1: Using DSMZ 120 without NaHCO3,1.0,0.0592216175,0.0,0.03391868664057009,0.002265606969133259,,2387.3702520987654,17545.426063635256,,,,2.6705660146199203e-05,1.0915248032216731,0.25,4.872878585811041e-05,0.0002680083222196,0.0124745691796762,1.1160714285714286e-05,4.3660992128866924,1.1160714285714286e-05,3.786637443191349e-05,0.0592216175,0.03256775067750671,0.03256775067750671,,2250.4867099435023,,,0.030121435869583928,0.46226813113073056,0.1669891256423668,0.0,0.8824560000000001,0.1175439999999999,0.0,6.578596243654485e-06,8.762754368083196e-07,0.0,0.0,3.006064155611581e-07,2.7376266444263974e-05,,1.1768818523694778e-06,0.0,,0.1350043127035874,0.8649956872964126,0.0,,0.0,0.0310798662408411,0.9689201337591588,0.0009979655343741,,,,,,,6.992,41.05,-519.992,35.438,1.0185913880541149e-07,0.0009327637528687,6.344657807407407,10.284510662962962,0.0041410822228913,2.1115588540258403e-06,0.005075957534614
1.0,,DSMZ v1: Using DSMZ 120 without NaHCO3,1.0,0.0592216175,0.0,0.03354156629529256,0.002269762463526424,,2364.0730134567902,17545.426063635256,,,,2.6705660146199203e-05,1.0915248032216731,0.25,4.872878585811041e-05,0.0002680083222196,0.0124745691796762,1.1160714285714286e-05,4.3660992128866924,1.1160714285714286e-05,3.786637443191349e-05,0.0592216175,0.03223486901535676,0.03223486901535676,,2228.7562673446323,,,0.029533039956439532,0.4615481611525446,0.1669891256423668,0.0,0.8824560000000001,0.1175439999999999,0.0,6.578596243654485e-06,8.762754368083196e-07,0.0,0.0,3.190702993507426e-07,2.733362865760436e-05,,1.1953457361590623e-06,0.0,,0.1350043127035874,0.8649956872964126,0.0,,0.0,0.0315674725687927,0.9684325274312072,0.0009979655343741,,,,,,,7.016,41.05,-519.992,37.013,9.638290236239694e-08,0.0009327637528687,6.337167807407407,10.271796912962962,0.0044524992367021,2.470625620273071e-06,0.0053877336151911
1.1,,DSMZ v1: Using DSMZ 120 without NaHCO3,1.0,0.0592216175,0.0,0.03316444595001503,0.002273917957919589,,2340.775774814815,17545.426063635256,,,,2.6705660146199203e-05,1.0915248032216731,0.25,4.872878585811041e-05,0.0002680083222196,0.0124745691796762,1.1160714285714286e-05,4.3660992128866924,1.1160714285714286e-05,3.786637443191349e-05,0.0592216175,0.031901987353206804,0.031901987353206804,,2207.0258247457623,,,0.028944644043295137,0.46082819117435864,0.8864169108691787,0.0,0.8846186666666667,0.1153813333333333,0.0,3.5006292223387425e-05,4.565891297558051e-06,0.0,0.0,3.441213850081863e-07,2.7290990870944748e-05,,4.910012682566238e-06,0.0,,0.7183904053205747,0.2816095946794252,0.0,,0.0,0.1296668285841518,0.8703331714158481,0.0009979655343741,,,,,,,7.056,41.05,-519.992,36.881,8.790225168308837e-08,0.0009327637528687,6.33779554074074,10.272862446296296,0.0048750168412265,2.958786810440982e-06,0.0058107393809057
