,Unnamed: 0,Unnamed: 1,Unnamed: 2,2024-05-14 12:42:00,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,DNA Processing,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,RNA Processing,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Dates of Interest,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
0,Sampling Date/Time,Sample ID,Notes/Comments,Operating Day,Analysis Date,Description,DNA/RNA/both,"Number of Samples Taken (DNA, RNA)","Number of Samples Remaining (DNA, RNA)",DNA Extracted?,Notes,Extraction Date,Sample ID,Replicates,DNA Storage Location,Extraction Date,RNA Extracted?,Replicates,RNA Storage Location,,,,,Day,MEDIA RELATED,Notes,Day,PERFORMANCE RELATED,Notes
1,,,,,,,,,,,,,,,,,,,,,,,,1,2024-05-14 00:00:00,Using DSMZ 120 without NaHCO3,,,
2,2024-05-10 13:43:00,5-10a,inoculum (from old bioreactor),-3.9576388888890506,2024-05-14 00:00:00,Reactor body liquid sample,,,,yes,,2024-05-10 00:00:00,5-10AB,1,"-20C freezer, box",,,,,,,,,38,2024-06-21 00:00:00,Dropped Na-Ac out of DSMZ 120 media,33,2024-06-17 00:00:00,"methanogen inhibition due to lack of wasting, what microbes were hanging out here?"
3,2024-05-10 13:43:00,5-10b,inoculum (from old bioreactor),-3.9576388888890506,2024-05-14 00:00:00,Waste liquid sample,,,,yes,,2024-05-10 00:00:00,5-10AB,1,"-20C freezer, box",,,,,,,,,52,2024-07-05 00:00:00,"not sure, but it seems like something happened",62-94,7/15/24 to 8/16/24,lots of CO2 in product gas (methanol?)
4,2024-05-14 00:00:00,,,-0.5291666666671517,,,,,,,,,,,,,,,,,,,,94,2024-08-16 00:00:00,"dropped yeast, casitone, and bicarb out of DSMZ 120",,,
5,2024-06-05 00:00:00,,highest production rate to date in subsequent days,21.47083333333285,,Reactor body liquid sample,DNA,5,1,yes,,2024-10-25 00:00:00,"A1, A2, A3, A4",4,"-20C freezer, box",,,,,,,,,104,2024-08-27 00:00:00,still using DSMZ 120 with methanol,,,
6,2024-06-14 00:00:00,,"no liquid wasting, acetate accumulation (NOT FOUND!)",30.47083333333285,,Reactor body liquid sample,DNA,5,5,,,,,,,,,,,,,,,107,8/29/24 or 8/30/2024,dropped out methanol,,,
7,2024-06-18 10:40:00,x,"no liquid wasting, acetate accumulation, stagnation phase because forgot to put influent pump",34.9152777777781,,Reactor body liquid sample,DNA,5,1,yes,,2024-10-25 00:00:00,"B1, B2, B3, B4",4,"-20C freezer, box",,,,,,,,,112,9/16/2024??,put in Speece media + EDTA + cysteine + vitamins as in DSMZ 120,118-124,9/9/24 to 9/16/24,">93% methane in product gas, Speece, <7% CO2"
8,2024-07-02 00:00:00,,"NOT DECANTED, may be damaged",48.47083333333285,,Reactor body liquid sample,DNA,3,5,,,,,,,,,,,,,,,,,,,,
9,2024-07-12 00:00:00,,,58.47083333333285,,Reactor body liquid sample,DNA,5,5,,,,,,,,,,,,,,,,,,,,
