,Inoculation Date,2024-05-14 12:42:00,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,COD conversions,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
0,,Reactor,,,,,,,,,,,Waste,,,,,,,,,,,Media,,,,,,,,,,,,methanol to COD,1185,mg COD/mL methanol,from internet,,,,,,
1,Days Since Inoculation,Date/Time,Dilution,1.0,2.0,3.0,4.0,5.0,Average (mg/L),St. dev,,Days Since Inoculation,Date/Time,Dilution,1.0,2.0,3.0,4.0,5.0,Average (mg/L),St. dev,,Days Since Inoculation,Date/Time,Dilution,1.0,2.0,3.0,4.0,5.0,Average (mg/L),St. dev,,,,casitone,1075200,mg COD/g casiton,from Hach test,,,,,,
2,99.8972222222219,2024-08-22 10:14:00,20,1.0,,,,,20,,,99.8972222222219,2024-08-22 10:14:00,20,6.0,,,,,120,,,80.1875,2024-08-02 17:12:00,20,190.0,,,,,3800,,,,,yeast extract,870400,mg COD/g yeast extract,from Hach test,,,,,,
3,106.93541666666715,2024-08-29 11:09:00,40,161.0,,,,,6440,,,106.93541666666715,2024-08-29 11:09:00,40,139.0,139.0,139.0,,,5560,0,,99.8972222222219,2024-08-22 10:14:00,20,184.0,,,,,3680,,,,,pre methanol stuff,,,from Hach test,,,,,,
4,106.93541666666715,2024-08-29 11:09:00,20,189.0,,,,,3780,,,106.93541666666715,2024-08-29 11:09:00,20,190.0,,,,,3800,,,106.93541666666715,2024-08-29 11:09:00,80,156.0,,,,,12480,,,,,,,,from internet,,,,,,
5,114.90763888888614,2024-09-06 10:29:00,50,12.0,12.0,11.0,11.0,,575,28.867513459481287,,114.90763888888614,2024-09-06 10:29:00,50,10.0,8.0,8.0,9.0,,437.5,47.871355387816905,,106.93541666666715,2024-08-29 11:09:00,40,190.0,,,,,7600,,,,,,,,,,,,,,
6,117.88680555555766,2024-09-09 09:59:00,50,14.0,14.0,11.0,12.0,,637.5,75,,117.88680555555766,2024-09-09 09:59:00,50,8.0,8.0,7.0,,,383.33333333333337,28.86751345948129,,114.90763888888614,2024-09-06 10:29:00,100,132.0,132.0,131.0,132.0,,13175,50,,,,,,casitone,1.953125,g/L,2100,mg COD/L,,,
7,120.50208333333285,2024-09-12 00:45:00,10,19.0,18.0,19.0,,,186.66666666666669,5.773502691896258,,124.90555555555329,2024-09-16 10:26:00,5,15.0,15.0,14.0,15.0,14.0,73,2.73861278752583,,117.88680555555766,2024-09-09 09:59:00,100,0.0,5.0,8.0,5.0,,450,331.66247903554,,,,,,yeast extract,1.953125,g/L,1700,mg COD/L,,,
8,124.90555555555329,2024-09-16 10:26:00,5,10.0,9.0,9.0,9.0,9.0,46,2.23606797749979,,131.8756944444467,2024-09-23 09:43:00,5,95.0,95.0,95.0,94.0,,473.75,2.5,,120.50208333333285,2024-09-12 00:45:00,10,15.0,15.0,15.0,,,150,0,,,,,,pre-methanol stuff,66.66666666666667,g/L,2100,mg COD ,,L,
9,131.8756944444467,2024-09-23 09:43:00,5,92.0,91.0,92.0,92.0,,458.75,2.5,,135.02430555555475,2024-09-26 13:17:00,20,10.0,8.0,9.0,,,180,20,,131.8756944444467,2024-09-23 09:43:00,5,114.0,114.0,114.0,114.0,,570,0,,,,,,,,,,L,1.953125,g,
10,135.02430555555475,2024-09-26 13:17:00,5,97.0,95.0,97.0,,,481.66666666666663,5.773502691896258,,135.02430555555475,2024-09-26 13:17:00,5,100.0,100.0,100.0,,,500,0,,135.02430555555475,2024-09-26 13:17:00,20,36.0,36.0,36.0,,,720,0,,,,Media COD sources,,,mg COD/L,,,,,,
11,138.9020833333343,2024-09-30 10:21:00,10,96.0,96.0,97.0,97.0,97.0,966,5.47722557505166,,138.9020833333343,2024-09-30 10:21:00,10,93.0,94.0,94.0,94.0,93.0,936,5.47722557505166,,135.02430555555475,2024-09-26 13:17:00,5,133.0,134.0,133.0,,,666.6666666666667,2.886751345948129,,,,9.765625,mL/L,methanol,11.572265625,9.76,mL methanol,1185000,mg COD,,L
12,141.92638888888905,2024-10-03 10:56:00,10,33.0,33.0,33.0,33.0,33.0,330,0,,141.92638888888905,2024-10-03 10:56:00,10,39.0,39.0,39.0,39.0,39.0,390,0,,138.9020833333343,2024-09-30 10:21:00,10,83.0,82.0,83.0,82.0,83.0,826,5.47722557505166,,,,1.953125,g/L,casitone,2100000,,L media,,L methanol,1000,mL
13,145.90416666666715,2024-10-07 10:24:00,10,19.0,19.0,19.0,19.0,,190,0,,145.90416666666715,2024-10-07 10:24:00,10,16.0,16.0,16.0,16.0,,160,0,,141.92638888888905,2024-10-03 10:56:00,10,34.0,34.0,34.0,34.0,34.0,340,0,,,,1.953125,g/L,yeast extract,,,g cas,,mg COD,,
14,148.84166666666715,2024-10-10 08:54:00,10,24.0,25.0,24.0,24.0,24.0,242,4.47213595499958,,148.84166666666715,2024-10-10 08:54:00,10,25.0,25.0,25.0,25.0,25.0,250,0,,145.90416666666715,2024-10-07 10:24:00,10,51.0,51.0,51.0,51.0,,510,0,note: Wolfe media (inorganic acid) added this day,,,,,,,,L media,,g cas,,
15,153.847222222219,2024-10-15 09:02:00,10,30.0,30.0,31.0,31.0,,305,5.773502691896257,,153.847222222219,2024-10-15 09:02:00,10,39.0,39.0,39.0,39.0,,390,0,,148.84166666666715,2024-10-10 08:54:00,10,44.0,44.0,44.0,44.0,44.0,440,0,,,,,,,,,,,,,
16,155.83333333333576,2024-10-17 08:42:00,10,30.0,30.0,30.0,30.0,30.0,300,0,,155.83333333333576,2024-10-17 08:42:00,10,28.0,28.0,28.0,29.0,28.0,282,4.47213595499958,,153.847222222219,2024-10-15 09:02:00,10,57.0,57.0,57.0,57.0,,570,0,,,,,,,,,,,,,
17,159.92152777777665,2024-10-21 10:49:00,10,21.0,21.0,21.0,21.0,21.0,210,0,,159.92152777777665,2024-10-21 10:49:00,10,23.0,22.0,22.0,23.0,23.0,226,5.47722557505166,,155.83333333333576,2024-10-17 08:42:00,10,57.0,57.0,57.0,57.0,56.0,568,4.47213595499958,,,,,,,,,,,,,
18,166.47083333333285,2024-10-28 00:00:00,10,49.0,48.0,49.0,49.0,49.0,488,4.47213595499958,,166.47083333333285,2024-10-28 00:00:00,10,52.0,52.0,53.0,52.0,52.0,522,4.47213595499958,,159.92152777777665,2024-10-21 10:49:00,10,32.0,33.0,32.0,32.0,33.0,324,5.47722557505166,,,,,,,,,,,,,
19,169.9597222222219,2024-10-31 11:44:00,10,33.0,32.0,33.0,32.0,33.0,326,5.47722557505166,,169.9597222222219,2024-10-31 11:44:00,10,32.0,32.0,32.0,32.0,32.0,320,0,,166.47083333333285,2024-10-28 00:00:00,10,61.0,62.0,62.0,61.0,61.0,614,5.47722557505166,,,,,,,,,,,,,
20,173.47083333333285,2024-11-04 00:00:00,10,34.0,34.0,34.0,33.0,34.0,338,4.47213595499958,,173.47083333333285,2024-11-04 00:00:00,10,32.0,32.0,32.0,32.0,32.0,320,0,,169.9597222222219,2024-10-31 11:44:00,10,63.0,63.0,64.0,64.0,64.0,636,5.47722557505166,,,,,,,,,,,,,
21,180.8930555555562,2024-11-11 10:08:00,10,35.0,33.0,34.0,35.0,34.0,342,8.366600265340756,,180.8930555555562,2024-11-11 10:08:00,10,37.0,36.0,36.0,36.0,36.0,362,4.47213595499958,,180.8930555555562,2024-11-11 10:08:00,10,53.0,53.0,53.0,53.0,53.0,530,0,,,,,,,,,,,,,
22,183.9812499999971,2024-11-14 12:15:00,10,82.0,82.0,82.0,82.0,81.0,818,4.47213595499958,,187.80555555555475,2024-11-18 08:02:00,10,30.0,31.0,31.0,31.0,31.0,308,4.47213595499958,,183.9812499999971,2024-11-14 12:15:00,10,87.0,87.0,87.0,88.0,88.0,874,5.47722557505166,,,,,,,,,,,,,
23,187.80555555555475,2024-11-18 08:02:00,10,23.0,23.0,22.0,23.0,23.0,228,4.47213595499958,,190.9638888888876,2024-11-21 11:50:00,10,24.0,24.0,23.0,23.0,23.0,234,5.47722557505166,,187.80555555555475,2024-11-18 08:02:00,10,51.0,51.0,51.0,50.0,50.0,506,5.47722557505166,using Emily's vials? most likely start date,,,,,,,,,,,,
24,194.8979166666686,2024-11-25 10:15:00,10,25.0,25.0,26.0,25.0,25.0,252,4.47213595499958,,194.8979166666686,2024-11-25 10:15:00,10,26.0,27.0,27.0,27.0,27.0,268,4.47213595499958,,190.9638888888876,2024-11-21 11:50:00,10,34.0,34.0,34.0,33.0,34.0,338,4.47213595499958,,,,,,,,,,,,,
25,201.9319444444409,2024-12-02 11:04:00,10,27.0,27.0,27.0,26.0,27.0,268,4.47213595499958,,201.9319444444409,2024-12-02 11:04:00,10,33.0,33.0,32.0,32.0,31.0,322,8.366600265340756,,194.8979166666686,2024-11-25 10:15:00,10,55.0,56.0,55.0,55.0,56.0,554,5.47722557505166,,,,,,,,,,,,,
26,204.94444444444525,2024-12-05 11:22:00,10,57.0,57.0,57.0,56.0,57.0,568,4.47213595499958,,204.94444444444525,2024-12-05 11:22:00,10,56.0,56.0,56.0,56.0,56.0,560,0,,201.9319444444409,2024-12-02 11:04:00,10,41.0,41.0,41.0,41.0,41.0,410,0,,,,,,,,,,,,,
27,208.91319444444525,2024-12-09 10:37:00,10,55.0,51.0,54.0,55.0,50.0,530,23.45207879911715,,208.91319444444525,2024-12-09 10:37:00,10,49.0,50.0,50.0,49.0,50.0,496,5.47722557505166,,204.94444444444525,2024-12-05 11:22:00,10,84.0,84.0,85.0,84.0,84.0,842,4.47213595499958,back to using our vials,,,,,,,,,,,,
28,211.96527777777374,2024-12-12 11:52:00,10,54.0,55.0,55.0,55.0,55.0,548,4.47213595499958,,211.96527777777374,2024-12-12 11:52:00,10,52.0,52.0,52.0,52.0,52.0,520,0,,208.91319444444525,2024-12-09 10:37:00,10,80.0,80.0,80.0,79.0,80.0,798,4.47213595499958,,,,,,,,,,,,,
29,215.878472222219,2024-12-16 09:47:00,10,46.0,46.0,46.0,46.0,46.0,460,0,,215.878472222219,2024-12-16 09:47:00,10,44.0,44.0,44.0,44.0,44.0,440,0,,211.96527777777374,2024-12-12 11:52:00,10,64.0,64.0,64.0,64.0,64.0,640,0,,,,,,,,,,,,,
30,236.9111111111124,2025-01-06 10:34:00,10,51.0,51.0,52.0,52.0,52.0,516,5.47722557505166,,236.9111111111124,2025-01-06 10:34:00,10,57.0,57.0,57.0,57.0,58.0,572,4.47213595499958,,215.878472222219,2024-12-16 09:47:00,10,77.0,76.0,76.0,76.0,76.0,762,4.47213595499958,,,,,,,,,,,,,
31,240.0402777777781,2025-01-09 13:40:00,10,49.0,49.0,49.0,49.0,49.0,490,0,,240.0402777777781,2025-01-09 13:40:00,10,51.0,51.0,52.0,52.0,52.0,516,5.47722557505166,,236.9111111111124,2025-01-06 10:34:00,10,57.0,57.0,57.0,57.0,57.0,570,0,,,,,,,,,,,,,
