,Reactor Volume (L),0.41,membrane surface area,0.1451,m2,Unnamed: 5,Reactor body (L),0.155,Correction,0.011,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,98.9546,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,0.3164351879237923,Unnamed: 22,0.4295808141706501,Unnamed: 24,0.4750679682390584,CH4 Prod Rate (m3CH4/m3rv.d),Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61
0,,,,Time Interval,,Downtime (min) time when reactor was not receiving CO2 and H2 gas,,BlueVCount Values (if applicable),,Volume,Flow Rate (mL/min),H2,,,CH4,,,CO2,,,H2,,CH4,,CO2,,RV 0.41 L,RV 0.155 L,Surface area normalized (m3/m2d),CH4 prod rate (mL/min),H2,,,CH4,,,CO2,,,H2,,CH4,,CO2,,,,,CO2 pressure (psi),,,,Location of Raw Results,,,,H2,,CH4,,CO2,
1,Sample ID,Notes,Date/Time of Analysis,Start,End,,Time Since Inoculation (d),Start,End,,,1,2.0,3.0,1,2.0,3.0,1,2.0,3.0,av,stdev,av,stdev,av,stdev,,,,,1,2.0,3.0,1,2.0,3.0,1,2.0,3.0,av,stdev,av,stdev,av,stdev,,Description,H2 Setpoint (SCCM),upstream,downstream,TMP (psi),,Screenshot,.CHD file path,Number of Replicates,Notes,av,stdev,av,stdev,av,stdev
2,Reactor Flowthrough ,,2024-05-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H2 vs. CO2 gas flowthrough composition test, with media",1,,,,,,,1,,,,,,,
3,Reactor Flowthrough 2,,2024-05-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H2 vs. CO2 gas flowthrough composition test, with media",1,,,,,,,1,,,,,,,
4,Reactor Flowthrough 3,,2024-05-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H2 vs. CO2 gas flowthrough composition test, with media",1,,,,,,,1,,,,,,,
5,Reactor Flowthrough 4,,2024-05-14 00:00:00,2024-05-14 11:48:00,2024-05-14 11:48:00,,, ,1464.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H2 vs. CO2 gas flowthrough composition test, with media",1,15,9,0.5,,,,1,,,,,,,
6,MBfR_01,,2024-05-14 00:00:00,2024-05-14 12:42:00,2024-05-14 13:54:00,,0.05000000000291038,0,74.8,73.9772,1.027461111051305,87.5704,87.4553,87.7399,0,0.0,0.0,12.4296,12.5447,12.2601,87.58853333333333,0.1431639037374117,0,0,12.411466666666668,0.14316390373740684,0,0,0,0,68.4465,69.4075,70.5189,0,0.0,0.0,9.7152,9.9559,9.8537,,,,,,,,Inoculated reactor gas composition,1,15,9,0.6,,,"C:\Peak495Win10\MBfR_01_01.CHR, C:\Peak495Win10\MBfR_01_02.CHR,C:\Peak495Win10\MBfR_01_03.CHR",3,,87.58853333333333,0.1431639037374117,0,0,12.411466666666668,0.14316390373740684
7,MBfR_02,,2024-05-14 00:00:00,2024-05-14 13:54:00,2024-05-14 14:14:00,,0.0638888888861402,74.8,93.6,18.593199999999996,0.9296600003787931,87.8956,87.826,87.9753,0,0.0,0.0,12.1044,12.174,12.0247,87.89896666666668,0.07470691623493862,0,0,12.101033333333334,0.07470691623493336,0,0,0,0,78.1612,78.0009,78.0188,0,,,10.7639,10.8121,10.6638,,,,,,,,Inoculated reactor gas composition,1,15,9,0.6,,,"C:\Peak495Win10\MBfR_02_01.CHR, C:\Peak495Win10\MBfR_02_02.CHR,C:\Peak495Win10\MBfR_02_03.CHR",3,,87.89896666666668,0.07470691623493862,0,0,12.101033333333334,0.07470691623493336
8,MBfR_03,,,2024-05-14 14:14:00,2024-05-15 12:55:00,,1.0090277777781012,93.6,323.4,227.27219999999997,0.16698912564236681,87.4242,88.7161,88.5965,0,0.0,0.0,12.5758,11.2839,11.4035,88.24560000000001,0.7138623886996721,0,0,11.754399999999999,0.7138623886996709,0,0,0,0,83.1479,81.7226,81.4294,,,,11.9607,10.3944,10.4811,,,,,,,,,1,15,9,0.55,,,"C:\Peak495Win10\MBfR_03_01.CHR, C:\Peak495Win10\MBfR_03_02.CHR,C:\Peak495Win10\MBfR_03_03(2).CHR",3,,88.24560000000001,0.7138623886996721,0,0,11.754399999999999,0.7138623886996709
9,MBfR_04,,2024-05-17 00:00:00,2024-05-15 12:55:00,2024-05-16 16:13:00,,2.1465277777751908,323.4,1791.5,1451.9508999999998,0.8864169108691787,88.2643,88.5582,88.5631,0,0.0,0.0,11.7357,11.4418,11.4369,88.46186666666667,0.17111529251745067,0,0,11.538133333333334,0.17111529251745217,0,0,0,0,76.0213,76.5723,76.8218,,,,10.1079,9.8932,9.9207,,,,,,,,,1,15,9.7,0.425,,,"C:\Peak495Win10\MBfR_04_01.CHR, C:\Peak495Win10\MBfR_04_02.CHR,C:\Peak495Win10\MBfR_04_03.CHR",3,"did not change bag, actually partially emptied manually before leaving the lab",88.46186666666667,0.17111529251745067,0,0,11.538133333333334,0.17111529251745217
10,MBfR_05,,2024-05-20 00:00:00,2024-05-16 16:13:00,2024-05-17 15:10:00,,3.102777777778101,1791.5,2617.8,817.2107000000002,0.5934718228013892,93.0783,93.1119,93.3633,0,0.0,0.0,6.9217,6.8881,6.6367,93.1845,0.15575403686581893,0,0,6.8155,0.15575403686582243,0,0,0,0,55.8409,56.239,55.8584,,,,4.1525,4.1604,3.9707,,,,,,,,Inoculated reactor gas composition,1,15,9.8,0.4,,,"C:\Peak495Win10\MBfR_05_01.CHR, C:\Peak495Win10\MBfR_05_02.CHR,C:\Peak495Win10\MBfR_05_03.CHR",3,Leak discovered in bag,93.1845,0.15575403686581893,0,0,6.8155,0.15575403686582243
11,MBfR_06,,2024-05-20 00:00:00,2024-05-17 15:10:00,2024-05-20 13:57:00,,6.052083333335759,2617.8,5042.4,2397.9293999999995,0.5646172356953828,93.1217,93.5375,93.5695,5.3327,5.0451,4.9366,1.5457,1.4174,1.4939,93.40956666666666,0.24981275654644264,5.1048,0.2046872492364875,1.4856666666666667,0.06454504886769658,0.10123052715317117,0.2677710718245173,0.00028604077279669317,0.0288225806477779,,,,,,,,,,,,,,,,,Inoculated reactor gas composition,1,15,9.8,0.45,,,"C:\Peak495Win10\MBfR_06_01.CHR, C:\Peak495Win10\MBfR_06_02.CHR,C:\Peak495Win10\MBfR_06_03.CHR",3,,93.40956666666666,0.24981275654644264,5.1048,0.2046872492364875,1.4856666666666667,0.06454504886769658
12,MBfR_07,,2024-05-21 00:00:00,2024-05-20 13:57:00,2024-05-21 12:13:00,,6.979861111110949,5042.4,5770.8,720.3876000000006,0.5392122754506058,86.4074,85.6273,86.4637,12.4281,12.9393,11.3625,1.1646,1.4334,2.1737,86.16613333333333,0.4674916505493229,12.2433,0.8044798568018959,1.5905666666666667,0.5225865701808017,0.23186590777841803,0.6133227238009767,0.0006551690019927732,0.06601737652024402,,,,,,,,,,,,,,,,,Inoculated reactor gas composition,1,15,10,0.4,,,"C:\Peak495Win10\MBfR_07_01.CHR, C:\Peak495Win10\MBfR_07_02.CHR,C:\Peak495Win10\MBfR_07_03.CHR",3,,86.16613333333333,0.4674916505493229,12.2433,0.8044798568018959,1.5905666666666667,0.5225865701808017
13,MBfR_08,,2024-05-22 00:00:00,2024-05-21 12:13:00,2024-05-22 09:20:00,,7.859722222223354,5770.8,6475.6,697.0472000000002,0.5501556432509672,86.4964,86.7925,86.4567,12.7885,12.3831,12.8188,0.7151,0.8244,0.7245,86.58186666666667,0.18349066279605328,12.663466666666666,0.24327684504147365,0.7546666666666666,0.06057345403172363,0.2446903369681352,0.6472454074640995,0.0006914061899168534,0.06966877649787181,,,,,,,,,,,,,,,,,,1,15,10,0.35,,,"C:\Peak495Win10\MBfR_08_01.CHR, C:\Peak495Win10\MBfR_08_02.CHR,C:\Peak495Win10\MBfR_08_03.CHR",3,,,,,,,
14,MBfR_09,,2024-05-24 00:00:00,2024-05-22 09:20:00,2024-05-24 10:36:00,,9.912499999998545,6475.6,7921.5,1429.9950999999996,0.4837601826799059,77.2997,79.9624,78.0616,18.9579,19.2936,19.8883,3.7423,0.7439,2.0501,78.44123333333333,1.371343838478642,19.379933333333334,0.4711699516451938,2.1787666666666667,1.5033352830733846,0.32927672510017403,0.87099004703917,0.0009304166594836068,0.09375240089657731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MBfR_10,,2024-05-28 00:00:00,2024-05-24 10:36:00,2024-05-24 16:42:00,,10.166666666664241,7921.5,8144.2,220.2502999999998,0.6017767759585806,77.7547,79.3482,79.2485,20.7152,19.9904,20.0345,1.5301,0.6614,0.717,78.7838,0.8926198126862337,20.2467,0.40633162564584996,0.9695,0.4862891218195196,0.4279256376515331,1.1319323318524424,0.001209162725273112,0.12183993849800594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MBfR_11b,,2024-05-29 00:00:00,2024-05-28 17:57:00,2024-05-28 21:29:00,,14.365972222221899,8217.3,8327.1,108.59220000000109,0.5122273584916963,87.5004,88.0407,87.8104,11.3393,11.3448,11.2523,1.1602,0.6145,0.9372,,0.27112794642628396,,0.051890108241680374,0,0.2743637427455261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MBfR_12,,2024-05-29 00:00:00,2024-05-28 21:29:00,2024-05-29 15:41:00,,15.124305555553292,8327.1,8888.5,555.2245999999997,0.5084474358987365,82.127,81.9571,78.4177,16.976,17.0039,19.834,0.897,1.0389,1.7483,80.83393333333332,2.0942430955677835,17.937966666666668,1.642072289314125,1.2280666666666666,0.4560876487401668,0.32033021819369,0.8473250932865349,0.0009051370741517085,0.09120513156903673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MBfR_13,,2024-06-18 00:00:00,2024-05-29 15:41:00,2024-05-30 12:00:00,,15.970833333332848,8888.5,9500.6,605.3669000000003,0.49660943396122104,0,0.0,0.0,88.9259,90.491,88.0721,11.0741,9.509,11.9279,0,0,89.16300000000001,1.2267565406387664,10.837000000000002,1.2267565406387686,1.5551714444587679,4.113679304697387,0.0043943507389944516,0.44279186960284356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MBfR_14,,2024-06-18 00:00:00,2024-05-30 12:00:00,2024-06-01 10:20:00,,17.901388888887595,9500.6,10993.5,1476.4780999999996,0.5311072302160496,69.3478,69.0822,68.4221,30.0638,30.168,31.0617,0.5884,0.7498,0.5136,68.9507,0.4766542877180509,30.431166666666666,0.5485377136836922,0.6172666666666666,0.12071691403168615,0.5676484439617044,1.5015216904793474,0.0016039687251846921,0.16162212640576307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MBfR_15,,2024-06-18 00:00:00,2024-06-01 10:20:00,2024-06-06 17:28:00,1520,23.19861111111095,10993.5,14128.1,3100.1194000000005,0.5075506548787121,58.7122,58.7318,58.7103,40.3999,40.5028,40.5842,0.888,0.7654,0.7056,58.7181,0.01190252074142309,40.49563333333334,0.09235877507488582,0.7863333333333333,0.09298437144667557,0.7218820174148443,1.9094943686457173,0.002039776892764205,0.20553585218061537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,MBfR_16,,2024-06-18 00:00:00,2024-06-06 17:28:00,2024-06-07 12:35:00,,23.995138888887595,14128.1,15232.1,1091.856,0.9519232781181791,0,0.0,0.0,87.8201,88.7334,88.6831,12.1799,11.2666,11.3169,0,0,88.41219999999998,0.5133900369115104,11.587800000000001,0.5133900369115082,2.955920707304432,7.818887032224627,0.008352360372121413,0.8416163124964007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MBfR_17,,2024-06-18 00:00:00,2024-06-07 12:35:00,2024-06-10 09:18:00,,26.858333333329938,15232.1,18118.4,2854.550700000001,0.6923479747761574,46.0873,46.3447,46.3763,49.147,48.99,48.9201,4.7657,4.6653,4.7036,46.26943333333333,0.1585214601665459,49.01903333333333,0.11620285423918504,4.711533333333334,0.05066797147442667,1.1919768042316665,3.152970901516021,0.0033680943468985753,0.3393822845381828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,get to washout SRT,
23,MBfR_18,,2024-06-18 00:00:00,2024-06-10 09:18:00,2024-06-11 11:24:00,,27.945833333331393,18118.4,19175.2,1045.1751999999992,0.667417113664496,84.8188,84.9525,85.0259,14.0143,14.3182,14.0691,1.1669,0.7294,0.905,84.93239999999999,0.10500290472172571,14.133866666666668,0.16197173621756694,0.9337666666666667,0.2201640373297445,0.33131184569861266,0.876373269267298,0.0009361671725460453,0.09433184495585499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theta xmin,1/yqhat-b,
24,MBfR_19,,2024-06-18 00:00:00,2024-06-11 11:24:00,2024-06-13 11:41:00,,29.95763888888905,19175.2,22124.1,2916.462099999998,1.0067180186389197,88.2953,87.8239,88.2624,11.3149,11.6374,11.7376,0.3898,0.5387,0.0,88.1272,0.2631801094307871,11.5633,0.22087763580770262,0.30949999999999994,0.27818247608359514,0.4088540182803777,1.081484822548096,0.0011552732425565463,0.1164098246492742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MBfR_20,,2024-06-18 00:00:00,2024-06-13 11:41:00,2024-06-17 09:55:00,,33.8840277777781,22124.1,24986.6,2831.0125,0.5007096745666578,86.0619,86.3026,86.0974,13.501,13.6974,13.5193,0.4371,0.0,0.3834,86.15396667,0.129938306,13.57256667,0.108495361,0.2735,0.238374936,0.2386858105886037,0.631362466718242,0.0006744395750608375,0.06795915440369966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MBfR_21,,,2024-06-17 09:55:00,2024-06-21 09:41:00,,37.87430555555329,24986.6,28195.3,3173.4043000000006,0.5522805951970167,72.3577,72.175,72.2581,26.9578,27.0676,27.2596,0.6845,0.7573,0.4824,72.2636,0.091474095,27.095,0.152754313,0.6414,0.142427912,0.5255663786995844,1.3902078404311586,0.0014850600638651246,0.14964042726863166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,MBfR_22,,2024-06-24 00:00:00,2024-06-21 09:41:00,2024-06-23 21:14:00,12,40.35555555555766,28195.3,31797,3562.0813000000007,1.0003036506581613,23.5413,22.8389,22.983,69.6638,68.5187,68.7821,6.7949,8.6424,8.2349,23.12106667,0.370996285,68.9882,0.599726112,7.890733333,0.970645189,2.4237359407259254,6.411172488371803,0.006848599143333077,0.6900914831233537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,MBfR_23,,2024-06-25 00:00:00,2024-06-23 21:14:00,2024-06-25 10:31:00,,41.909027777779556,31797,33483.1,1667.5528999999985,0.7454416182388671,17.6366,17.6977,17.9739,75.8648,75.8287,75.2776,6.4985,6.4737,6.7485,17.7694,0.17971780657464032,75.65703333333333,0.32909427727222923,6.573566666666667,0.1520033332967844,1.9808043404189941,5.239546964979275,0.005597035007386545,0.5639790135915191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,MBfR_24,,2024-06-27 00:00:00,2024-06-25 10:31:00,2024-06-26 17:00:00,,43.17916666666861,33483.1,34520.7,1026.1863999999985,0.5610641880808462,10.7025,10.5303,10.7863,82.8774,82.5582,82.4793,6.4201,6.9115,6.7344,10.673033333333334,0.1305190152174516,82.6383,0.21079115256575526,6.688666666666666,0.24887174072870036,1.6284429902241269,4.307494361238013,0.004601389565760799,0.4636539069388139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,MBfR_25,,2024-06-27 00:00:00,2024-06-26 17:00:00,2024-06-27 18:47:00,,44.25347222221899,34520.7,35528.8,997.0109000000058,0.6444802197833275,48.3143,43.557,47.2219,49.7114,52.7423,50.427,1.9743,3.7007,2.3512,46.364399999999996,2.4918779083253653,50.96023333333333,1.5842481003092088,2.6754,0.9077133192809288,1.1535054103800462,3.051207859714961,0.0032593881340855888,0.32842862378876314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
