,Unnamed: 0,reactor volume,Unnamed: 2,0.45,L,Unnamed: 5,Unnamed: 6
0,,mol H2 to mg COD,,16000,,,
1,,Approx days,Days since innoc,Start Date/Time,Setpoint (SCCM),to 0C,
2,,0,0,2024-05-14 12:43:00,1,1.0915248032216731,
3,,20.3,20.30624999999418,2024-06-03 20:04:00,0.5,0.5457624016108366,
4,,20.3,20.31041666666715,2024-06-03 20:10:00,0.3,0.3274574409665019,
5,,20.3,20.3215277777781,2024-06-03 20:26:00,0.2,0.2183049606443346,
6,,21.1,21.10555555555038,2024-06-04 15:15:00,0.5,0.5457624016108366,
7,,21.900000000000002,21.88680555555038,2024-06-05 10:00:00,0,0,
8,,22.900000000000002,22.94236111110513,2024-06-06 11:20:00,0.1,0.1091524803221673,
9,not sure if h2 was changed to 1 before or at this time,24,23.994444444440887,2024-06-07 12:35:00,1,1.0915248032216731,
10,,38.2,38.21180555555475,2024-06-21 17:48:00,1,1.0915248032216731,
11,,38.2,38.22013888888614,2024-06-21 18:00:00,1,1.0915248032216731,
12,,421.20000000000005,421.15625,2025-07-09 16:28:00,1,1,changed T for STP on 0-10SCCM MFC from 25C to 0C
13,,58,57.97222222221899,2024-07-11 12:03:00,0.9,0.9,
14,,58.900000000000006,58.86805555555475,2024-07-12 09:33:00,0.888,0.888,
15,,65,65.02291666666133,2024-07-18 13:16:00,0.988,0.988,
16,,70.8,70.84930555555184,2024-07-24 09:06:00,1.2,1.2,
17,,72.2,72.1513888888876,2024-07-25 16:21:00,1.3,1.3,
18,,77.2,77.16180555555184,2024-07-30 16:36:00,1,1,
19,,79,78.99722222222044,2024-08-01 12:39:00,1.2,1.2,
20,,79,78.99791666666715,2024-08-01 12:40:00,1,1,
21,,90,90.03125,2024-08-12 13:28:00,1.2,1.2,
22,,97.2,97.15486111110658,2024-08-19 16:26:00,1,1,
23,,107.2,107.15694444443943,2024-08-29 16:29:00,1.2,1.2,
24,,147,146.97430555555184,2024-10-08 12:06:00,0.6,0.6,
25,,151,151.02083333332848,2024-10-12 13:13:00,1,1,
26,,153.20000000000002,153.1958333333314,2024-10-14 17:25:00,1.2,1.2,
27,,167,167.00138888888614,2024-10-28 12:45:00,1.25,1.25,
28,,184.10000000000002,184.1472222222219,2024-11-14 16:15:00,1.297,1.297,
29,,185.20000000000002,185.16180555555184,2024-11-15 16:36:00,1.331,1.331,
30,,189.9,189.94722222221753,2024-11-20 11:27:00,1.348,1.348, 
31,,197.20000000000002,197.15486111110658,2024-11-27 16:26:00,1.48,1.48,
32,,211.10000000000002,211.10138888888469,2024-12-11 15:09:00,1.497,1.497,
33,,218,217.9909722222219,2024-12-18 12:30:00,1.508,1.508,
34,,237.20000000000002,237.17152777777665,2025-01-06 16:50:00,1.583,1.583,
35,,251.10000000000002,251.0791666666628,2025-01-20 14:37:00,1.663,1.663,
36,,259.1,259.0708333333314,2025-01-28 14:25:00,1.83,1.83,
37,,273.2,273.22499999999854,2025-02-11 18:07:00,2.103,2.103,
38,,274.90000000000003,274.9312499999942,2025-02-13 11:04:00,2.313,2.313,
39,,278.90000000000003,278.91111111110513,2025-02-17 10:35:00,2.103,2.103,
40,,282.1,282.08263888888905,2025-02-20 14:42:00,2.775,2.775,
41,,287,287.04097222221753,2025-02-25 13:42:00,2.77,2.77,
42,,303.2,303.18541666666715,2025-03-13 17:10:00,3.324,3.324,
43,,309.90000000000003,309.9048611111066,2025-03-20 10:26:00,3.988,3.988,
44,,314.1,314.12291666666715,2025-03-24 15:40:00,3.947,3.947,
