,Unnamed: 0,Antoine equation,Unnamed: 2,"log10(P)=A-B/(T+C), P = 10^(A-B/(T+C))",Unnamed: 4,Unnamed: 5,Unnamed: 6,Pressure Conversions,Unnamed: 8
0,,P,vapor pressure ,mmHg,,,,1.01325,bar
1,,T,temperature,C,,,,720.0,mmhg
2,,A,constant,8.07131,,,,29.9213,inhg
3,,B,constant,1730.63,,,,1.0,atm
4,,C,constant,233.426,,,,14.6959,psi
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,T ©,pKa1,pKa2,,,,,
9,,0,6.58,10.63,,,,,
10,,5,6.52,10.55,,,,,
11,,10,6.46,10.49,,,,,
12,,15,6.42,10.43,,,,,
13,,20,6.38,10.38,,,,,
14,,25,6.35,10.33,,,,,
15,,30,6.33,10.29,,,,,
16,,45,6.29,10.2,,,,,
17,,60,6.29,10.14,,,,,
