,2024-05-14 12:42:00,Unnamed: 1,Unnamed: 2,Effluent (mL),Unnamed: 4,Unnamed: 5,Influent Flow Rate (RPM),Unnamed: 7
0,Days since inoculation,Date/Time,Reactor Volume (mL),Reactor,Waste,Waste Bucket,Nutrient Soln.,Bicarb.
1,0,,450,,,,,
2,20.31111111111386,2024-06-03 20:10:00,450,30,,,,
3,20.90486111111386,2024-06-04 10:25:00,450,10,,,,
4,20.934027777773736,2024-06-04 11:07:00,450,55,,,,
5,21.931944444440887,2024-06-05 11:04:00,450,60,,,,
6,22.116666666668607,2024-06-05 15:30:00,450,150,,,,
7,34.9152777777781,2024-06-18 10:40:00,450,15,,,,
8,38.13472222222481,2024-06-21 15:56:00,450,15,12,713,,
9,41.91388888889196,2024-06-25 10:38:00,450,30,53,,,
10,48.857638888890506,2024-07-02 09:17:00,450,49.5,49.5,700,,
11,51.94930555555766,2024-07-05 11:29:00,450,30,15,81,,
12,55.84722222221899,2024-07-09 09:02:00,450,30.5,48,102,,
13,55.997222222220444,2024-07-09 12:38:00,450,,,,,
14,56.0222222222219,2024-07-09 13:14:00,450,13,,,,
15,58.868750000001455,2024-07-12 09:33:00,450,30,15.5,,,
16,61.90833333333285,2024-07-15 10:30:00,450,30,45,392,,
17,64.88749999999709,2024-07-18 10:00:00,450,10,10,,,
18,68.88749999999709,2024-07-22 10:00:00,450,10,10,,,
19,70.1111111111095,2024-07-23 15:22:00,450,4,,,,
20,70.88749999999709,2024-07-24 10:00:00,450,5.5,,,,
21,70.9736111111124,2024-07-24 12:04:00,450,,,851,,
22,71.9243055555562,2024-07-25 10:53:00,450,5,5,,,
23,72.90902777777956,2024-07-26 10:31:00,450,4,,,,
24,73.09583333333285,2024-07-26 15:00:00,450,,15,,,
25,73.12361111111386,2024-07-26 15:40:00,900,,,,,
26,75.8708333333343,2024-07-29 09:36:00,900,77,14,,,
27,75.9291666666686,2024-07-29 11:00:00,900,47.5,,,,
28,76.86250000000291,2024-07-30 09:24:00,900,10,,,,
29,77.86319444444234,2024-07-31 09:25:00,900,4.5,,,,
30,78.10902777777665,2024-07-31 15:19:00,650,,,,,
31,78.85624999999709,2024-08-01 09:15:00,650,4,5,,,
32,78.88541666666424,2024-08-01 09:57:00,650,11,11,,,
33,79.0229166666686,2024-08-01 13:15:00,650,,15,,,
34,79.0854166666686,2024-08-01 14:45:00,650,7,5,,,
35,79.8076388888876,2024-08-02 08:05:00,650,2,,,,
36,79.8666666666686,2024-08-02 09:30:00,900,,,,,
37,80.09444444444671,2024-08-02 14:58:00,900,,,880,,
38,82.85972222222335,2024-08-05 09:20:00,900,20,14,,,
39,82.97986111111095,2024-08-05 12:13:00,900,14,8,,,
40,83.87569444444671,2024-08-06 09:43:00,900,5,,,,
41,84.93055555555475,2024-08-07 11:02:00,450,6,,,,
42,85.8576388888905,2024-08-08 09:17:00,450,,,,,
43,85.86041666666279,2024-08-08 09:21:00,450,26,14,825,,
44,86.8041666666686,2024-08-09 08:00:00,450,10.5,,,,
