,Unnamed: 0,Unnamed: 1,Approx Days,Date/Time,pH,Unnamed: 5,Approx Days.1,Date/Time.1,CO2,Unnamed: 9,Approx Days.2,Date/Time.2,ORP,Unnamed: 13,Approx Days.3,Date/Time.3,Temp
0,,,0.0,05/14/2024 13:00,6.902,,0.0,05/14/2024 13:00,41.05,,0.0,05/14/2024 13:00,-305.292,,0.0,05/14/2024 13:00,30.647
1,,,0.0,05/14/2024 13:30,6.984,,0.0,05/14/2024 13:30,41.05,,0.0,05/14/2024 13:30,-385.864,,0.0,05/14/2024 13:30,36.553
2,,,0.1,05/14/2024 14:00,6.929,,0.1,05/14/2024 14:00,41.05,,0.1,05/14/2024 14:00,-391.587,,0.1,05/14/2024 14:00,36.75
3,,,0.1,05/14/2024 14:30,6.928,,0.1,05/14/2024 14:30,41.05,,0.1,05/14/2024 14:30,-400.122,,0.1,05/14/2024 14:30,36.881
4,,,0.1,05/14/2024 15:00,6.928,,0.1,05/14/2024 15:00,41.05,,0.1,05/14/2024 15:00,-408.628,,0.1,05/14/2024 15:00,36.947
5,,,0.1,05/14/2024 15:30,6.928,,0.1,05/14/2024 15:30,41.05,,0.1,05/14/2024 15:30,-419.964,,0.1,05/14/2024 15:30,36.947
6,,,0.1,05/14/2024 16:00,6.936,,0.1,05/14/2024 16:00,41.05,,0.1,05/14/2024 16:00,-425.65,,0.1,05/14/2024 16:00,36.816
7,,,0.2,05/14/2024 16:30,6.936,,0.2,05/14/2024 16:30,41.05,,0.2,05/14/2024 16:30,-435.088,,0.2,05/14/2024 16:30,36.75
8,,,0.2,05/14/2024 17:00,6.944,,0.2,05/14/2024 17:00,41.05,,0.2,05/14/2024 17:00,-445.443,,0.2,05/14/2024 17:00,36.75
9,,,0.2,05/14/2024 17:30,6.944,,0.2,05/14/2024 17:30,41.05,,0.2,05/14/2024 17:30,-454.878,,0.2,05/14/2024 17:30,36.881
10,,,0.2,05/14/2024 18:00,6.944,,0.2,05/14/2024 18:00,41.05,,0.2,05/14/2024 18:00,-464.309,,0.2,05/14/2024 18:00,36.947
11,,,0.2,05/14/2024 18:30,6.944,,0.2,05/14/2024 18:30,41.05,,0.2,05/14/2024 18:30,-473.737,,0.2,05/14/2024 18:30,37.013
12,,,0.30000000000000004,05/14/2024 19:00,6.952,,0.30000000000000004,05/14/2024 19:00,41.05,,0.30000000000000004,05/14/2024 19:00,-482.215,,0.30000000000000004,05/14/2024 19:00,36.947
13,,,0.30000000000000004,05/14/2024 19:30,6.952,,0.30000000000000004,05/14/2024 19:30,41.05,,0.30000000000000004,05/14/2024 19:30,-488.818,,0.30000000000000004,05/14/2024 19:30,36.225
14,,,0.30000000000000004,05/14/2024 20:00,6.952,,0.30000000000000004,05/14/2024 20:00,41.05,,0.30000000000000004,05/14/2024 20:00,-494.475,,0.30000000000000004,05/14/2024 20:00,35.766
15,,,0.30000000000000004,05/14/2024 20:30,6.96,,0.30000000000000004,05/14/2024 20:30,41.05,,0.30000000000000004,05/14/2024 20:30,-499.213,,0.30000000000000004,05/14/2024 20:30,35.438
16,,,0.30000000000000004,05/14/2024 21:00,6.952,,0.30000000000000004,05/14/2024 21:00,41.05,,0.30000000000000004,05/14/2024 21:00,-504.877,,0.30000000000000004,05/14/2024 21:00,35.503
17,,,0.4,05/14/2024 21:30,6.96,,0.4,05/14/2024 21:30,41.05,,0.4,05/14/2024 21:30,-508.657,,0.4,05/14/2024 21:30,35.831
18,,,0.4,05/14/2024 22:00,6.96,,0.4,05/14/2024 22:00,41.05,,0.4,05/14/2024 22:00,-512.438,,0.4,05/14/2024 22:00,36.028
19,,,0.4,05/14/2024 22:30,6.96,,0.4,05/14/2024 22:30,41.05,,0.4,05/14/2024 22:30,-516.22,,0.4,05/14/2024 22:30,36.488
20,,,0.4,05/14/2024 23:00,6.968,,0.4,05/14/2024 23:00,41.05,,0.4,05/14/2024 23:00,-519.992,,0.4,05/14/2024 23:00,36.684
21,,,0.4,05/14/2024 23:30,6.968,,0.4,05/14/2024 23:30,41.05,,0.4,05/14/2024 23:30,-519.992,,0.4,05/14/2024 23:30,36.75
22,,,0.5,05/15/2024 00:00,6.968,,0.5,05/15/2024 00:00,41.05,,0.5,05/15/2024 00:00,-519.992,,0.5,05/15/2024 00:00,37.013
