,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,Duration,Start Day,End Day,Start Date/Time,End Date/Time,Phase
1,15.970833333332848,0,15.970833333332848,2024-05-14 12:42:00,2024-05-30 12:00:00,Lag Phase
2,57.9729166666657,0,57.9729166666657,2024-05-14 12:42:00,2024-07-11 12:03:00,Poor CO2 control - Pre-CO2 MFC installed
3,513.4979166666672,57.9729166666657,571.4708333333328,2024-07-11 12:03:00,2025-12-07 00:00:00,Good CO2 control - Post-CO2 MFC installed
4,93.9152777777781,0,93.9152777777781,2024-05-14 12:42:00,2024-08-16 10:40:00,High influent COD - Media unmodified
5,477.55555555555475,93.9152777777781,571.4708333333328,2024-08-16 10:40:00,2025-12-07 00:00:00,"Low influent COD - Removed NaHCO3, casitone, yeast extract, and resazurin from media"
6,31.108333333329938,61.9777777777781,93.08611111110804,2024-07-15 12:10:00,2024-08-15 14:46:00,Acetoclastic Period
7,0,,,,,
8,0,,,,,
9,0,,,,,
10,0,,,,,
11,0,,,,,
12,0,,,,,
13,0,,,,,
14,0,,,,,
15,0,,,,,
16,0,,,,,
17,0,,,,,
18,0,,,,,
19,0,,,,,
20,0,,,,,
21,0,,,,,
22,0,,,,,
23,0,,,,,
24,0,,,,,
