,Unnamed: 0,Start Date,2024-05-14 12:42:00,Unnamed: 3,0.1,Unnamed: 5,Unnamed: 6,Unnamed: 7,reactor body,155,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,high range (>1 RPM),m,0.1886,scale m,0.114762819,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133
0,,,,,,,,,membrane count,350,,,0.14514158059584845,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,-0.0059,scale b,0.001840208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Gas Composition,,,,,,,,0.4,mm,,0.0012566370614359172,,,,,,VFA ,,,,,,,,,,,,,,,,,,,Media Influent Pump,,Low range (<1 RPM),m,0.1984,,,,Media Changes,,,,,,,,,TSS/VSS,,,,,,,SRT/HRT,,,,,,,,H2 Delivery,,,,,,,CO2 Delivery,,,,Dissolved Inorganic Carbon,,,,,,,,,,,,Dissolved Organic Carbon,,,,,,,,,,,,Liquid Sampling,,,,Ammonia (mol/L),,,,,,,,,,COD (mg/L) Hach test,,,,,,,,,,Biomass Sampling,,,,,
2,,,H2,,CH4,,CO2,,membrane length,330,mm,,0.33,,,,,,Reactor,,,,,,Waste,,,,,,Media,,,,,,,,,,b,-0.0101,,,,,,,,,,,,,,,Reactor,,Waste,,,,,,,,,,,H2 Delivery,,,,,Projected Yield,,CO2 Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liquid In/Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Approx Days,Days,av,stdev,av,stdev,av,stdev,Collection Gas Flow Rate (mL/min),Specific CH4 Prod Rate (m3/m3rv/d) (0.45 L),Specific CH4 Prod Rate (m3/m3rv/d) (0.155 L),Specific CH4 prod rate (m3/m2.d),CH4 produced (m3/d),CH4 prod rate (mL/min),H2 breakthrough (mL/min),CO2 breakthrough (mL/min),Reactor Vol,,Approx Days,Days,Acetate (mol/L),Propionate (mol/L),Butyrate (mol/L),Total (mg COD/L),Approx Days,Days,Acetate (mol/L),Propionate (mol/L),Butyrate (mol/L),Total (mg COD/L),Approx Days,Days,Acetate (mol/L),Propionate (mol/L),Butyrate (mol/L),Total (mg COD/L),,Approx Days,Days,Date,Setpoint (RPM),Linear Curve Flow Rate (mL/min),Scale Flow Rate (mL/min),Rolling average (mL/min),,Approx Days,Days,Date,Place-holder,Description,KBase ID,Approximate Total C (mol/L),,,Approx Days,Days,TSS,VSS,TSS,VSS,,Approx Days,Days,SRT,HRT,21-day rolling average (HRT),HRT Effluent flow rate (mL/min),21-day HRT flow rate (mL/min),,Approx days,Days,H2 delivery rate (mL/min),H2 loading rate (NL/m2.d),H2 loading rate (m3/m3.d),"Max CH4 prod rate (estimated, m3/m3.d)",,Approx days,Days,CO2 delivery rate (mL/min),,Approx Days,Media Influent Conc. (ppm C),st dev,Media Influent Conc. (mol C/L),st dev,,Approx Days,Waste Effluent Conc. (ppm C),st dev,Waste Effluent Conc. (mol C/L),st dev,,Approx Days,Media Influent Conc. (ppm C),st dev,Media Influent Conc. (mol C/L),st dev,,Approx Days,Waste Effluent Conc. (ppm C),st dev,Waste Effluent Conc. (mol C/L),st dev,,Approx days,Days,Reactor Volume,,Approx days,Days,Reactor,Approx days,Days,Waste,Approx days,Days,Media,,Approx days,Days,Reactor,Approx days,Days,Waste,Approx days,Days,Media,Approx days,Approx days,Days,Date,Sample ID,Description,Corresponding Media
4,0.1,0.05000000000291038,87.58853333333333,0.1431639037374117,0,0,12.411466666666668,0.14316390373740684,1.027461111051305,0,0,0,0,0,0.8999381177402093,0.1275229933110957,Reactor Vol,,0,0.04236111111094942,0.025532915537488713,0.0013581953378039326,,1758.7177833333335,0,0.04236111111094942,0.035563685636856364,0.035563685636856364,,2446.060693333333,0.5,0.47083333333284827,0.03542716802168022,0.002248984991560604,,2480.559206666667,,0,0,2024-05-14 12:42:00,0.5,0.0891,0.059221617500000004,,,0,0,2024-05-14 12:42:00,1,DSMZ v1: Using DSMZ 120 without NaHCO3,,0.450944457,,,38.1,38.13472222222481,383,253,304,198,,38.1,38.13472222222481,8.026388072375653,6.894038259958008,9.708445577650165,0.0412997740201048,0.02932727180112972,,0,0,1.0915248032216731,10.832499770084144,10.140617526704576,2.2537783229326442,,0,0,0.25,,5.5,246.87032699238355,0,0.020555397751239265,0,,0,425.35815904548076,77.7045041205055,0.0354169990878835,0.006469983690300209,,5.5,6404.453001468803,1145.377564076933,0.5332600334278771,0.09536865645936161,,0,5629.661809822196,1045.6104303815919,0.46874786093440435,0.08706165115583613,,0,0,450,,58.900000000000006,58.90833333333285,0.013623018203170875,58.900000000000006,58.90833333333285,0.013153258954785668,58.900000000000006,58.90833333333285,0.013388138578978274,,1,1,,,,,0,0,17545.426063635256,0,0,0,2024-05-14 12:42:00,10AB,"Innoculum, from 2023 MBfR",DSMZ v1: Using DSMZ 120 without NaHCO3
5,0.1,0.0638888888861402,87.89896666666668,0.07470691623493862,0,0,12.101033333333334,0.07470691623493336,0.9296600003787931,0,0,0,0,0,0.8171615338462888,0.11249846653250456,Reactor Vol,,5.9,5.908333333332848,0,0,,0,5.9,5.908333333332848,0.015923667570009032,0.015923667570009032,,1163.9645799999998,5.9,5.908333333332848,0.015062669376693769,0.00247338168879157,,1222.50832,,22.1,22.12361111111386,2024-06-05 15:40:00,0,0,0,,,14,13.970833333332848,2024-05-28 12:00:00,1,DSMZ v1.5: Using DSMZ 120 with NaHCO3,,0.474751147,,,41.900000000000006,41.91388888889196,1078,804,272,214,,41.900000000000006,41.91388888889196,35.72410136310949,18.66817269076545,10.76382788605975,0.015251745681732699,0.02645176281487801,,20.3,20.30624999999418,0.5457624016108366,5.416249885042072,5.070308763352288,1.1268891614663221,,58,57.97222222221899,0.5,,13.5,709.4748358274048,337.03396193848897,0.05907367492318109,0.028062777846668524,,5.5,36.69323861795014,0,0.0030552238649417273,0,,13.5,5337.390283297396,552.0037832556709,0.44441218012467915,0.04596201359331148,,5.5,5154.085640731453,638.6271930677236,0.42914951213417596,0.053174620571833774,,20.3,20.31111111111386,450,,75.9,75.8708333333343,0.0054169113329418685,82.9,82.85972222222335,0.027974163241338813,82.9,82.85972222222335,0.025907222548443923,,,,,,,,38,38,17545.426063635256,22,21.5,21.47083333333285,2024-06-05 00:00:00,A34,highest production rate to date in subsequent days,DSMZ v1.5: Using DSMZ 120 with NaHCO3
6,1,1.0090277777781012,88.24560000000001,0.7138623886996721,0,0,11.754399999999999,0.7138623886996709,0.16698912564236681,0,0,0,0,0,0.14736055585786048,0.01962856978450636,Reactor Vol,,7.5,7.470833333332848,0.06995895438121047,0.0014235208247798913,,4564.5931366666655,7.5,7.470833333332848,0.06591960252935862,0.06591960252935862,,4305.831659999999,13.5,13.470833333332848,0.035000112917795846,0.0023397655216459102,,2463.6994466666665,,34.9,34.92638888888905,2024-06-18 10:56:00,18.1,3.40776,2.0790472319,,,38.2,38.22083333333285,2024-06-21 18:00:00,1,DSMZ v2: Dropped Na-Ac out of DSMZ 120 media,,0.359514493,,,48.900000000000006,48.857638888890506,449,497,112,75,,48.900000000000006,48.857638888890506,12.039944970068918,3.563125782227038,7.492434834624814,0.07990799079909665,0.03800129443988414,,20.3,20.31041666666715,0.3274574409665019,3.249749931025243,3.042185258011373,0.6761334968797933,,58.900000000000006,58.86805555555475,0.444,,48.900000000000006,331.6318702280816,50.5419741100825,0.02761297837036483,0.004208324238974396,,8.9,13.34858273030959,0,0.0011114556811248617,0,,48.5,3541.744380829214,670.7299578582669,0.29489961538960985,0.05584762346863171,,8.9,4036.4322379182267,796.6097706448304,0.33608927876088485,0.06632887349249213,,20.900000000000002,20.90486111111386,450,,82.9,82.85972222222335,0.028772753963593658,96.9,96.8569444444438,0.030534351145038167,89.9,89.8611111111095,0.02871403405754551,,38,38,,,,,39,39,15620,35,34.9,34.9152777777781,2024-06-18 10:40:00,B34,"methanogen inhibition due to lack of wasting (i.e. super high HRT), what microbes were hanging out here?",DSMZ v1.5: Using DSMZ 120 with NaHCO3
7,2.1,2.1465277777751908,88.46186666666667,0.17111529251745067,0,0,11.538133333333334,0.17111529251745217,0.8864169108691787,0,0,0,0,0,0.7841409458038784,0.10227596506530034,Reactor Vol,,8.9,8.927083333335759,0.04783858401084012,0.0018242780895032162,,3215.4403300000004,8.9,8.927083333335759,0.04813126693766937,0.04813126693766937,,3235.0590099999995,41.900000000000006,41.91388888889196,0.012910286811201446,0.003791067925733315,,1232.6904833333333,,35,35.04236111111095,2024-06-18 13:43:00,0.5,0.0891,0.059221617500000004,,,93.9,93.9152777777781,2024-08-16 10:40:00,1,"DSMZ v3: dropped yeast, casitone, and bicarb out of DSMZ 120",,0.252270529,,,51.900000000000006,51.94930555555766,428,272,196,143,,51.900000000000006,51.94930555555766,17.138162328365926,10.060185185186763,7.881038042361175,0.02830188679244839,0.03612750258174351,,20.3,20.3215277777781,0.2183049606443346,2.1664999540168286,2.0281235053409152,0.4507556645865288,,62.1,62.09652777777228,0.344,,51.900000000000006,299.34970300660166,35.15547306986401,0.02492503771911754,0.0029271834362917574,,13.5,180.2902349762712,149.02831671002392,0.015011676517591273,0.012408685820984505,,51.5,657.4065029379216,339.2583383637242,0.054738260028136684,0.02824798820680468,,13.5,3051.8070017680698,501.37560051250324,0.2541054955676994,0.04174651128330585,,20.900000000000002,20.934027777773736,450,,89.9,89.8611111111095,0.028332354668232532,103.9,103.88263888889196,0.01641808573106283,96.9,96.8569444444438,0.008509688784497944,,,,,,,,94,94,15620,69,68.5,68.47083333333285,2024-07-22 00:00:00,C3,"before highest production rate in subsequent days ever observed, before cutting out influent COD",DSMZ v2: Dropped Na-Ac out of DSMZ 120 media
8,3.1,3.102777777778101,93.1845,0.15575403686581893,0,0,6.8155,0.15575403686582243,0.5934718228013892,0,0,0,0,0,0.5530237507183605,0.040448072083028676,Reactor Vol,,13.5,13.470833333332848,0.04028218157181571,0.0015439989051594363,,2708.4128999999994,13.5,13.470833333332848,0.039490853658536586,0.039490853658536586,,2656.06456,48.900000000000006,48.857638888890506,0.015733739837398373,0.004119885041740796,,1446.9321999999997,,107.2,107.1694444444438,2024-08-29 16:46:00,0.4,0.06926,0.04774533560000001,,,108,108.0222222222219,2024-08-30 13:14:00,1,DSMZ v4: dropped out methanol,,0.00514194,,,55.800000000000004,55.84722222221899,492,322,168,139,,55.800000000000004,55.84722222221899,19.556477888845535,8.85399353646064,6.321819530778217,0.03215749153754625,0.04503801806363379,,21.1,21.10555555555038,0.5457624016108366,5.416249885042072,5.070308763352288,1.1268891614663221,,77.2,77.16180555555184,0.25,,55.800000000000004,317.1541691421296,30.13337456069847,0.02640750783864526,0.0025090236936468335,,14.5,0,0,0,0,,55.5,3781.250440459843,685.9650860177509,0.3148418351756739,0.057116160367839376,,14.5,202.84618768418355,53.02702348149414,0.016889774161880394,0.0044152392574100035,,21.900000000000002,21.931944444440887,450,,96.9,96.8569444444438,0.01590135055783911,111.9,111.8659722222219,0.016280093951849678,103.9,103.88263888889196,0.00861714621256606,,94,94,,,,,95,95,11850,83,82.5,82.47083333333285,2024-08-05 00:00:00,D34,"after highest production rate in subsequent days ever observed, after cutting out influent COD",DSMZ v2: Dropped Na-Ac out of DSMZ 120 media
9,6.1000000000000005,6.052083333335759,93.40956666666666,0.24981275654644264,5.1048,0.2046872492364875,1.4856666666666667,0.06454504886769658,0.5646172356953828,0.10123052715317117,0.2677710718245173,0.00028604077279669317,6.857889068411739e-06,0.0288225806477779,0.5274065131883691,0.00838833006498107,Reactor Vol,,14.5,14.470833333332848,0.033443258807588076,0,,2106.7808299999997,14.5,14.470833333332848,0.03330504742547426,0.03330504742547426,,2098.0741100001514,52,51.98819444444234,0.015409270551038844,0.0032354363395830487,,1328.6472633333333,,108,108.0222222222219,2024-08-30 13:14:00,0.5,0.0891,0.059221617500000004,,,125.2,125.1513888888876,2024-09-16 16:20:00,1,Speece: put in Speece media + EDTA + cysteine + vitamins as in DSMZ 120,,0.003330795,,,61.900000000000006,61.90833333333285,499,356,201,137,,61.900000000000006,61.90833333333285,9.73502582615558,4.728935405436123,4.324070645285187,0.06020852428961522,0.0658458766238413,,22.900000000000002,22.94236111110513,0.1091524803221673,1.0832499770084143,1.0140617526704576,0.2253778322932644,,78.10000000000001,78.13749999999709,0.25,,78.9,191.95975900249292,0,0.015983327144254197,0,,38.1,32.38414148477529,0,0.002696431430872214,0,,58.5,5297.233372278443,392.89056749862345,0.4410685572255157,0.03271361927548905,,38.1,772.3243770024874,508.90837075590764,0.06430677577039862,0.04237371946343944,,22.1,22.116666666668607,450,,103.9,103.88263888889196,0.019274809160305342,117.9,117.88263888889196,0.008937169700528479,111.9,111.8659722222219,0.008138578978273634,,99.9,99.8972222222219,20,99.9,99.8972222222219,120,106.9,106.93541666666715,11850,91,90.9,90.8666666666686,2024-08-13 09:30:00,E34,"before dropping yeast, casitone, and bicarb out of DSMZ 120, high CO2 in product gas",DSMZ v2: Dropped Na-Ac out of DSMZ 120 media
