,2024-07-22 10:00:00,68.88749999999709,20,20.1,0,397,-803,Unnamed: 7,281,103,Unnamed: 10,40,-203,6.979166666664241,5.731343283584081,-153.55026169945404,78.51562499997272,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Min SRT Calcs for GAME,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
0,2024-06-25 00:00:00,41.47083333333285,0,0,0,115,631,0,570,169,0,0,,-0.4430555555591127,0,,,,,,,Governing Equation,[Ɵₓmin]lim = 1/(Yq<hat> - b),,,,
1,Inoculation Date,2024-05-14 12:42:00,,,,,,,,,,,,,,,,,,,,Parameter name & description,Parameter Symbol,Value,Unit,Source,
2,SRT=V*Cd/Qout*Cout,,,,,,,,,,,,,,,,,,,,,"yield coefficient, amount of biomass produced per unit substrate provided",Y,0.06,g VSS/g COD," ""Environmental Biotechnology: Principles and Applications"" by Bruce E. Rittmann and Perry L. McCarty (2001)",
3,,,,,,,,,,,,450,mL,,,,,,,,,maximum specific substrate utilization rate,q<hat>,24,g COD/(g VSS.day),,
4,V,digester volume,,,,,,,,,,0.5172413793103449,,,,,,,,,,"decay coefficient, how fast these buggers die",b,0.03,1/d,,
5,Cd,solids conc,,,,,,,,,,0.0003591954022988506,d,,,,,,,,,"Limiting SRT, washout for SRT below this threshold",[Ɵₓmin]lim,0.7092198581560284,days,,
6,Qout,flow out,,,,,,,,,,,,,,,,,,,,Smin,Smin,1e-05,mg COD/L,,
7,Cout,solids conc in effluent,,,,,,,,,,,,,,,,,,,,,,,,,
8,Reactor Volume (mL),,410,,,,,,,,,,,,,,,,,,,,,,,,
9,,,Volume Sampled (mL),,,TSS,,,VSS,,,Total Volume (mL),"Av. Cd Wasted, Cout (mg/L)",Time Elapsed since last measurement (d),Av Qout (mL/d),Instantaneous SRT (d),HRT (d),"Rolling Average HRT (d), 21-day",Effluent flow rate (mL/min),Rolling average effluent flow rate (mL/min),,,,,,,
10,Date,Days Since Inoculation,R,W,WW,R,W,WW,R,W,WW,,,,,,,,,,,,,,,,
11,2024-05-31 00:00:00,16.47083333333285,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
12,2024-06-03 20:10:00,20.31111111111386,,,,,,,,,,,,,,,,,,,,,,,,,
13,2024-06-21 15:56:00,38.13472222222481,335,12,713,383,0,304,253,0,198,1060,328.9669811320755,17.82361111111095,59.471674588950904,8.026388072375653,6.894038259958008,9.708445577650165,0.0412997740201048,0.02932727180112972,,,,,,,
14,2024-06-25 10:38:00,41.91388888889196,30,53,0,1078,0,272,804,0,214,83,563.3253012048193,3.7791666666671517,21.962513781695087,35.72410136310949,18.66817269076545,10.76382788605975,0.015251745681732699,0.02645176281487801,,,,,,,
15,2024-07-02 09:17:00,48.857638888890506,49.5,49.5,700,449,112,0,497,75,0,799,132.877972465582,6.943749999998545,115.06750675069918,12.039944970068918,3.563125782227038,7.492434834624814,0.07990799079909665,0.03800129443988414,,,,,,,
16,2024-07-05 11:29:00,51.94930555555766,30,15,81,428,196,0,272,143,0,126,251.23809523809524,3.0916666666671517,40.75471698112568,17.138162328365926,10.060185185186763,7.881038042361175,0.02830188679244839,0.03612750258174351,,,,,,,
17,2024-07-09 09:02:00,55.84722222221899,30.5,48,102,492,168,0,322,139,0,180.5,222.74792243767314,3.897916666661331,46.306787814066595,19.556477888845535,8.85399353646064,6.321819530778217,0.03215749153754625,0.04503801806363379,,,,,,,
18,2024-07-15 10:30:00,61.90833333333285,73,60.5,392,499,201,0,356,137,0,525.5,242.39676498572788,6.06111111111386,86.70027497704592,9.73502582615558,4.728935405436123,4.324070645285187,0.06020852428961522,0.0658458766238413,,,,,,,
19,2024-07-29 11:00:00,75.9291666666686,163,54,851,252,233,0,233,173,0,1068,235.8998127340824,14.020833333335759,76.17236255570748,5.7498878705738665,5.382529650437885,3.750501971216412,0.052897473997019086,0.07591576391836354,,,,,,,
20,2024-08-05 12:13:00,82.97986111111095,72.5,58,880,2670,171,0,2504,81,0,1010.5,350.29490351311233,7.0506944444423425,143.31921599531506,21.80503939094516,2.860746879981554,2.6816661282301144,0.0995272333300799,0.10617362811310795,,,,,,,
21,2024-08-12 13:37:00,90.03819444444525,108,29,825,1406,102,0,1186,11,0,962,248.3950103950104,7.0583333333343035,136.2927981109612,17.027598525811833,3.0082293832297964,4.392914168030154,0.09464777646594527,0.06481397344257599,,,,,,,
22,2024-08-19 14:12:00,97.0625,111.5,62,1150,364,53,0,275,32,0,1323.5,79.20060445787684,7.024305555554747,188.41720217500932,10.000833423432013,2.1760221214789923,6.316862398310755,0.13084527928820092,0.04507336146792784,,,,,,,
23,2024-08-26 13:44:00,104.04305555555766,102.5,71.5,184,1530,0,110,1319,0,78,358,516.5642458100559,6.9805555555576575,51.28531635493879,23.678702752399925,7.994490999381675,6.971757151220795,0.03561480302426305,0.040839377512219534,,,,,,,
24,2024-09-03 14:28:00,112.07361111111095,107,20,248,1441,118,0,1244,82,0,375,495.496,8.030555555553292,46.69664475961192,25.53418542377168,8.780074074071598,5.525782305192457,0.03242822552750828,0.05152613810983379,removed date 9/9/24 9:53 to see if it helps smooth HRT dataset,,,,,,
25,2024-09-16 12:43:00,125.00069444444671,184,31,1065,404,132,0,302,99,0,1280,171.1,12.927083333335759,99.01692183720947,9.777003960283347,4.14070638020911,3.718216764162367,0.0687617512758399,0.0765749390854473,,,,,,,
26,2024-09-23 12:38:00,131.99722222222044,83.5,93,608,662,54,0,544,34,0,784.5,118.7138304652645,6.996527777773736,112.12704714646677,20.390606451593428,3.6565664612966624,3.4414162764211866,0.07786600496282414,0.0827340255734223,,,,,,,
27,2024-09-30 11:41:00,138.95763888888905,93,87,670,300,42,0,220,33,0,850,70.22823529411765,6.960416666668607,122.11912601014255,14.341998358297964,3.357377450981328,3.2046572081921916,0.08480494861815455,0.08884638940301495,,,,,,,
28,2024-10-07 12:16:00,145.9819444444438,92,63,715,271,87,0,209,61,0,870,106.45747126436781,7.024305555554747,123.85565991103749,8.426770069292017,3.3103049169855705,2.980838630255924,0.08601087493822047,0.09551748938444782,,,,,,,
29,2024-10-15 13:05:00,154.01597222222335,126,47,945,440,251,0,356,216,0,1118,272.3005366726297,8.034027777779556,139.1580949087772,4.760795879248674,2.9462892566096768,2.8101869716170262,0.09663756590887305,0.10131789275871154,,,,,,,
30,2024-10-21 10:54:00,159.9250000000029,69,63,770,473,122,0,376,106,0,902,148.85033259423503,5.909027777779556,152.64778469850853,8.535022731093372,2.6859217171725254,3.3835689478086106,0.10600540604063093,0.08414849131613657,,,,,,,
