,2024-06-25 00:00:00,41.47083333333285,Unnamed: 2,115,570,631,169,Unnamed: 7,Unnamed: 8,631.1,169.1,Unnamed: 11,Unnamed: 12,Fractionation,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
0,2024-07-22 10:00:00,68.88749999999709,69,397,281,-803,103,,,-803,103,,,Vessel,Recirc Tubing,LGS + passive waste,Sensor Manifold,,,,,,,,,,,
1,2024-05-14 12:42:00,,,,,,,,,,,,,R,W,W,W,,,,,,,,,,,
2,,,,R,,W ,,WW,,W+WW,,,,155,20,170,65,,,,,,,,,,Screen,
3,Date,Days Since Inoculation,Approx Days,TSS,VSS,TSS,VSS,TSS,VSS,TSS,VSS,,,0.3780487804878049,0.04878048780487805,0.4146341463414634,0.15853658536585366,Total System,Fraction W/R,,Vessel fraction of measured biomass,Flushed?,Fast?,Time to sampled,NOTES,,TSS,VSS
4,2024-05-31 00:00:00,16.47083333333285,16,,,,,,,0,0,2024-07-26 00:00:00,WVSS/RVSS,mg VSS,mg VSS,mg VSS,mg VSS,mg VSS,,,,,,,,,1128,944
5,2024-06-21 15:56:00,38.13472222222481,38,383,253,,,304,198,304,198,0.660574412532637,0.782608695652174,39.215,3.96,33.66,12.87,89.70500000000001,0.793733681462141,0.5628448804414469,0.48129981606376454,no,,,,,,
6,2024-06-25 10:38:00,41.91388888889196,42,1078,804,,,272,214,272,214,0.7458256029684601,0.26616915422885573,124.62,4.28,36.38,13.91,179.19,0.2523191094619666,0.30453708354260844,0.7193481779117139,no,,,"this is WW, not W",,,
7,2024-07-02 09:17:00,48.857638888890506,49,449,497,112,75,,,112,75,1.1069042316258353,0.15090543259557343,77.035,1.5,12.75,4.875,96.16,0.24944320712694878,0.19888727121464228,0.8167117304492513,no,,,,,,
8,2024-07-05 11:29:00,51.94930555555766,52,428,272,196,143,,,196,143,0.6355140186915887,0.5257352941176471,42.16,2.86,24.31,9.295,78.625,0.45794392523364486,0.4637837837837837,0.5725914149443561,no,,,,,,
9,2024-07-09 09:02:00,55.84722222221899,56,492,322,168,139,,,168,139,0.6544715447154471,0.43167701863354035,49.91,2.78,23.63,9.035,85.35499999999999,0.34146341463414637,0.41526565520473324,0.6173042001054421,no,,,,,,
10,2024-07-15 10:30:00,61.90833333333285,62,499,356,201,137,,,201,137,0.7134268537074149,0.3848314606741573,55.18,2.74,23.29,8.905,90.11500000000001,0.4028056112224449,0.3876713088830938,0.6427342839704822,no,,,,,,
11,2024-07-29 11:00:00,75.9291666666686,76,252,233,233,173,,,233,173,0.9246031746031746,0.7424892703862661,36.115,3.46,29.41,11.245,80.23,0.9246031746031746,0.5498566620964725,0.4932693506169762,no,,,,,,
12,2024-08-05 12:13:00,82.97986111111095,83,2670,2504,171,81,,,171,81,0.9378277153558052,0.032348242811501594,388.12,1.62,13.77,5.265,408.775,0.06404494382022471,0.05052901963182681,0.9534340407314538,no,,,,,,
13,2024-08-12 13:37:00,90.03819444444525,90,1406,1186,102,11,,,102,11,0.8435277382645804,0.00927487352445194,183.83,0.22,1.87,0.715,186.63500000000002,0.07254623044096728,0.015029335333672676,0.9861494360650467,no,,,"Empty trays were not properly dry before this run, second triplicate thrown out for waste",,,
14,2024-08-19 14:12:00,97.0625,,364,275,53,32,,,53,32,0.7554945054945055,0.11636363636363636,42.625,0.64,5.44,2.08,50.785,0.14560439560439561,0.16067736536378854,0.8519247809392538,no,,,,,,
15,2024-08-26 13:44:00,104.04305555555766,,1530,1319,,,110,78,110,78,0.8620915032679739,0.05913570887035633,204.445,1.56,13.26,5.07,224.33499999999998,0.0718954248366013,0.08866204560144428,0.9182918403280809,yes,yes,3-4 hours,"first flushing sample was taken several hours later, from 8/26/25 check and events log, reactor flush - max speed recirc back and forth inside reactor body to loosen biomass, (NO W at normal sampling valve, sampled from waste bin for TSS/VSS)",,,
16,2024-09-03 14:28:00,112.07361111111095,,1441,1244,118,82,,,118,82,0.8632893823733518,0.06591639871382636,192.82,1.64,13.94,5.33,213.73,0.08188757807078417,0.09783371543536237,0.9098395171478032,unclear,yes,9 hours,"flushing?, from 9.3.24 check and events log, gas collection line flooded including scrubber",,,
17,2024-09-09 09:53:00,117.88263888889196,,450,247,347,173,,,347,173,0.5488888888888889,0.7004048582995951,38.285,3.46,29.41,11.245,82.4,0.7711111111111111,0.5353762135922329,0.5066140776699029,yes,yes,10+ minutes,"Flushing, sample taken a few minutes later, from 9.11.24 meeting (what happened Monday?) still high TSSVSS, good if VSS is high, high VSS in waste is not preferred, we may need to clean",,,
18,2024-09-16 12:43:00,125.00069444444671,,404,302,132,99,,,132,99,0.7475247524752475,0.32781456953642385,46.81,1.98,16.83,6.435,72.055,0.32673267326732675,0.35035736590104777,0.6771216431892304,yes,yes,2-3 hours,"start SRT control, from 09.16.24 check and events, mixig occurred 2-3 hours before sampling, needed to collect W from side port (not actual waste line)",,,
19,2024-09-23 12:38:00,131.99722222222044,,662,544,54,34,,,54,34,0.8217522658610272,0.0625,84.32,0.68,5.78,2.21,92.99,0.08157099697885196,0.09323583180987204,0.9140767824497258,yes,yes,3 hours,"from 09.23.24 check and events, mixig occurred 2-3 hours before sampling",,,
20,2024-09-30 11:41:00,138.95763888888905,,300,220,42,33,,,42,33,0.7333333333333333,0.15,34.1,0.66,5.61,2.145,42.515,0.14,0.19793014230271672,0.817593790426908,yes,yes,2 hours,"from 10.04.24 meeting notes, Reactor biomass has gotten thick again in the reactor ",,,
21,2024-10-07 12:16:00,145.9819444444438,,271,209,87,61,,,87,61,0.7712177121771218,0.291866028708134,32.395,1.22,10.37,3.965,47.95,0.3210332103321033,0.324400417101147,0.7010427528675703,yes,yes,3-4 hours,"not likely well mixed, from 10.14.24 meeting, Biofilm still intact, expecting lots of DEATH due to killer wolfe, 10.18.25 biomass is tightly cramped inside the reactor body, Pranava flushed but Heatehr did not arrive immediately to sample for TSS VSS, ",,,
22,2024-10-15 13:05:00,154.01597222222335,,440,356,251,216,,,251,216,0.8090909090909091,0.6067415730337079,55.18,4.32,36.72,14.04,110.25999999999999,0.5704545454545454,0.499546526392164,0.5396335933248685,yes,yes,10 minutes,"10.18.25 biomass is tightly cramped inside the reactor body, Pranava flushed but Heatehr did not arrive immediately to sample for TSS VSS, ",,,
23,2024-10-21 10:54:00,159.9250000000029,,473,376,122,106,,,122,106,0.7949260042283298,0.28191489361702127,58.28,2.12,18.02,6.89,85.31,0.25792811839323465,0.31684444965420233,0.7080060954167154,yes,yes,25 minutes,"From 10.18.24 meeting, biomass is tightly cramped inside the reactor body",,,
24,2024-10-28 12:46:00,167.00277777777956,,340,269,181,142,,,181,142,0.7911764705882353,0.5278810408921933,41.695,2.84,24.14,9.23,77.905,0.5323529411764706,0.46479686798023234,0.5716577883319427,yes,yes,4 hours,"From 11.01.24 meeting notes, removed the screen, mixing knocks off biofilm, no mixing this week, Heather to join for mixing",,,
25,2024-11-04 12:47:00,174.003472222219,,562,462,181,149,,,181,149,0.8220640569395018,0.3225108225108225,71.61,2.98,25.33,9.685,109.605,0.3220640569395018,0.34665389352675513,0.68053464714201,yes,no,3 hours,"likely implemented half-speed mixing for this one, From 11.08.24 meeting notes, A lot go knocked loose during mixing (Heather to add length to recirc line permanently)",,,
26,2024-11-11 12:45:00,181.00208333333285,,542,424,126,87,,,126,87,0.7822878228782287,0.20518867924528303,65.72,1.74,14.79,5.655,87.905,0.23247232472324722,0.25237472271201866,0.7674193731869631,yes,no,3 hours,"From 11.15.24 meeting notes, Mixing knocks off the biofilm, keep doing half speed ",,,
27,2024-11-18 12:10:00,187.9777777777781,,247,176,86,58,,,86,58,0.7125506072874493,0.32954545454545453,27.28,1.16,9.86,3.77,42.07,0.3481781376518219,0.3515569289279772,0.6760161635369623,yes,no,3-4 hours,"From 11.22.24 meeting notes, Mixing knocks off the biofilm, keep doing half speed ",,,
28,2024-11-25 12:23:00,194.9868055555562,,216,167,82,66,,,82,66,0.7731481481481481,0.39520958083832336,25.885,1.32,11.22,4.29,42.715,0.37962962962962965,0.39400678918412735,0.636895704085216,yes,no,2-3 hours,"From 11.27.24 meeting notes, Mixing knocks off the biofilm, keep doing half speed ",,,
29,2024-12-02 13:37:00,202.03819444444525,,1224,1089,303,278,,,303,278,0.8897058823529411,0.25528007346189163,168.795,5.56,47.26,18.07,239.68499999999997,0.24754901960784315,0.2957631891858064,0.7274339236915118,yes,no,2-3 hours,"TONS of MICROBIAL GROWTH, from 12.05.25 meeting notes, 5x higher than last week due to increased substrate feeding rates!, Heather to take picture, Mixing knocks off the biofilm, keep doing half speed ",,,
30,2024-12-09 12:43:00,209.0006944444467,,1083,874,,,71,51,71,51,0.8070175438596491,0.05835240274599542,135.47,1.02,8.67,3.315,148.475,0.06555863342566944,0.08759050345175955,0.9192793399562217,yes,no,2-3 hours,"waste taken from WW bottle, from 12.13.24 meeting notes, same as last week",,,
