,Unnamed: 0,Unnamed: 1,1.818,Butyrate to COD,REACTOR,Detection Limit (mg/L),0.33,Unnamed: 7,Unnamed: 8,0,59.04,73.07,88.11,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,WASTE,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,MEDIA,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84
0,Conversion factors,,1.067,Acetate to COD,Sampling Date/Time,Days Since Inoculation,Dilution,Raw Acetate,Raw Propionate,Raw Butyrate,Acetate (mg/L),Propionate (mg/L),Butyrate (mg/L),Acetate (mol/L),Propionate (mol/L),Butyrate (mol/L),Total (mg COD/L),Acetate (mmol C/L),Propionate (mmol C/L),Butyrate(mmol C/L),,Sampling Date/Time,Days Since Inoculation,Dilution,Raw Acetate,Raw Propionate,Raw Butyrate,Acetate (mg/L),Propionate (mg/L),Butyrate (mg/L),Acetate (mol/L),Propionate (mol/L),Butyrate (mol/L),Total (mg COD/L),,Sampling Date/Time,Days of Operation,Dilution,Raw Acetate,Raw Propionate,Raw Butyrate,Acetate (mg/L),Propionate (mg/L),Butyrate (mg/L),Acetate (mol/L),Propionate (mol/L),Butyrate (mol/L),Total (mg COD/L),,Description,Dilution,Replicates,Av,stdev,Av,stdev,Location of Raw Results,Sample ID in location,,,Sample ID,Sampling Date/Time,Days Since Inoculation,Analysis Date,Description,Dilution,Replicates,Av,stdev,Location of Raw Results,Sample ID in location,,Sample ID,Sampling Date/Time,Days Since Inoculation,Analysis Date,Description,Dilution,Replicates,Av,stdev,,,Location of Raw Results,Sample ID in location
1,,,1.514,Propionate to COD,2024-05-14 13:43:00,0.04236111111094942,10,150.74633333333335,9.924333333333335,,1507.4633333333336,99.24333333333335,,0.025532915537488713,0.0013581953378039326,,1758.7177833333335,51.065831074977424,4.074586013411798,,,2024-05-14 13:43:00,0.04236111111094942,10,209.968,13.586666666666666,,2099.68,135.86666666666667,,0.035563685636856364,0.0018594042242598423,,2446.060693333333,,2024-05-15 00:00:00,0.47083333333284827,10,209.16200000000003,16.433333333333334,,2091.6200000000003,164.33333333333334,,0.03542716802168022,0.002248984991560604,,2480.559206666667,,Reactor body liquid sample,10,3,700.9834333333333,0.5207936534111496,,,,,,,W_01,2024-05-14 13:43:00,0.04236111111094942,2024-05-14 00:00:00,Waste liquid sample,10,3,,,,,,M_01,2024-05-15 00:00:00,0.47083333333284827,2024-05-15 00:00:00,Media sample,10,3,,,,,,
2,Start Date,,2024-05-14 12:42:00,,2024-05-20 10:30:00,5.908333333332848,10,0,0,,0,0,,0,0,,0,0,0,,,2024-05-20 10:30:00,5.908333333332848,10,94.01333333333332,10.623666666666667,,940.1333333333332,106.23666666666666,,0.015923667570009032,0.0014539026504265316,,1163.9645799999998,,2024-05-20 10:30:00,5.908333333332848,10,88.93,18.073,,889.3000000000001,180.73000000000002,,0.015062669376693769,0.00247338168879157,,1222.50832,,Reactor body liquid sample,10,3,954.3603666666666,6.832044687480708,,,,,,,W_03,2024-05-20 10:30:00,5.908333333332848,2024-05-20 00:00:00,Waste liquid sample,10,3,,,,,,M_02,2024-05-20 10:30:00,5.908333333332848,2024-05-20 00:00:00,Media sample,10,3,,,,,,
3,,,,,2024-05-22 00:00:00,7.470833333332848,10,413.0376666666666,10.401666666666666,,4130.376666666666,104.01666666666665,,0.06995895438121047,0.0014235208247798913,,4564.5931366666655,139.91790876242095,4.270562474339674,,WW,2024-05-22 00:00:00,7.470833333332848,10,389.1893333333333,10.117666666666667,,3891.893333333333,101.17666666666666,,0.06591960252935862,0.0013846539847634687,,4305.831659999999,,2024-05-28 00:00:00,13.470833333332848,10,206.64066666666668,17.096666666666668,,2066.4066666666668,170.96666666666667,,0.035000112917795846,0.0023397655216459102,,2463.6994466666665,,,,,,,,,,,,,W_o4,2024-05-22 00:00:00,7.470833333332848,,Waste liquid sample,10,3,,,,,,,,,,,,,,,,,,
4,,,,,2024-05-23 10:57:00,8.927083333335759,30,94.14633333333335,4.443333333333333,,2824.3900000000003,133.3,,0.04783858401084012,0.0018242780895032162,,3215.4403300000004,95.67716802168023,5.472834268509649,,,2024-05-23 10:57:00,8.927083333335759,30,94.72233333333332,4.469333333333333,,2841.6699999999996,134.07999999999998,,0.04813126693766937,0.001834952785000684,,3235.0590099999995,,2024-06-25 10:38:00,41.91388888889196,10,76.22233333333334,27.701333333333334,,762.2233333333334,277.0133333333333,,0.012910286811201446,0.003791067925733315,,1232.6904833333333,,Reactor body liquid sample,30,3,,,,,,,,,W_05,2024-05-23 10:57:00,8.927083333335759,2024-05-23 00:00:00,Waste liquid sample,30,3,,,,,,,,,,,,,,,,,,
5,,,,,2024-05-28 00:00:00,13.470833333332848,30,79.27533333333332,3.760666666666667,,2378.2599999999998,112.82000000000001,,0.04028218157181571,0.0015439989051594363,,2708.4128999999994,80.56436314363143,4.631996715478309,,,2024-05-28 00:00:00,13.470833333332848,30,77.718,3.705666666666667,,2331.54,111.17000000000002,,0.039490853658536586,0.0015214178185301767,,2656.06456,,2024-07-02 09:17:00,48.857638888890506,10,92.892,30.104,,928.92,301.03999999999996,,0.015733739837398373,0.004119885041740796,,1446.9321999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,2024-05-29 00:00:00,14.470833333332848,30,65.81633333333333,0.23,,1974.49,0,,0.033443258807588076,0,,2106.7808299999997,66.88651761517615,0,,,2024-05-29 00:00:00,14.470833333332848,30,65.54433333333334,0.308,,1966.3300000000002,1e-10,,0.03330504742547426,1.368550704803613e-15,,2098.0741100001514,,2024-07-05 12:25:00,51.98819444444234,10,90.97633333333333,23.641333333333336,,909.7633333333333,236.41333333333336,,0.015409270551038844,0.0032354363395830487,,1328.6472633333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,2024-06-25 10:38:00,41.91388888889196,20,2.9006666666666665,19.709,,58.01333333333333,394.18,,0.0009826106594399277,0.0053945531681948815,,658.6887466666667,1.9652213188798553,16.183659504584643,,,2024-06-25 10:38:00,41.91388888889196,20,25.367,12.123666666666667,,507.34000000000003,242.47333333333333,,0.008593157181571815,0.003318370512294147,,908.4364066666667,,2024-07-09 09:02:00,55.84722222221899,10,96.92349999999999,27.6265,,969.2349999999999,276.265,,0.016416581978319782,0.0037808266046257012,,1452.4389549999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,2024-06-27 00:00:00,43.47083333333285,20,1.61,0,,32.2,0,,0.0005453929539295393,0,,34.3574,1.0907859078590787,0,,,2024-06-27 00:00:00,43.47083333333285,20,13.941333333333333,0,,278.82666666666665,1e-10,,0.0047226738934056005,1.368550704803613e-15,,297.50805333348467,,2024-07-12 09:33:00,58.868750000001455,10,89.214,21.962000000000003,,892.14,219.62000000000003,,0.015110772357723576,0.0030056110578896953,,1284.41806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,2024-07-02 09:17:00,48.857638888890506,20,0.9693333333333335,20.406000000000002,,19.38666666666667,408.12000000000006,,0.0003283649503161699,0.005585329136444506,,638.5792533333334,0.6567299006323397,16.755987409333517,,,2024-07-02 09:17:00,48.857638888890506,20,1.5376666666666665,21.258666666666667,,30.75333333333333,425.17333333333335,,0.0005208897922312556,0.0058187126499703486,,676.5262333333334,,2024-07-15 10:30:00,61.90833333333285,20,45.8545,12.7085,,917.09,254.17000000000002,,0.015533367208672088,0.0034784453263993435,,1363.34841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
