"seq","sample","rel_ab","Kingdom","Phylum","Class","Order","Family","Genus","Species","Day","Description","Media"
"0fec351445f84bd482075ceda6123f46","Q",49.7486166896048,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","midas_s_9526",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"63f37ee4b481fccdffca10160ed5b944","Q",15.5520602196444,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae",NA,NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"7f78afb7e1d45cd528fe9cd909c93fb5","Q",10.1480212341657,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"c55a8101fb6c187736f0af61f720cb92","Q",2.69359323652501,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobium",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"d3cf08daefed96f494257ceff63a6cf8","Q",2.19925287194899,"Bacteria","Thermotogota","Thermotogae","Kosmotogales","Kosmotogaceae","Mesotoga","Mesotoga_infera",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"37a9f9625f201b6e61c29ac09ec54683","Q",1.59256242451479,"Bacteria","Firmicutes","Clostridia","Gracilibacteraceae","Lutispora","midas_g_94288","midas_s_99172",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"04869be25e3dc4d526ce3824d407aedf","Q",1.55043114344297,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Aminivibrio","Aminivibrio_pyruvatiphilus",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"93fadef301b62aa732e42bf1142b3afa","Q",1.45212482094206,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","midas_g_9269",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"83adaf3a09d08c93f2abea6a4c815592","Q",1.35943600258405,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Petrimonas","Petrimonas_sulfuriphila",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"09ee5eb3e6c726c7c8242f6e97453fc2","Q",1.1459708451535,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","Methanobacterium_formicicum",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"b64cf0e9dea8cef6b9500b364c179b98","Q",0.946549448080218,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales",NA,NA,NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"e6485d233ed2b8b9a2f3f50f0747b9d2","Q",0.848243125579305,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum","midas_s_56159",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"b3d8bf326297fb9b18ea4fef1ce8d4a6","Q",0.7246580344353,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"19463e5fe824700110e4a4ec8afe0512","Q",0.601072943291296,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","Methanobacterium_beijingense",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"7281c911136ba2bdcafebb9c71729dea","Q",0.553324158076567,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","Methanobacterium_beijingense",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"5976a56adfe903f7348b5eb5689e3c55","Q",0.477487852147291,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","midas_g_36215","midas_s_87061",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"a402fc6f0fd057decbe746f48bf12862","Q",0.452209083504199,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Petrimonas","Petrimonas_sulfuriphila",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"e144d237c973d831d708cac2c17df968","Q",0.398842794146561,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Acetobacterium",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"206069e5a5041e6c7f39a4141aefdc19","Q",0.345476504788922,"Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group","midas_s_47390",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"c7553191e309cfc2e28aea2507e7afdf","Q",0.311771479931466,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Anaerovorax",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"01bc6f144e0f577c7a5364ebafdb3509","Q",0.303345223717102,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix","midas_s_114219",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"3343d19c0bc1759a66023cbc86c92592","Q",0.294918967502739,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","Cloacimonadaceae","LNR_A2-18",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"f876e4d5cbaa6ac5f3c225bcaf146791","Q",0.294918967502739,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","midas_f_1469","midas_g_2178","midas_s_5149",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"a5b2537343a26f4daf0379a8b46eb2ef","Q",0.280875207145465,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Syner-01",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"a061d8883eca2028db1d268500722130","Q",0.269640198859647,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","Cloacimonadaceae","LNR_A2-18",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"e79a45f432d0ccc86adbf9bbe7cef2a7","Q",0.266831446788192,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Hydrogenophilaceae","Thiobacillus",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
