"seq","5-10","H","Ha","I","Ia","J","Ja","Jb","K","L","M","N","Na","P","Q","Qa"
"99e5f06a61d06cdb191e00e52948bac7",0,0,0,0,0,0,0,0,0,0,0,0,0.0488117392232832,0,0,0
"cab3a156d09c8a95a87cc88ccf7c4de5",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00253318471982977,0,0
"8adc12dac7b8b4b0e4408ebdf6aab780",0.00132653088296549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b4ba6792b3fa30ceb7375dc41eb1d65c",0.00159183705955858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50420826a4434507209193c117f54130",0.00106122470637239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c2b43f5fc401b8ae942e9f83213eef32",0.0111428594169101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5efed3b185cd579740418a733b461740",0.00769387912119982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8dcc2c0ebe2c9f41761691937e854ac8",0.00344898029571026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9f113facb493f17c8499fb47ff434602",0.00238775558933788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4d4be4592350230ffffb8321fc1688fa",0.00132653088296549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144e3876b7943b5474d329bec54856a4",0,0.00641850812476153,0.0070482097547223,0.00431141338909428,0,0.00564011020775346,0,0,0.00222590733547762,0.0033682508673246,0.0026576660376857,0.00155117220144298,0,0.00142491640490425,0,0
"7762e0345755e644245415ce796d6cfa",0.0238775558933788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88d9d7a5f4454e47ced69c6c7391068b",0.00238775558933788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a8f1172cd5341236c5e2a3ced113b0b2",0.00504081735526885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dbec03fc66ff2c2d4e6b089d27824139",0.00397959264889646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3e3764ae6674e989f040377aa61069b5",0.00159183705955858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bc96db08da9a54e69f83357f2429e767",0.00344898029571026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"398b644c70b3a3b47d64e696f8b639fc",0.00238775558933788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"326834f69c357dad79f31e792597dd1d",0.0607551144398193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89056b9f86a0886730db47a8c45825eb",0.0254693929529373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7d92b18666da2334d7051a3a9791dc97",0.00504081735526885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3547314cbc17e38fbaed69287ddb4f31",0.00397959264889646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5dfb2d1578133ad81a110967e7c71462",0.00477551117867575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"702860fda44c0d44ddacb5bd79fd5d24",0.0581020526738883,0,0,0,0,0,0,0,0,0,0,0.00290844787770558,0,0.0284983280980849,0.0926888183580035,0.154994622635541
"4c301bbaaa0d8e3dc3356271c20fc5b5",0.0116734717700963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a777d4d917d8136a45eebcd830b6e5f4",0.00583673588504814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b5a4aad370e78b9f833c9424031c44ec",0.00424489882548956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35dbde30af820a2c3bcd85216229ad6a",0,0.1946947464511,0.218494502396391,0.169761902195587,0.603527034135268,0.349686832880715,0.300971175028701,0.176390175067249,0.0629931775940168,0.104674873107626,0.0314087804453765,0.0263699274245306,0.045761005521828,0.0270734116931807,0.0140437603572733,0
"532ff193b68d71a9e2229dd125e1eeb1",0.00875510382757221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22216e3e181ee694bf4c8daa987ac8ab",0.000530612353186195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84062ea22d23db6a01c565ec5523d81e",0.000530612353186195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"831363ded99c851c80f32aff0c59c9a2",0.000530612353186195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60ec6b41425f294ba92e7b2f8cc23289",0.00636734823823433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02e328ecac1fdf0f63bb40991465112b",0.00689796059142053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d3648f626f4aadacf25eb043bdc62c58",0.00344898029571026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fd570e30645c57d049c83863880fd312",0.00132653088296549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58a5d06b791283b4270f688e0b7408c9",0.00371428647230336,0.00713167569417948,0.0105723146320835,0.00323356004182071,0.0138423631682401,0.00197403857271371,0.0124111824754103,0,0,0.00181367354394401,0.000724818010277919,0,0,0.0044330732597021,0,0
"c040c750c7a9e9bdd14a5ee18b3c3b5b",0.00583673588504814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07751ebfb567d65db3f366d9c4037e68",0,0.00570534055534359,0,0.00754497343091499,0.0110738905345921,0.00535810469736579,0,0,0.00089036293419105,0.00570011685239547,0,0.00155117220144298,0,0.00316648089978721,0,0
"f4e4eee188c4e5fb2a3b609a95f7036c",0.00159183705955858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fa8e5e27d8fba25e37fc05340a105914",0.0427142944314887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"de6e665cc2a0ca6ca74b71b0581558e7",0.0323673535443579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8dba5d94c21557246f8c48418b0f3bda",0.0148571458892134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0d37046c1c20f102fc585c696c80e53c",0.000795918529779292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ea2f92611ededb17bbf35e9977420ae5",0,0,0,0,0,0.000564011020775346,0,0,0,0,0,0,0,0,0,0
"9c958ede3f88bbd0ae42120738cebe7d",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000316648089978721,0,0
"712e76a5d7842a97a23eda9641c3d251",0,0,0,0,0,0,0,0,0,0,0,0.000775586100721489,0,0,0,0
"349da55900cd296d52fd154bfb27343b",0,0,0,0,0,0.00225604408310138,0,0,0,0,0,0,0,0,0,0
"a6651a449b279b248edf929c8333a191",0,0,0,0.00161678002091035,0,0,0,0,0,0,0,0,0,0,0,0
"5fc9bb027baf249cda2d48b9d5bcee2c",0,0,0,0,0,0,0,0,0,0.000518192441126861,0,0,0,0,0,0
"4b802f02d58290e6ec0ab509d13074b6",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110826831492552,0,0
"1ec84bb16e1a78a4d73faef5bc502c2c",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000474972134968082,0,0
"88399278e67a6f27c1c493c39b174391",0.043510212961268,0,0,0.00269463336818392,0,0.00253804959348906,0,0,0,0,0,0,0,0,0,0
"c4112b995ef6cd2f05559f6a3057bc7c",0.0610204206164124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ab6115f8667efbf773336f71d2ab8f62",0,0,0,0,0,0,0,0,0,0,0,0.00174506872662335,0,0,0,0
"7b6ecabe8f3fae795ee25df066ea90fe",0,0,0,0,0,0,0,0,0,0,0,0.000387793050360744,0,0,0,0
"450292bf5b89b2f473bab4a6233d8682",0.00185714323615168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"acc9e695b90b8bc38191efe7159a2e15",0,0,0,0,0,0,0,0,0.00489699613805077,0,0,0,0,0,0,0
"0e94ac060981402de47bbf85360fea8b",0,0,0,0,0,0.012972253477833,0,0,0.0115747181444836,0.0139911959104253,0,0.00988872278419898,0,0,0,0
"fae223fac07c33613d2f851500010fdb",0,0,0,0,0,0,0,0,0.0162491235489867,0,0,0,0,0,0,0
"7f78afb7e1d45cd528fe9cd909c93fb5",0.00822449147438602,10.6515142330418,8.86312376656329,13.466699720836,17.0593283685391,24.0060010772611,13.3389183654473,27.569784363011,29.0403000523088,24.0923211653112,23.735615382571,20.6265184521628,15.488575002288,10.5133498834735,10.1480212341657,8.76826722338205
"8bea27e05e23cdeacb4dda62cfb59aaa",0,0,0,0,0,0,0,0,0,0,0.0103890581473168,0,0,0,0,0
"ce94860005cb569777791022ac3014af",0,0,0,0,0,0.0141002755193836,0,0,0.0135780347464135,0.0145093883515521,0,0.0110521019352812,0,0.00664960988955315,0,0
"6332a8b08afb6aa3ef5901e06a2c287f",0,0,0,0,0,0,0,0,0,0,0.0120803001712987,0,0,0,0,0
"337f3ac617d05dd84658bcfe764dad9c",0,0,0,0,0,0,0,0,0,0,0,0.00445962007914856,0,0,0,0
"9c1ee0993d66faee25a82385bd63bc0c",0,0,0,0,0,0,0,0,0,0,0.00700657409935322,0,0,0,0,0
"3ec71ebbc127b83786bd4d26c123ef7d",0,0,0,0,0,0,0,0,0,0.0191731203216939,0,0,0,0,0,0
"2be253ff64c2e3493d684bfe687d414a",0,0,0,0,0,0,0,0,0,0.00570011685239547,0,0,0,0,0,0
"b24e75b90cb37f9b407738a392646776",0.0318367411911717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8d941eda8589ac6399b9a5eea473711c",0.00663265441482743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09ee5eb3e6c726c7c8242f6e97453fc2",0,1.03480614322544,1.19114744854807,1.42815568513748,1.61401954541679,1.69372509538836,1.11700642278693,1.34056533051109,1.43749095725145,1.0379394595771,0.462192284553887,0.338155539914569,0.274566033130968,0.522627672509879,1.1459708451535,2.45460871765673
"0e2e50ea2d7a3366dcca1f3262040bb0",0,0,0,0.00161678002091035,0,0,0,0,0,0,0,0,0,0,0,0
"5c0ebed72151a6dd9f48df9af58de103",0.00610204206164124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17e2d5f6e5fc504e01e29c78e545e138",0.00424489882548956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ffa712fb62fa7468337cc7e0f0c527c3",0.00451020500208265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d6a202591a42fa999f25af7a7aefcffd",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00253318471982977,0,0
