seq,sample,rel_ab,Kingdom,Phylum,Class,Order,Family,Genus,Species,date,media,timepoint,notes
0fec351445f84bd482075ceda6123f46,5-10,0.0,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,midas_s_9526,,DSMZ v1: Using DSMZ 120 without NaHCO3,0,"Innoculum, from 2023 MBfR"
0fec351445f84bd482075ceda6123f46,H,30.0992372672845,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,midas_s_9526,,Wolfe v1: put in modified wolfe + EDTA ,140,"98% methane, modified wolfe + EDTA , best performance before adding KILLER media"
0fec351445f84bd482075ceda6123f46,Ha,28.721454750493404,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,midas_s_9526,,Wolfe v2: put in KILLER wolfe + EDTA + switch to HCl in trace elements,147,
0fec351445f84bd482075ceda6123f46,I,27.733166625349,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,midas_s_9526,,Wolfe v2: put in KILLER wolfe + EDTA + switch to HCl in trace elements,149,"butyrate production in reactor, major failure in CH4 production (10%)"
0fec351445f84bd482075ceda6123f46,Ia,16.7741756872733,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,midas_s_9526,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,153,
0fec351445f84bd482075ceda6123f46,J,12.795154017309498,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,midas_s_9526,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,161,"recovery, 93% ch4, extracted for analysis on recovery"
0fec351445f84bd482075ceda6123f46,Ja,18.9611840268082,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,midas_s_9526,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,168,
0fec351445f84bd482075ceda6123f46,Jb,6.75133395069895,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,midas_s_9526,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,174,
0fec351445f84bd482075ceda6123f46,K,6.59113421108279,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,midas_s_9526,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,182,1 week before transitioning to biofilm-only sampling
0fec351445f84bd482075ceda6123f46,L,8.99426620063893,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,midas_s_9526,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,189,"first biofilm-only sample, first direct biofilm sample"
0fec351445f84bd482075ceda6123f46,M,35.2061020012225,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,midas_s_9526,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,210,extracted because there was good time spacing between this and other samples
0fec351445f84bd482075ceda6123f46,N,31.8285024014085,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,midas_s_9526,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,238,"fluffy biofilm, mostly located on underside of membranes"
0fec351445f84bd482075ceda6123f46,Na,40.9255926050215,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,midas_s_9526,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,262,
0fec351445f84bd482075ceda6123f46,P,43.3511817306718,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,midas_s_9526,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,283,"very large biofilm growth between this and 1/7/25 sampling date, represents doubling of feed rate"
0fec351445f84bd482075ceda6123f46,Q,49.7486166896048,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,midas_s_9526,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,300,
0fec351445f84bd482075ceda6123f46,Qa,45.26791927627,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,midas_s_9526,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,315,
63f37ee4b481fccdffca10160ed5b944,5-10,0.238775558933788,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,DSMZ v1: Using DSMZ 120 without NaHCO3,0,"Innoculum, from 2023 MBfR"
