node_a,node_b,rho,abs_rho,sign,qvalue,pvalue,cooccurrence,community_a,community_b,same_community,phylum_a,phylum_b,same_phylum
midas_g_9269.2,midas_g_9269.3,0.9999999999999999,0.9999999999999999,positive,3.0693531364155627e-99,3.876914407497237e-103,3,7,7,1,Bacteroidota,Bacteroidota,1
Erysipelothrix.3,midas_g_9269.3,0.9927007299270072,0.9927007299270072,positive,6.584293541408664e-10,2.4949956579797894e-13,3,7,7,1,Firmicutes,Bacteroidota,0
Erysipelothrix.3,midas_g_9269.2,0.9927007299270072,0.9927007299270072,positive,6.584293541408664e-10,2.4949956579797894e-13,3,7,7,1,Firmicutes,Bacteroidota,0
midas_g_49937.1,midas_g_84729.1,0.9898734177215189,0.9898734177215189,positive,4.119327436649736e-09,2.081256757180617e-12,5,5,5,1,Chloroflexi,Chloroflexi,1
EBM-39.1,Thermovirga.2,0.9830209465959819,0.9830209465959819,positive,9.326395746010783e-08,5.890107203492979e-11,13,0,0,1,Synergistota,Synergistota,1
LNR_A2-18.2,LNR_A2-18.1,0.9785714285714284,0.9785714285714284,positive,3.490679208360155e-07,2.645456012398753e-10,15,5,5,1,Cloacimonadota,Cloacimonadota,1
midas_g_36215.1,midas_g_36215.2,0.9749166565164095,0.9749166565164095,positive,8.254566109678282e-07,7.298466940475934e-10,12,5,5,1,Bacteroidota,Bacteroidota,1
Desulfovibrio.3,Desulfosporosinus.2,0.9645569620253164,0.9645569620253164,positive,6.358624219837012e-06,6.734788455718309e-09,5,6,6,1,Desulfobacterota,Firmicutes,0
EBM-39.1,midas_g_114295.1,0.9641638992754195,0.9641638992754195,positive,6.358624219837012e-06,7.228447388977279e-09,12,0,0,1,Synergistota,Armatimonadota,0
Thermovirga.2,midas_g_114295.1,0.9614384576250392,0.9614384576250392,positive,9.155056966748213e-06,1.1563795587657209e-08,12,0,0,1,Synergistota,Armatimonadota,0
Fermentimonas.2,Thermovirga.2,0.9606440071556349,0.9606440071556349,positive,9.484189619215042e-06,1.317747705082297e-08,13,0,0,1,Bacteroidota,Synergistota,0
Aminiphilus.1,midas_g_76603.1,0.9525793444156803,0.9525793444156803,positive,2.8637576788460815e-05,4.340670979683337e-08,8,5,5,1,Synergistota,Firmicutes,0
EBM-39.1,Fermentimonas.2,0.9508493519801133,0.9508493519801133,positive,3.3227641635413616e-05,5.456098790708311e-08,13,0,0,1,Synergistota,Bacteroidota,0
Methanobacterium.1,Monoglobus.2,-0.9498268896207664,0.9498268896207664,negative,3.518493747791078e-05,6.221916441717202e-08,12,5,2,0,Euryarchaeota,Firmicutes,0
