node,degree,pos_degree,neg_degree,strength_abs_rho,community,phylum,top5_pos_neighbors,top5_neg_neighbors
Thermovirga.2,39,24,15,31.23895510911165,0,Synergistota,EBM-39.1 (+0.98); midas_g_114295.1 (+0.96); Fermentimonas.2 (+0.96); Methanosarcina.1 (+0.92); Clostridium_sensu_stricto_13.1 (+0.90),midas_g_76603.1 (-0.94); Aminiphilus.1 (-0.89); Methanobacterium.5 (-0.88); Methanobacterium.4 (-0.87); Petrimonas.2 (-0.85)
Aminiphilus.1,38,21,17,29.914013132758143,5,Synergistota,midas_g_76603.1 (+0.95); Petrimonas.2 (+0.92); Methanobacterium.5 (+0.91); Christensenellaceae_R-7_group.2 (+0.87); Methanobacterium.4 (+0.85),Clostridium_sensu_stricto_13.1 (-0.90); Fermentimonas.2 (-0.90); Thermovirga.2 (-0.89); EBM-39.1 (-0.88); Methanosarcina.1 (-0.87)
EBM-39.1,37,23,14,29.981172966074322,0,Synergistota,Thermovirga.2 (+0.98); midas_g_114295.1 (+0.96); Fermentimonas.2 (+0.95); Methanosarcina.1 (+0.92); Clostridium_sensu_stricto_13.1 (+0.90),midas_g_76603.1 (-0.93); Aminiphilus.1 (-0.88); Methanobacterium.4 (-0.87); Methanobacterium.5 (-0.87); Christensenellaceae_R-7_group.2 (-0.83)
midas_g_49937.1,37,19,18,29.657804808116758,5,Chloroflexi,midas_g_84729.1 (+0.99); Methanobacterium.5 (+0.94); midas_g_92370.1 (+0.91); Methanothrix.1 (+0.89); Ercella.1 (+0.87),Acinetobacter.1 (-0.84); Fermentimonas.2 (-0.84); Thermovirga.2 (-0.84); EBM-39.1 (-0.83); Clostridium_sensu_stricto_13.1 (-0.83)
midas_g_76603.1,36,19,17,28.960267711162764,5,Firmicutes,Aminiphilus.1 (+0.95); Petrimonas.2 (+0.94); Methanobacterium.5 (+0.92); Christensenellaceae_R-7_group.2 (+0.88); midas_g_84729.1 (+0.86),Methanosarcina.1 (-0.94); Thermovirga.2 (-0.94); EBM-39.1 (-0.93); Fermentimonas.2 (-0.90); Clostridium_sensu_stricto_13.1 (-0.90)
Fermentimonas.2,36,23,13,29.01708854641052,0,Bacteroidota,Thermovirga.2 (+0.96); EBM-39.1 (+0.95); midas_g_114295.1 (+0.94); Clostridium_sensu_stricto_13.1 (+0.90); Christensenellaceae_R-7_group.4 (+0.89),midas_g_76603.1 (-0.90); Aminiphilus.1 (-0.90); Methanobacterium.4 (-0.86); Methanobacterium.5 (-0.85); midas_g_49937.1 (-0.84)
midas_g_84729.1,36,19,17,28.845945389338496,5,Chloroflexi,midas_g_49937.1 (+0.99); Methanobacterium.5 (+0.93); Methanothrix.1 (+0.93); midas_g_92370.1 (+0.89); Ercella.1 (+0.88),Acinetobacter.1 (-0.83); Fermentimonas.2 (-0.83); Thermovirga.2 (-0.83); EBM-39.1 (-0.83); Clostridium_sensu_stricto_13.1 (-0.81)
Methanobacterium.5,35,18,17,28.717426816728263,5,Euryarchaeota,midas_g_49937.1 (+0.94); midas_g_84729.1 (+0.93); midas_g_76603.1 (+0.92); Ercella.1 (+0.91); Aminiphilus.1 (+0.91),Thermovirga.2 (-0.88); EBM-39.1 (-0.87); Methanosarcina.1 (-0.86); Taibaiella.1 (-0.86); Acinetobacter.1 (-0.85)
Ercella.1,32,18,14,25.140438682589227,5,Firmicutes,Methanobacterium.5 (+0.91); midas_g_84729.1 (+0.88); midas_g_49937.1 (+0.87); Petrimonas.2 (+0.85); Aminiphilus.1 (+0.84),Taibaiella.1 (-0.90); Clostridium_sensu_stricto_13.1 (-0.83); Comamonadaceae.3 (-0.83); Desulfovibrio.2 (-0.81); Acinetobacter.1 (-0.80)
Aquamicrobium.2,31,23,8,24.19136143044334,0,Proteobacteria,midas_g_97954.1 (+0.95); EBM-39.1 (+0.88); midas_g_114295.1 (+0.86); Azoarcus.2 (+0.86); Thermovirga.2 (+0.85),Methanobacterium.4 (-0.82); midas_g_30443.1 (-0.81); Christensenellaceae_R-7_group.2 (-0.77); midas_g_76603.1 (-0.72); midas_g_49937.1 (-0.72)
