Source,Target,rho
LNR_A2-18.1,LNR_A2-18.2,0.9815
midas_g_36215.1,midas_g_36215.2,0.9801
Acinetobacter.1,Thermovirga.2,0.9295
Acinetobacter.1,Oscillibacter.2,0.923
Methanosarcina.1,EBM-39.1,0.9162
Fermentimonas.2,Thermovirga.2,0.9049
Fermentimonas.2,EBM-39.1,0.8839
EBM-39.1,Romboutsia.1,0.8825
LNR_A2-18.2,Geobacteraceae.1,0.8754
LNR_A2-18.1,Geobacteraceae.1,0.8749
Fermentimonas.2,Acinetobacter.1,0.867
Methanobacterium.5,Aminiphilus.1,0.8663
midas_g_8129.1,Acetobacterium.1,0.8619
Methanobacterium.5,Petrimonas.3,0.8611
Gordonia.1,Paraclostridium.1,0.8605
Methanobacterium.1,midas_g_3409.1,0.8598
Comamonadaceae.2,Oscillibacter.2,0.8598
LNR_A2-18.2,Thiobacillus.1,0.8556
Aquamicrobium.2,EBM-39.1,0.8534
EBM-39.1,Oscillibacter.3,0.8533
Aminiphilus.1,midas_g_112760.1,0.8513
EBM-39.1,midas_g_669.1,0.8495
LNR_A2-18.1,Mesotoga.1,0.8469
Thermovirga.2,Oscillibacter.2,0.8457
Christensenellaceae_R-7_group.1,Ercella.1,0.8432
Acinetobacter.1,Comamonadaceae.2,0.8425
Methanobacterium.5,Ercella.1,0.8423
Aminiphilus.1,Ercella.1,0.8417
Desulfovibrio.2,Comamonadaceae.3,0.8412
Methanobacteriaceae.1,Hydrogenophaga.1,0.8406
Petrimonas.3,Aminiphilus.1,0.8382
midas_g_112760.1,Ercella.1,0.8366
LNR_A2-18.2,Mesotoga.1,0.8366
midas_g_114295.1,EBM-39.1,0.8356
midas_g_2901.1,Thermovirga.2,0.8345
midas_g_97954.1,Romboutsia.1,0.8342
midas_g_76603.1,Christensenellaceae_R-7_group.2,0.8327
Aquamicrobium.2,Romboutsia.1,0.8317
Rhodococcus.1,Terrisporobacter.1,0.8313
Syntrophomonas.3,Christensenellaceae_R-7_group.7,0.8293
midas_g_36215.1,Lentimicrobium.1,0.8293
Methanobacterium.5,midas_g_76603.1,0.8281
Methanobacterium.4,Aminiphilus.1,0.8276
LNR_A2-18.1,Thiobacillus.1,0.8272
midas_g_76603.1,Aminiphilus.1,0.8246
Methanobacteriaceae.1,Mesotoga.1,0.8241
Thiobacillus.1,midas_g_3409.1,0.824
midas_g_30443.1,Syner-01.3,0.8226
midas_g_9269.1,midas_g_49937.1,0.8222
Acinetobacter.1,Monoglobus.2,0.8215
Comamonadaceae.3,Oscillibacter.2,0.8214
Methanobacteriaceae.1,Acetobacterium.1,0.8214
Acinetobacter.1,EBM-39.1,0.8211
Proteiniphilum.1,midas_g_76603.1,0.8206
midas_g_9269.1,midas_g_2178.1,0.8194
Ca_Phosphitivorax.1,midas_g_49937.1,0.8194
midas_g_36215.2,Lentimicrobium.1,0.8178
Methanobacterium.5,midas_g_112760.1,0.817
Syner-01.3,Ercella.1,0.817
Petrimonas.3,Ercella.1,0.8167
Christensenellaceae_R-7_group.2,Ercella.1,0.8156
Thermovirga.2,EBM-39.1,0.8145
Methanobacterium.4,Methanobacterium.5,0.8131
Methanobacterium.5,midas_g_49937.1,0.8115
Methanobacterium.5,Christensenellaceae_R-7_group.1,0.8097
