Node,Phylum,Domain,Relative_abundance,Role,Module
Rhodococcus.2,Actinobacteriota,Bacteria,0.004076251,Non-hub connector,4
Sphingosinicella.1,Proteobacteria,Bacteria,0.00388925,Non-hub connector,4
Pelotomaculum.1,Firmicutes,Bacteria,0.003280786,Non-hub connector,4
Desulfuromonadaceae.1,Desulfobacterota,Bacteria,0.05279007,Peripheral non-hub,2
Trichloromonas.1,Desulfobacterota,Bacteria,0.020773438,Peripheral non-hub,2
Desulfovibrio.4,Desulfobacterota,Bacteria,0.044239142,Peripheral non-hub,4
Sedimentibacter.1,Firmicutes,Bacteria,0.003101957,Peripheral non-hub,4
Acetobacterium.1,Firmicutes,Bacteria,0.537507089,Peripheral non-hub,2
Acinetobacter.2,Proteobacteria,Bacteria,0.024121485,Peripheral non-hub,2
midas_g_49937.1,Chloroflexi,Bacteria,0.041851435,Peripheral non-hub,0
Propionicicella.2,Actinobacteriota,Bacteria,0.010915997,Peripheral non-hub,1
Petrimonas.3,Bacteroidota,Bacteria,0.014151195,Peripheral non-hub,0
midas_g_15299.1,Bacteroidota,Bacteria,0.091607854,Peripheral non-hub,2
midas_g_36376.1,Planctomycetota,Bacteria,0.012051263,Peripheral non-hub,2
Pseudomonas.2,Proteobacteria,Bacteria,0.010699803,Peripheral non-hub,4
midas_g_112760.1,Firmicutes,Bacteria,0.018693401,Peripheral non-hub,0
EBM-39.1,Synergistota,Bacteria,1.233061316,Peripheral non-hub,3
Fermentimonas.2,Bacteroidota,Bacteria,0.096831458,Peripheral non-hub,3
Desulfosporosinus.1,Firmicutes,Bacteria,0.124738701,Peripheral non-hub,1
Brevundimonas.1,Proteobacteria,Bacteria,0.017138316,Peripheral non-hub,2
Methanothrix.1,Halobacterota,Archaea,0.018606014,Peripheral non-hub,0
midas_g_8129.1,Chloroflexi,Bacteria,0.022154466,Peripheral non-hub,2
midas_g_5574.1,Actinobacteriota,Bacteria,0.010689421,Peripheral non-hub,2
Thiobacillus.1,Proteobacteria,Bacteria,0.113653728,Peripheral non-hub,5
midas_g_114295.1,Armatimonadota,Bacteria,0.057409858,Peripheral non-hub,3
midas_g_9269.1,Bacteroidota,Bacteria,0.867664462,Peripheral non-hub,0
Ca_Phosphitivorax.1,SAR324_cladeMarine_group_B,Bacteria,0.012914276,Peripheral non-hub,0
Methanobacterium.7,Euryarchaeota,Archaea,0.004104708,Peripheral non-hub,7
Proteiniphilum.3,Bacteroidota,Bacteria,0.00497107,Peripheral non-hub,7
Aminiphilus.1,Synergistota,Bacteria,0.054229413,Peripheral non-hub,0
Ercella.1,Firmicutes,Bacteria,0.027956679,Peripheral non-hub,0
midas_g_35108.1,Chloroflexi,Bacteria,0.005080583,Peripheral non-hub,0
Limnobacter.1,Proteobacteria,Bacteria,0.012493883,Peripheral non-hub,3
Christensenellaceae_R-7_group.4,Firmicutes,Bacteria,0.039559076,Peripheral non-hub,2
Pelolinea.1,Chloroflexi,Bacteria,0.00452032,Peripheral non-hub,0
midas_g_9269.2,Bacteroidota,Bacteria,0.042485809,Peripheral non-hub,6
midas_g_9269.3,Bacteroidota,Bacteria,0.01209746,Peripheral non-hub,6
Pelotomaculum.2,Firmicutes,Bacteria,0.015302534,Peripheral non-hub,6
Pannonibacter.1,Proteobacteria,Bacteria,0.082405389,Peripheral non-hub,1
Christensenellaceae_R-7_group.5,Firmicutes,Bacteria,0.003734552,Peripheral non-hub,4
Methanosarcina.1,Halobacterota,Archaea,0.155056754,Peripheral non-hub,3
Oscillibacter.3,Firmicutes,Bacteria,0.032268319,Peripheral non-hub,3
midas_g_97954.1,Firmicutes,Bacteria,0.049697121,Peripheral non-hub,3
Camelimonas.1,Proteobacteria,Bacteria,0.021735418,Peripheral non-hub,3
midas_g_5574.2,Actinobacteriota,Bacteria,0.014306269,Peripheral non-hub,2
Alcaligenes.1,Proteobacteria,Bacteria,0.007252647,Peripheral non-hub,2
Bellilinea.1,Chloroflexi,Bacteria,0.006269636,Peripheral non-hub,0
midas_g_669.1,Firmicutes,Bacteria,0.032418988,Peripheral non-hub,3
Christensenellaceae_R-7_group.1,Firmicutes,Bacteria,0.083564304,Peripheral non-hub,0
Christensenellaceae_R-7_group.2,Firmicutes,Bacteria,0.039305267,Peripheral non-hub,0
Dysgonomonas.1,Bacteroidota,Bacteria,0.284192284,Peripheral non-hub,1
Christensenellaceae_R-7_group.6,Firmicutes,Bacteria,0.004095881,Peripheral non-hub,1
Aquamicrobium.2,Proteobacteria,Bacteria,0.028826385,Peripheral non-hub,3
midas_g_93469.1,Firmicutes,Bacteria,0.006391685,Peripheral non-hub,2
LNR_A2-18.1,Cloacimonadota,Bacteria,0.34946445,Peripheral non-hub,5
LNR_A2-18.2,Cloacimonadota,Bacteria,0.319797597,Peripheral non-hub,5
midas_g_3409.1,WS1,Bacteria,0.100251117,Peripheral non-hub,5
Mesotoga.1,Thermotogota,Bacteria,1.960397699,Peripheral non-hub,5
Syner-01.3,Synergistota,Bacteria,0.025418594,Peripheral non-hub,0
Hydrogenophaga.2,Proteobacteria,Bacteria,0.024969209,Peripheral non-hub,2
Erysipelothrix.3,Firmicutes,Bacteria,0.005702026,Peripheral non-hub,6
Flavobacterium.1,Bacteroidota,Bacteria,0.003910498,Peripheral non-hub,6
Comamonadaceae.2,Proteobacteria,Bacteria,0.038011339,Peripheral non-hub,3
Desulfovibrio.2,Desulfobacterota,Bacteria,0.244435611,Peripheral non-hub,3
Comamonadaceae.3,Proteobacteria,Bacteria,0.087594599,Peripheral non-hub,3
Clostridium_sensu_stricto_13.1,Firmicutes,Bacteria,0.035040374,Peripheral non-hub,3
Methanobacterium.6,Euryarchaeota,Archaea,0.006905636,Peripheral non-hub,4
midas_g_30443.1,Desulfobacterota,Bacteria,0.03893262,Peripheral non-hub,0
Anaerostignum.1,Firmicutes,Bacteria,0.008230887,Peripheral non-hub,2
Christensenellaceae.1,Firmicutes,Bacteria,0.001573361,Peripheral non-hub,7
Syntrophomonas.2,Firmicutes,Bacteria,0.006121065,Peripheral non-hub,1
midas_g_97311.1,Firmicutes,Bacteria,0.013748019,Peripheral non-hub,0
Syntrophomonas.3,Firmicutes,Bacteria,0.031355197,Peripheral non-hub,9
Christensenellaceae_R-7_group.7,Firmicutes,Bacteria,0.044019519,Peripheral non-hub,9
Christensenellaceae_R-7_group.8,Firmicutes,Bacteria,0.007180516,Peripheral non-hub,2
Actinomyces.1,Actinobacteriota,Bacteria,0.010116594,Peripheral non-hub,3
midas_g_554.1,Firmicutes,Bacteria,0.003595621,Peripheral non-hub,0
Geobacteraceae.1,Desulfobacterota,Bacteria,0.05588942,Peripheral non-hub,5
Methanobacteriaceae.1,Euryarchaeota,Archaea,17.04181042,Dominant methanogen,2
Aminivibrio.1,Synergistota,Bacteria,2.540539017,Peripheral non-hub,2
Lachnoclostridium.1,Firmicutes,Bacteria,0.165393404,Peripheral non-hub,3
midas_g_98124.1,Firmicutes,Bacteria,0.029215959,Peripheral non-hub,1
Stenotrophomonas.3,Proteobacteria,Bacteria,0.013442897,Peripheral non-hub,1
Devosia.2,Proteobacteria,Bacteria,0.001391896,Peripheral non-hub,1
Fonticella.1,Firmicutes,Bacteria,0.006477138,Peripheral non-hub,1
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium.1,Proteobacteria,Bacteria,0.011807903,Peripheral non-hub,3
Arenimonas.1,Proteobacteria,Bacteria,0.001331536,Peripheral non-hub,4
Methanobacterium.1,Euryarchaeota,Archaea,26.91660143,Dominant methanogen,0
Methanobacterium.4,Euryarchaeota,Archaea,0.234193962,Peripheral non-hub,0
Pseudoxanthomonas.1,Proteobacteria,Bacteria,0.002177299,Peripheral non-hub,0
Xanthobacter.1,Proteobacteria,Bacteria,0.026591298,Peripheral non-hub,0
Bacteria.1,,Bacteria,0.001464765,Peripheral non-hub,0
Clostridiaceae.1,Firmicutes,Bacteria,0.007892395,Peripheral non-hub,1
Methanobacterium.2,Euryarchaeota,Archaea,17.15788922,Dominant methanogen,1
Proteiniphilum.1,Bacteroidota,Bacteria,0.577990291,Peripheral non-hub,0
Syner-01.1,Synergistota,Bacteria,0.424986943,Peripheral non-hub,2
Sporomusaceae.1,Firmicutes,Bacteria,0.045691299,Peripheral non-hub,2
Syner-01.2,Synergistota,Bacteria,0.180458679,Peripheral non-hub,8
Lentimicrobium.1,Bacteroidota,Bacteria,3.09233906,Peripheral non-hub,0
Christensenellaceae_R-7_group.3,Firmicutes,Bacteria,0.04323942,Peripheral non-hub,5
midas_g_85764.1,Firmicutes,Bacteria,0.005276767,Peripheral non-hub,1
Caproiciproducens.1,Firmicutes,Bacteria,0.005242399,Peripheral non-hub,2
Sulfurospirillum.1,Campylobacterota,Bacteria,0.291708161,Peripheral non-hub,2
NK4A214_group.1,Firmicutes,Bacteria,0.002476584,Peripheral non-hub,2
Ruminiclostridium.2,Firmicutes,Bacteria,0.002448811,Peripheral non-hub,2
Soehngenia.1,Firmicutes,Bacteria,0.002038239,Peripheral non-hub,0
Burkholderiales.1,Proteobacteria,Bacteria,9.390278508,Peripheral non-hub,3
Phenylobacterium.1,Proteobacteria,Bacteria,0.006047206,Peripheral non-hub,3
midas_g_91392.1,Firmicutes,Bacteria,0.002649966,Peripheral non-hub,0
Hydrogenophaga.1,Proteobacteria,Bacteria,0.054163362,Peripheral non-hub,0
Intestinimonas.1,Firmicutes,Bacteria,0.037052309,Peripheral non-hub,3
Sedimentibacter.2,Firmicutes,Bacteria,0.011817794,Peripheral non-hub,3
midas_g_110683.1,Firmicutes,Bacteria,0.00569289,Peripheral non-hub,3
Bosea.2,Proteobacteria,Bacteria,0.001775284,Peripheral non-hub,3
Desulfosporosinus.2,Firmicutes,Bacteria,0.015061094,Provincial hub,1
Christensenellaceae_R-7_group.9,Firmicutes,Bacteria,0.016410519,Ultra-peripheral non-hub,1
Desulfosporosinus.3,Firmicutes,Bacteria,0.014780378,Ultra-peripheral non-hub,1
Methanobacterium.5,Euryarchaeota,Archaea,0.081042403,Ultra-peripheral non-hub,0
Anaerovorax.2,Firmicutes,Bacteria,0.002243001,Ultra-peripheral non-hub,4
Romboutsia.1,Firmicutes,Bacteria,0.347479197,Ultra-peripheral non-hub,3
Sporanaerobacter.1,Firmicutes,Bacteria,0.014101361,Ultra-peripheral non-hub,1
Achromobacter.1,Proteobacteria,Bacteria,0.083363831,Ultra-peripheral non-hub,8
midas_g_3595.1,Firmicutes,Bacteria,0.012037929,Ultra-peripheral non-hub,2
midas_g_76603.1,Firmicutes,Bacteria,0.024540138,Ultra-peripheral non-hub,0
midas_g_84729.1,Chloroflexi,Bacteria,0.020004685,Ultra-peripheral non-hub,0
Bacteroides.1,Bacteroidota,Bacteria,0.130116397,Ultra-peripheral non-hub,1
Acinetobacter.1,Proteobacteria,Bacteria,0.45654905,Ultra-peripheral non-hub,3
Monoglobus.3,Firmicutes,Bacteria,0.012191402,Ultra-peripheral non-hub,0
midas_g_92370.1,Firmicutes,Bacteria,0.010546755,Ultra-peripheral non-hub,0
Oscillibacter.2,Firmicutes,Bacteria,0.07851051,Ultra-peripheral non-hub,3
Taibaiella.1,Bacteroidota,Bacteria,0.041888104,Ultra-peripheral non-hub,3
Cryptanaerobacter.1,Firmicutes,Bacteria,0.011399078,Ultra-peripheral non-hub,0
Monoglobus.1,Firmicutes,Bacteria,0.025356241,Ultra-peripheral non-hub,1
Clostridiaceae.2,Firmicutes,Bacteria,0.009973104,Ultra-peripheral non-hub,1
Desulfovibrio.3,Desulfobacterota,Bacteria,0.087464103,Ultra-peripheral non-hub,1
midas_g_82137.1,Firmicutes,Bacteria,0.005375022,Ultra-peripheral non-hub,1
Thermovirga.2,Synergistota,Bacteria,0.289931046,Ultra-peripheral non-hub,3
Monoglobus.2,Firmicutes,Bacteria,0.065557938,Ultra-peripheral non-hub,3
midas_g_98017.1,Firmicutes,Bacteria,0.009293707,Ultra-peripheral non-hub,2
Proteiniphilum.4,Bacteroidota,Bacteria,0.008373443,Ultra-peripheral non-hub,0
Desulfurispora.1,Firmicutes,Bacteria,0.037167731,Ultra-peripheral non-hub,0
midas_g_95534.1,Firmicutes,Bacteria,0.004878055,Ultra-peripheral non-hub,0
Azorhizobium.1,Proteobacteria,Bacteria,0.01216446,Ultra-peripheral non-hub,0
Christensenellaceae_R-7_group.10,Firmicutes,Bacteria,0.005561303,Ultra-peripheral non-hub,1
midas_g_2178.1,Chloroflexi,Bacteria,0.130694159,Ultra-peripheral non-hub,0
Syntrophobotulaceae.1,Firmicutes,Bacteria,0.007359193,Ultra-peripheral non-hub,0
Azoarcus.2,Proteobacteria,Bacteria,0.012665326,Ultra-peripheral non-hub,2
Thermovirga.1,Synergistota,Bacteria,0.029422568,Ultra-peripheral non-hub,0
Christensenellaceae_R-7_group.11,Firmicutes,Bacteria,0.016305333,Ultra-peripheral non-hub,0
Proteiniphilum.5,Bacteroidota,Bacteria,0.006119119,Ultra-peripheral non-hub,1
Sedimentibacter.3,Firmicutes,Bacteria,0.011373722,Ultra-peripheral non-hub,1
