sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
5-10	415667	394593	94.93	392105	381516	91.78	377003	90.7
A	397254	378036	95.16	377267	373279	93.96	369216	92.94
B	495564	470942	95.03	470177	465993	94.03	458864	92.59
C	563305	534194	94.83	533219	528566	93.83	521854	92.64
Ca	43518	41902	96.29	41603	40397	92.83	39516	90.8
Cb	36601	34944	95.47	34088	32747	89.47	32461	88.69
D	549627	519756	94.57	518477	510458	92.87	493383	89.77
E	722575	685466	94.86	684094	675811	93.53	657463	90.99
Ea	39862	38479	96.53	38275	37601	94.33	37239	93.42
F	507670	480897	94.73	480370	477624	94.08	473635	93.3
Fa	38403	36835	95.92	36613	35902	93.49	35513	92.47
Fb	32025	30949	96.64	30733	30244	94.44	29496	92.1
G	552781	521102	94.27	520441	516780	93.49	499776	90.41
Ga	33463	32441	96.95	32249	31792	95.01	31328	93.62
H	300248	282993	94.25	282676	281814	93.86	280416	93.39
Ha	30325	29412	96.99	29283	28878	95.23	28322	93.39
I	197199	186477	94.56	186315	185680	94.16	185554	94.09
Ia	39049	37729	96.62	37515	36987	94.72	36133	92.53
J	381254	361430	94.8	361064	359517	94.3	354653	93.02
Ja	34674	33377	96.26	33187	32799	94.59	32223	92.93
Jb	23913	23092	96.57	22966	22753	95.15	22645	94.7
K	487660	460808	94.49	460313	458502	94.02	449201	92.11
L	416992	393250	94.31	392763	390846	93.73	385874	92.54
M	458222	433075	94.51	432499	430289	93.9	413810	90.31
N	570499	538971	94.47	538111	535534	93.87	515699	90.39
Na	35030	33982	97.01	33786	33488	95.6	32808	93.66
P	708796	671774	94.78	671191	667955	94.24	631880	89.15
Q	38451	37180	96.69	37029	36701	95.45	35669	92.76
Qa	33858	32946	97.31	32800	32426	95.77	31617	93.38
