"seq","5-10","A","B","C","Ca","Cb","D","E","Ea","F","Fa","Fb","G","Ga","H","Ha","I","Ia","J","Ja","Jb","K","L","M","N","Na","P","Q","Qa"
"0fd87e3cf3f118361bcb5de6a4bf2a71",0,0,0,0,0,0,0,0,0,0,0,0.105098996474098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99e5f06a61d06cdb191e00e52948bac7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487685930260912,0,0,0
"00adc7daa4b95b95372776a244ef7a2c",0,0,0,0.00670685670704833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cab3a156d09c8a95a87cc88ccf7c4de5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00253212635310502,0,0
"955d34a1529b6fbcf425ced56e3b7fc1",0.0302384861658926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ccd8c51003c6724304379157cbbb67a3",0.00291774866512999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8a86fb52c58e6597a806872e474d6ac1",0.0108752450245754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"090b23760e2b4c99732ad0ce04fa8ac2",0.00424399805837089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e9610e4b261eb260ad4e507e8c1d634e",0.0156497428402427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"057bcefe7d185d0daf7b610144b1fa59",0.0405832314331716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"feb42a0dac8ff0d17d64cdea8f2fcf1e",0.0100794953886309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fcd440ee90ed7a838d67a52025c2c7d6",0.00663124696620451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6175323e639f0195d56844920014159a",0.00212199902918544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"723bd8389de26603c3e8283a20c163c7",0.0307689859231889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9105a12672d63787cb130b8396b7aa49",0,0,0,0,0,0.0154030991035396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62cb0689453660fcfba1346b1152bc84",0.00265249878648181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25fd077b762513468941fbac535c9506",0.032360485195078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e843b0e0535e8033ed7c08faf28016ca",0.0848799611674178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90a5e55fa876aa0bf69ffe16087cd920",0.0779834643225651,0,0.00130757697269779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9f86297104372f6378c6bf3dc1a8e8ec",0.191775662262635,0.00297928583810019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5d8d4162e9b3958c6bc4b820eac278dc",0.00185674915053726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e1d4180c0091e155509f14fcbdb541ae",0.00344824842242635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126253aad6ce532558563354e8c229f3",0.0013262493932409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c7ee36f726ae061be7e613876b497945",0.00265249878648181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8b78ca8c5e127e820c9561e10c9f19c2",0.00371349830107453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83fe43c957bc1d62cad075e35f2b3e77",0.000530499757296361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2af9958fd7f71a6e23c081bc5ea32141",0.0082227462380936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"516a6da55fdb8df7ed2cdc84291dbca2",0.000530499757296361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e7891537521872e90b0e0f41517de633",0.00689649684485269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c992cbee5926e44bc397f0234e0c255c",0.000795749635944542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fc05fae4c5692849b84f3411043e8344",0.0095489956313345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c883771c490f92035a893a246adf9767",0.0013262493932409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"873b71b30dcfcdbdf2e7080dd9db241f",0.0551719747588215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9fb275ed81ecc69dd2c2cf775d20f252",0.00106099951459272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fd7c9ad162f78a62dda5099c417becc6",0.0472144783993761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c8e5908cbbf128920eb03bfbe95f95a9",0.0180369917480763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"344057b4eb641fc142588238344a8918",0,0,0,0,0,0.141708511752565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2b10a074b0f59b702c22aff7e6b39787",0,0,0,0,0,0.0215643387449555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21303e01cd67416ee96438f8033c47ec",0,0,0,0,0,0.117063553186901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ab07f8f9d60701b64f9d82751d8be248",0.000530499757296361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14ba1f19338b039eaa6ddedfb7c78f7e",0,0,0,0,0,0.0308061982070793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8b2843ccdbc3d39c6d758b7f91388341",0.0095489956313345,0,0.000653788486348896,0,0,0.0277255783863713,0,0.00106469869787349,0,0.00190019740939753,0,0,0.00300134460238187,0,0.00356613032066644,0,0.00538926673636785,0.00553510641242078,0.00507538354391476,0,0,0.000667852475840437,0.00466473512079072,0.00724970397042121,0.00562343537606239,0,0.00933721592707476,0.0280355490762287,0.0126514217035139
