seq,Kingdom,Phylum,Class,Order,Family,Genus,Species,rel_ab
0fec351445f84bd482075ceda6123f46,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,midas_s_9526,49.659368
63f37ee4b481fccdffca10160ed5b944,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,26.885001
7f78afb7e1d45cd528fe9cd909c93fb5,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,,29.039339
b64cf0e9dea8cef6b9500b364c179b98,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,,,,33.923344
c55a8101fb6c187736f0af61f720cb92,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,,18.756959
8466f2635d9fbf9c51a04877474f3d09,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,midas_s_9908,25.549814
35dbde30af820a2c3bcd85216229ad6a,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosarcinaceae,Methanosarcina,,26.644412
83adaf3a09d08c93f2abea6a4c815592,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Petrimonas,Petrimonas_sulfuriphila,6.364395
04869be25e3dc4d526ce3824d407aedf,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Aminivibrio,Aminivibrio_pyruvatiphilus,6.220387
25c54c57b4a4283237b33fdae82003c0,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,EBM-39,,8.535687
a039c1ac15b3f4bc5cf1db8a5f1cc0fd,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Terrisporobacter,,18.119475
38b371de3be6ddef03bea94294e9830d,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium_beijingense,17.516955
37a9f9625f201b6e61c29ac09ec54683,Bacteria,Firmicutes,Clostridia,Gracilibacteraceae,Lutispora,midas_g_94288,midas_s_99172,3.867748
d3cf08daefed96f494257ceff63a6cf8,Bacteria,Thermotogota,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga,Mesotoga_infera,3.809759
a5b2537343a26f4daf0379a8b46eb2ef,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Syner-01,,3.422467
b3d8bf326297fb9b18ea4fef1ce8d4a6,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,3.704828
c571cb007a7d9e2dfc56e8c0b4e24104,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,7.003183
e6485d233ed2b8b9a2f3f50f0747b9d2,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Proteiniphilum,midas_s_56159,1.154356
4c31c3e198534eab45b6d92b61f75b10,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Paraclostridium,midas_s_2984,7.347457
e75fd72fb216d3d4c964602d8c338f65,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,2.802285
09ee5eb3e6c726c7c8242f6e97453fc2,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium_formicicum,2.454376
be9dcf562f0ab066c0b252d527a42d19,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,Romboutsia_lituseburensis,1.816823
6aa300d5323cbf75dc53cec3e6acb87c,Bacteria,Firmicutes,Clostridia,Gracilibacteraceae,Gracilibacter,midas_g_669,,13.006505
