,$CO_2$ delivery rate (mol/min),$H_2$ delivery rate (mol/min),Media delivery rate (mL/min),Media VFA (mg COD/L),Media COD (mg/L),Total C delivery rate (mol/min),$CH_4$ production rate (mol/min),$CO_2$ conversion efficiency (%),$H_2$ conversion efficiency (%),Effluent acetate (mol/L),Effluent propionate (mol/L),Effluent total VFA (mg COD/L),Effluent COD (mg/L),Methanobacterium.1,Methanobacterium.2,Methanobacteriaceae.1
Christensenellaceae_R-7_group.2,0.9043453178618135,0.854590492427392,0.0,0.0,0.6714285714285713,0.8833162232652875,0.0,0.0,0.0,-0.7285714285714285,-0.7285714285714285,0.0,0.0,0.0,0.0,0.0
Methanobacterium.4,0.7734951099405225,0.8724256946825477,0.7683357942107565,0.0,0.7596070950968951,0.8275016115372054,0.0,0.0,0.0,-0.8525472573205152,-0.8525472573205152,0.0,0.0,0.0,0.0,0.0
midas_g_30443.1,0.8409393287601612,0.7514326469245394,0.7106690545187015,0.0,0.0,0.8373629009524064,0.0,0.0,0.0,-0.8546867367576368,-0.8546867367576368,0.0,0.0,0.0,0.0,0.0
Lentimicrobium.1,0.6631865664319967,0.7845715235100217,0.6978631577988531,0.0,0.0,0.7127571964152828,0.0,0.0,0.0,-0.7892857142857141,-0.7892857142857141,0.0,0.0,0.0,0.0,0.0
Aminiphilus.1,0.8924925468318616,0.8909613361186397,0.6486749731408024,0.0,0.7358668357794091,0.8993054069043501,0.0,0.0,0.0,-0.8575891695173564,-0.8575891695173564,-0.773190228373135,0.0,0.6620957244230773,0.0,0.0
Petrimonas.2,0.8424768274307959,0.8686651220067534,0.0,0.0,0.763994968365834,0.8559838793497205,0.0,0.0,0.0,-0.7802118426943541,-0.7802118426943541,-0.8622754507448042,0.7261555949326206,0.7513818438880961,0.0,0.0
Methanobacterium.5,0.838863271805988,0.8709379904805077,0.0,0.0,0.8702888011474106,0.8527090557960321,0.7218563553926666,0.0,0.0,-0.7212115528027152,-0.7212115528027152,-0.7914625638620436,0.7010659787020806,0.8702888011474106,0.0,0.0
midas_g_49937.1,0.8266242806788247,0.8315649411420939,0.0,0.0,0.8164670506801195,0.8358403392970661,0.725687975942534,0.0,0.0,-0.6144765042879025,-0.6144765042879025,-0.7130090903100195,0.6995251554004149,0.8164670506801195,0.0,0.0
midas_g_76603.1,0.8454196950405747,0.9235271584903172,0.0,0.0,0.8131571126147261,0.8610755268710951,0.6405569459547492,0.0,0.0,-0.7491586361589375,-0.7491586361589375,-0.7439900305455986,0.0,0.7115124735378854,0.0,0.0
Ercella.1,0.8800838283224205,0.7702367899704081,0.0,0.0,0.7077478572757802,0.8497206847585091,0.6556288740948609,0.0,0.0,-0.6926893922273594,-0.6926893922273594,-0.7956234080598041,0.0,0.8244509614010418,0.0,0.0
Methanobacterium.1,0.0,0.6355567947884386,0.0,0.0,0.7785714285714285,0.5978542730637008,0.6827527301812093,0.0,0.0,0.0,0.0,-0.8021978021978022,0.7107142857142856,1.0,-0.7535714285714286,0.0
midas_g_84729.1,0.8244489536244066,0.8358403392970661,0.0,0.0,0.8037097530132427,0.8379780383745522,0.7299442104055401,0.0,0.0,0.0,0.0,-0.7019973669075481,0.7037775879560405,0.8037097530132427,0.0,0.0
Thermovirga.1,0.6975290447286094,0.6289906122544919,0.0,0.0,0.6275488244039695,0.7185682226684442,0.0,0.0,0.0,0.0,0.0,0.0,0.6837183179463001,0.716645262436632,0.0,0.0
Methanobacteriaceae.1,0.0,0.0,-0.6978631577988531,0.0,0.0,0.0,0.0,0.6857142857142856,0.0,0.6499999999999999,0.6499999999999999,0.0,0.0,0.0,0.0,1.0
Desulfobulbus.1,0.0,0.0,-0.7676494735787384,0.0,0.0,0.0,0.0,0.7571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8142857142857142
Intestinimonas.1,-0.7817237813228685,-0.7439428168868687,-0.6286383770815281,0.0,0.0,-0.7574200418304714,0.0,0.6684542436852677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aminivibrio.1,-0.7654963397658585,-0.7486643599626522,0.0,0.0,0.0,-0.7289154200115991,0.0,0.0,0.0,0.6857142857142856,0.6857142857142856,0.0,0.0,0.0,0.0,0.0
Petrimonas.1,-0.6978988109559855,-0.732506136366336,0.0,0.0,0.0,-0.6948036146415982,0.0,0.7357142857142855,0.0,0.7642857142857141,0.7642857142857141,0.0,0.0,0.0,0.0,0.0
Mesotoga.1,0.0,0.0,-0.6978631577988531,0.0,0.0,0.0,0.0,0.7928571428571427,0.0,0.7107142857142856,0.7107142857142856,0.0,0.0,0.0,0.0,0.0
Acetobacterium.1,0.0,-0.705575763705809,-0.7676494735787384,0.0,0.0,-0.61042178030528,0.0,0.7535714285714286,0.0,0.8107142857142855,0.8107142857142855,0.0,0.0,0.0,0.0,0.8499999999999999
midas_g_15299.1,0.0,-0.7073711218831774,-0.7676494735787384,0.0,0.0,-0.6337614366110701,0.0,0.8214285714285712,0.0,0.7714285714285712,0.7714285714285712,0.0,0.0,0.0,0.0,0.0
Desulfuromonadaceae.1,-0.6243188646179545,-0.814463348522205,-0.9140257315714276,0.0,0.0,-0.7011652974154416,0.0,0.6952727228447892,0.0,0.7101562367894788,0.7101562367894788,0.0,0.0,0.0,0.0,0.0
Sulfurospirillum.1,-0.6229934411936938,-0.6517150183847549,-0.6978631577988531,0.0,0.0,-0.6211939293694908,0.0,0.7499999999999999,0.0,0.6964285714285713,0.6964285714285713,0.0,0.0,0.0,0.0,0.0
Syntrophomonas.1,-0.6792755113308038,-0.6693799008092173,0.0,0.8022608360001077,-0.628898724312728,-0.699047708047299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrisporobacter.1,-0.6887640097654621,-0.6876221819321242,0.0,0.0,-0.7249999999999999,-0.7091664800605458,-0.7220735680450485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Desulfovibrio.2,-0.6266473616699032,-0.6301707202563331,0.0,0.0,-0.6785714285714285,-0.6660778838037026,-0.6773907977452311,0.0,0.0,0.0,0.0,0.0,0.0,-0.7892857142857141,0.0,0.0
Comamonadaceae.3,-0.8329244032574656,-0.7673033401224468,0.0,0.0,-0.7739055815928366,-0.8346894648404601,-0.6529516994633273,0.0,0.0,0.0,0.0,0.0,0.0,-0.6630923112492897,0.0,0.0
Romboutsia.1,-0.6851100892892528,-0.7755947326231792,0.0,0.0,-0.8571428571428571,-0.7181432709473882,-0.718498946421063,0.0,0.0,0.0,0.0,0.0,0.0,-0.6214285714285712,0.0,0.0
Desulfovibrio.4,0.0,-0.6737206320134281,0.0,0.0,-0.6249262995094654,-0.6415485793611015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oscillibacter.2,0.0,-0.6144154117618869,0.0,0.0,-0.7598615116966132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6523339392867151,0.0,0.0
midas_g_97954.1,-0.791780738252794,-0.8369620153641711,-0.7745966692414834,0.0,-0.7153443453802738,-0.8306213940356547,0.0,0.0,0.0,0.6594862226931492,0.6594862226931492,0.0,0.0,0.0,0.0,0.0
Acinetobacter.2,-0.6471819836537597,-0.8020731261169328,-0.8660254037844386,0.0,-0.6889786342417,-0.7271319501918658,0.0,0.0,0.0,0.6527166008605579,0.6527166008605579,0.0,0.0,0.0,0.0,0.0
Azoarcus.2,-0.6085176455671784,-0.7732172261425032,-0.7928249671720917,0.0,-0.6528743355035359,-0.7055375408806294,0.0,0.0,0.0,0.6086116686897368,0.6086116686897368,0.0,0.0,0.0,0.0,0.0
Fermentimonas.2,-0.8694962760678924,-0.9218421861424243,-0.7683357942107565,0.0,-0.7989279329607344,-0.8993801445697533,-0.7280858676207513,0.0,0.0,0.7560324734729097,0.7560324734729097,0.0,0.0,0.0,0.0,0.0
Aquamicrobium.2,-0.7991547148605034,-0.8387736214580329,-0.7745966692414834,0.0,-0.6973255961263627,-0.8161285452847599,-0.6276130932576435,0.0,0.0,0.6811087217978427,0.6811087217978427,0.0,0.0,0.0,0.0,0.0
Christensenellaceae_R-7_group.4,-0.7086889470955159,-0.8894626321525597,-0.8091735937126872,0.0,-0.7190417060620957,-0.7929464741955797,-0.6311369908671793,0.0,0.0,0.7566878686831479,0.7566878686831479,0.0,0.0,0.0,0.0,0.0
Lachnoclostridium.1,0.0,-0.7098005136964085,0.0,0.0,-0.7774802032168221,-0.6010842324846802,0.0,0.0,0.0,0.7220735680450484,0.7220735680450484,0.8778883200077127,0.0,-0.823950284328632,0.0,0.0
Clostridium_sensu_stricto_13.1,-0.8580874817109723,-0.8090103222319274,0.0,0.0,-0.7132662303189907,-0.8216229553179485,0.0,0.0,0.0,0.7777827737649295,0.7777827737649295,0.7414745960967397,0.0,-0.637996929632062,0.0,0.0
Methanosarcina.1,-0.7600154590515443,-0.850999776072655,0.0,0.0,-0.8035714285714284,-0.766617941736337,0.0,0.0,0.0,0.7071428571428571,0.7071428571428571,0.7010989010989012,0.0,-0.6749999999999999,0.0,0.0
midas_g_114295.1,-0.7700785092277957,-0.9153168010998199,-0.6653505102607582,0.0,-0.8530520744518582,-0.8108121269585018,-0.7031415585615959,0.0,0.0,0.7383559972146335,0.7383559972146335,0.6754679554946562,0.0,-0.6344126772183988,0.0,0.0
