asv,gpu_vs_pipe_top20_overlap,gpu_top1_in_pipeline_top20,gpu_top1_is_pipeline_top1,prefilter_missed_top20_hits,pipeline_hits_outside_gpu_top500,gpu_best_score,pipeline_best_score
0fec351445f84bd482075ceda6123f46,20,True,True,0,0,756.0,756.0
63f37ee4b481fccdffca10160ed5b944,20,True,True,0,0,756.0,756.0
7f78afb7e1d45cd528fe9cd909c93fb5,20,True,True,0,0,756.0,756.0
b64cf0e9dea8cef6b9500b364c179b98,20,True,True,0,0,744.0,744.0
c55a8101fb6c187736f0af61f720cb92,20,True,True,0,0,720.0,720.0
8466f2635d9fbf9c51a04877474f3d09,20,True,True,0,0,744.0,744.0
35dbde30af820a2c3bcd85216229ad6a,20,True,True,0,0,756.0,756.0
83adaf3a09d08c93f2abea6a4c815592,20,True,True,0,0,740.0,740.0
04869be25e3dc4d526ce3824d407aedf,20,True,True,0,0,742.0,742.0
25c54c57b4a4283237b33fdae82003c0,20,True,True,0,0,714.0,714.0
a039c1ac15b3f4bc5cf1db8a5f1cc0fd,20,True,True,0,0,742.0,742.0
38b371de3be6ddef03bea94294e9830d,20,True,True,0,0,756.0,756.0
37a9f9625f201b6e61c29ac09ec54683,20,True,True,0,0,708.0,708.0
d3cf08daefed96f494257ceff63a6cf8,20,True,True,0,0,746.0,746.0
a5b2537343a26f4daf0379a8b46eb2ef,20,True,True,0,0,742.0,742.0
b3d8bf326297fb9b18ea4fef1ce8d4a6,20,True,True,0,0,742.0,742.0
c571cb007a7d9e2dfc56e8c0b4e24104,20,True,True,0,0,746.0,746.0
e6485d233ed2b8b9a2f3f50f0747b9d2,20,True,True,0,0,740.0,740.0
4c31c3e198534eab45b6d92b61f75b10,20,True,True,0,0,742.0,742.0
e75fd72fb216d3d4c964602d8c338f65,20,True,True,0,0,748.0,748.0
09ee5eb3e6c726c7c8242f6e97453fc2,20,True,True,0,0,756.0,756.0
be9dcf562f0ab066c0b252d527a42d19,20,True,True,0,0,742.0,742.0
6aa300d5323cbf75dc53cec3e6acb87c,20,True,True,0,0,718.0,718.0
e29f9ab1342fe7d53d4f1e2d03bb5969,20,True,True,0,0,742.0,742.0
430c875622713c0d7662add2d8e7db60,20,True,True,0,0,735.0,735.0
e144d237c973d831d708cac2c17df968,20,True,True,0,0,732.0,732.0
ec92f6331d8ecb50e3f0dee8fbf3bcb0,20,True,True,0,0,740.0,740.0
8e6faab8acc1bdcba46f098a739aec14,20,True,True,0,0,739.0,739.0
160417c8184691818a991a146e5402d7,20,True,True,0,0,734.0,734.0
d42912a22b570ab99938b745999ae2cc,20,True,True,0,0,740.0,740.0
b7806c4f83108800a9c32dc83c148d95,20,True,True,0,0,738.0,738.0
93fadef301b62aa732e42bf1142b3afa,20,True,True,0,0,735.0,735.0
4bea53b2aad77f2569a0182f6b84255e,19,True,True,0,1,740.0,740.0
472fdc0687378563f0c9da6da7638e1a,20,True,True,0,0,748.0,748.0
765b69d9c4313cc8630769db523cc54c,20,True,True,0,0,746.0,746.0
29b313a5262947210e3e9de415abaead,20,True,True,0,0,744.0,744.0
e9e060e5e0e46911cad92b8292aeefd7,20,True,True,0,0,748.0,748.0
ea156f972cd3802c3fac147e4200ba7a,20,True,True,0,0,725.0,725.0
da47a34fd036b068ca0c5eaf185e2082,20,True,True,0,0,714.0,714.0
01bc6f144e0f577c7a5364ebafdb3509,19,True,True,0,1,710.0,710.0
3343d19c0bc1759a66023cbc86c92592,20,True,True,0,0,731.0,731.0
a061d8883eca2028db1d268500722130,20,True,True,0,0,726.0,726.0
0709277372b3816e3986842fb10c8e96,20,True,True,0,0,735.0,735.0
a82691ab5fd4e8d3d3b23b7958c8e764,20,True,True,0,0,588.0,588.0
181a2b6fbc1d5f5de022772f08fb875c,20,True,True,0,0,701.0,701.0
28f1a500a5a6ebd1cede9322b50bcaad,20,True,True,0,0,748.0,748.0
5976a56adfe903f7348b5eb5689e3c55,20,True,True,0,0,670.0,670.0
4b50be28c2cc7c6a4dbc6300155c5218,20,True,True,0,0,744.0,744.0
19463e5fe824700110e4a4ec8afe0512,20,True,True,0,0,751.0,751.0
499a635c6e7dcd5c8ef518302aa50011,20,True,True,0,0,740.0,740.0
ff6f97ce50ea01298f8e58b53b97d489,20,True,True,0,0,746.0,746.0
c7553191e309cfc2e28aea2507e7afdf,20,True,True,0,0,737.0,737.0
9feda0d620fa50b57ce3f848e1b48975,20,True,True,0,0,744.0,744.0
07e00e1bcc9d9a3c50591f721785e591,18,True,True,1,2,656.0,656.0
cd05a4b1cda569ae366c6980823f4c72,20,True,True,0,0,698.0,698.0
28b5f35cfb5f0516e5e5f896428abdcd,19,True,True,0,1,744.0,744.0
